I,J,HBW,HBC,HBSch,HBO,NHB,IX,XI,XX,II_LT,II_MD,II_HV,Ext_MD,Ext_HV,TOT
    1,    1,  11111.37,         0,   8251.52,  60238.27,  24681.07,         0,         0,         0,  15876.86,   5651.43,   4193.69,         0,         0, 130004.21
    1,    2,     45.16,         0,         0,    351.56,    234.17,         0,         0,         0,    172.91,     49.57,     16.68,         0,         0,    870.05
    1,    3,         0,         0,         0,         0,         0,         0,         0,         0,      0.21,         0,         0,         0,         0,      0.21
    1,    4,   1939.52,         0,    581.77,   3759.79,   1491.65,         0,         0,         0,    432.37,    602.06,    527.15,         0,         0,   9334.31
    1,    5,   1207.43,    217.00,     41.31,   1457.57,    800.07,         0,         0,         0,    197.35,    400.06,    358.06,         0,         0,   4678.85
    1,    6,      0.02,         0,         0,      2.02,      0.15,         0,         0,         0,      3.85,      0.03,         0,         0,         0,      6.07
    1,    7,         0,         0,         0,      0.05,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.05
    1,    8,    946.06,     24.00,     41.39,    833.52,    653.29,         0,         0,         0,    210.31,    131.50,     19.16,         0,         0,   2859.23
    1,    9,    205.19,         0,      3.07,    216.73,    140.91,         0,         0,         0,     69.54,     51.20,      9.52,         0,         0,    696.16
    1,   10,         0,         0,         0,      0.50,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,      0.51
    1,   11,     77.03,         0,         0,     59.99,      6.93,         0,         0,         0,     12.93,     25.03,     14.89,         0,         0,    196.80
    1,   12,    252.31,      9.00,      0.08,    422.92,     52.12,         0,         0,         0,     60.41,    107.73,     56.63,         0,         0,    961.20
    1,   13,     97.61,      2.00,         0,    169.28,     31.61,         0,         0,         0,     19.38,     21.06,      5.82,         0,         0,    346.76
    1,   14,    235.33,      7.00,         0,    353.04,     62.94,         0,         0,         0,     40.85,     66.50,     21.20,         0,         0,    786.86
    1,   15,      3.16,         0,         0,      0.27,         0,         0,         0,         0,      0.08,      0.90,      3.68,         0,         0,      8.09
    1,   16,     34.21,         0,         0,     16.63,      1.40,         0,         0,         0,      6.84,     13.55,     18.82,         0,         0,     91.45
    1,   17,     32.81,         0,         0,     22.08,      1.33,         0,         0,         0,      7.44,     12.53,     11.81,         0,         0,     88.00
    1,   18,      0.33,         0,         0,      0.03,         0,         0,         0,         0,      0.01,         0,         0,         0,         0,      0.37
    1,   19,      0.16,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.14,         0,         0,      0.30
    1,   20,      6.66,         0,         0,         0,         0,         0,         0,         0,      0.03,      0.64,      7.03,         0,         0,     14.36
    1,   21,      4.24,      5.00,         0,         0,         0,         0,         0,         0,         0,         0,      2.26,         0,         0,     11.50
    1,   22,      0.36,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.90,         0,         0,      1.26
    1,   23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    1,   24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    1,   25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    1,   26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    1,   27,         0,         0,         0,         0,         0,   8279.12,         0,         0,         0,         0,         0,    554.71,    207.42,   9041.25
    2,    1,    513.42,         0,    615.67,   1767.55,    243.97,         0,         0,         0,    300.78,     48.97,     17.48,         0,         0,   3507.84
    2,    2,    118.10,         0,         0,   1746.20,    348.00,         0,         0,         0,    828.49,     30.32,      4.40,         0,         0,   3075.51
    2,    3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    2,    4,    120.80,         0,     48.92,    213.11,     66.87,         0,         0,         0,     48.12,     23.33,      8.92,         0,         0,    530.07
    2,    5,     83.92,         0,     16.44,    150.71,     41.27,         0,         0,         0,     15.25,     16.32,      7.00,         0,         0,    330.91
    2,    6,         0,         0,         0,      0.27,      0.02,         0,         0,         0,      0.99,         0,         0,         0,         0,      1.28
    2,    7,         0,         0,         0,      0.02,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.02
    2,    8,     72.20,         0,     20.83,    103.27,     33.46,         0,         0,         0,     14.54,      6.13,      0.31,         0,         0,    250.74
    2,    9,     17.89,         0,      2.58,     41.71,     10.13,         0,         0,         0,      5.52,      2.76,      0.19,         0,         0,     80.78
    2,   10,         0,         0,         0,      0.11,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.11
    2,   11,      7.52,         0,         0,      3.85,      0.13,         0,         0,         0,      0.64,      0.57,      0.26,         0,         0,     12.97
    2,   12,     24.50,         0,         0,     29.87,      1.67,         0,         0,         0,      3.97,      2.96,      1.04,         0,         0,     64.01
    2,   13,      8.75,         0,         0,     22.85,      1.11,         0,         0,         0,      1.52,      0.66,      0.11,         0,         0,     35.00
    2,   14,     23.23,         0,         0,     26.33,      1.22,         0,         0,         0,      3.14,      1.91,      0.35,         0,         0,     56.18
    2,   15,      0.48,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.06,         0,         0,      0.54
    2,   16,      4.34,         0,         0,         0,         0,         0,         0,         0,      0.29,      0.10,      0.32,         0,         0,      5.05
    2,   17,      3.95,         0,         0,         0,         0,         0,         0,         0,      0.32,      0.12,      0.25,         0,         0,      4.64
    2,   18,      0.05,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.05
    2,   19,      0.03,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.03
    2,   20,      1.54,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      1.54
    2,   21,      1.10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      1.10
    2,   22,      0.25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.25
