TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    805235, 100.00, 100.00,         0, 100.00, 100.00,   3845100, 100.00, 100.00,   1749935, 100.00, 100.00,    250671, 100.00, 100.00,   6650941, 100.00, 100.00,
    2) Non-Motorized,     32234,   4.00,   4.00,         0,      0,      0,    305209,   7.94,   7.94,    140340,   8.02,   8.02,     42020,  16.76,  16.76,    519802,   7.82,   7.82,
    2) Motorized,    773001,  96.00,  96.00,         0,      0,      0,   3539891,  92.06,  92.06,   1609595,  91.98,  91.98,    208651,  83.24,  83.24,   6131138,  92.18,  92.18
        3) Auto,    758566,  94.20,  98.13,         0,      0,      0,   3518377,  91.50,  99.39,   1604855,  91.71,  99.71,-,-,-,   6090448,  91.57,  99.34,
            4) Auto 1 pers,    630998,  78.36,  83.18,         0,      0,      0,   1264338,  32.88,  35.94,    697857,  39.88,  43.48,-,-,-,   2593193,  38.99,  42.58,
                    GP use,    630288,  78.27,  99.89,         0,      0,      0,   1264388,  32.88, 100.00,    696980,  39.83,  99.87,-,-,-,   2591656,  38.97,  99.94,
                    Toll use,       755,   0.09,   0.12,         0,      0,      0,       419,   0.01,   0.03,      1066,   0.06,   0.15,-,-,-,      2240,   0.03,   0.09
            4) Auto 2 pers,     98293,  12.21,  12.96,         0,      0,      0,   1225447,  31.87,  34.83,    451773,  25.82,  28.15,-,-,-,   1775514,  26.70,  29.15,
                    GP use,     78069,   9.70,  79.42,         0,      0,      0,   1155237,  30.04,  94.27,    410007,  23.43,  90.76,-,-,-,   1643313,  24.71,  92.55,
                    HOV use,     20226,   2.51,  20.58,         0,      0,      0,     70273,   1.83,   5.73,     41796,   2.39,   9.25,-,-,-,    132295,   1.99,   7.45,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     29222,   3.63,   3.85,         0,      0,      0,   1028052,  26.74,  29.22,    454999,  26.00,  28.35,-,-,-,   1512273,  22.74,  24.83,
                    GP use,     23206,   2.88,  79.41,         0,      0,      0,    969114,  25.20,  94.27,    412915,  23.60,  90.75,-,-,-,   1405234,  21.13,  92.92,
                    HOV use,      6016,   0.75,  20.59,         0,      0,      0,     58951,   1.53,   5.73,     42090,   2.41,   9.25,-,-,-,    107057,   1.61,   7.08,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) IMZ Door-to-Door (D2D),        55,   0.01,   0.01,         0,      0,      0,       546,   0.01,   0.02,       222,   0.01,   0.01,-,-,-,       823,   0.01,   0.01,
                    IMZ D2D 1 pers,        47,   0.01,  85.45,         0,      0,      0,       467,   0.01,  85.53,       189,   0.01,  85.14,-,-,-,       703,   0.01,  85.42,
                    IMZ D2D 2 pers,         6,   0.00,  10.91,         0,      0,      0,        63,   0.00,  11.54,        26,   0.00,  11.71,-,-,-,        95,   0.00,  11.54,
                    IMZ D2D 3+ pers,         2,   0.00,   3.64,         0,      0,      0,        16,   0.00,   2.93,         7,   0.00,   3.15,-,-,-,        25,   0.00,   3.04
            4) School Trips,-,-,-,-,-,-,-,-,-,-,-,-,    208651,  83.24,  83.24,    208651,   3.14,  83.24,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     27512,  10.98,  13.19,     27512,   0.41,  13.19,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     30608,  12.21,  14.67,     30608,   0.46,  14.67,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    150531,  60.05,  72.14,    150531,   2.26,  72.14,
                    K-6,-,-,-,-,-,-,-,-,-,-,-,-,     96306,  38.42,  46.16,     96306,   1.45,  46.16,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     10421,   4.16,  10.82,     10421,   0.16,  10.82,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,         0,      0,      0,         0,      0,      0,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,     85885,  34.26,  89.18,     85885,   1.29,  89.18,
                    7-12,-,-,-,-,-,-,-,-,-,-,-,-,    112345,  44.82,  53.84,    112345,   1.69,  53.84,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     17091,   6.82,  15.21,     17091,   0.26,  15.21,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     30608,  12.21,  27.24,     30608,   0.46,  27.24,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,     64647,  25.79,  57.54,     64647,   0.97,  57.54
        3) Transit,     14437,   1.79,   1.87,         0,      0,      0,     21517,   0.56,   0.61,      4741,   0.27,   0.29,-,-,-,     40695,   0.61,   0.66
            4) Local Bus (LCL),      5752,   0.71,  39.84,         0,      0,      0,      9400,   0.24,  43.69,      1656,   0.09,  34.93,-,-,-,     16808,   0.25,  41.30,
                    LCL Walk,      5454,   0.68,  94.82,         0,      0,   0.00,      9101,   0.24,  96.82,      1643,   0.09,  99.22,-,-,-,     16198,   0.24,  96.37,
                    LCL Drive,       298,   0.04,   5.18,         0,      0,   0.00,       299,   0.01,   3.18,        13,   0.00,   0.78,-,-,-,       610,   0.01,   3.63
            4) Core Bus (COR),         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0,
                    COR Walk,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00,
