TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    890814, 100.00, 100.00,    112529, 100.00, 100.00,   1952309, 100.00, 100.00,    862560, 100.00, 100.00,    445474, 100.00, 100.00,   4263687, 100.00, 100.00,
    2) Non-Motorized,     27340,   3.07,   3.07,     25670,  22.81,  22.81,    157565,   8.07,   8.07,     56236,   6.52,   6.52,     74841,  16.80,  16.80,    341652,   8.01,   8.01,
    2) Motorized,    863474,  96.93,  96.93,     86859,  77.19,  77.19,   1794744,  91.93,  91.93,    806324,  93.48,  93.48,    370633,  83.20,  83.20,   3922035,  91.99,  91.99
        3) Auto,    843248,  94.66,  97.66,     67099,  59.63,  77.25,   1785597,  91.46,  99.49,    804550,  93.27,  99.78,-,-,-,   3871127,  90.79,  98.70,
            4) Auto 1 pers,    723955,  81.27,  85.85,     48244,  42.87,  71.90,    575427,  29.47,  32.23,    364310,  42.24,  45.28,-,-,-,   1711937,  40.15,  44.22,
                    GP use,    723468,  81.21,  99.93,     48192,  42.83,  99.89,    575638,  29.48, 100.04,    364197,  42.22,  99.97,-,-,-,   1711495,  40.14,  99.97,
                    Toll use,       542,   0.06,   0.07,        53,   0.05,   0.11,        94,   0.00,   0.02,       237,   0.03,   0.06,-,-,-,       925,   0.02,   0.05
            4) Auto 2 pers,     89154,  10.01,  10.57,     13840,  12.30,  20.63,    596674,  30.56,  33.42,    211682,  24.54,  26.31,-,-,-,    911350,  21.37,  23.54,
                    GP use,     67461,   7.57,  75.67,     10509,   9.34,  75.93,    561462,  28.76,  94.10,    190939,  22.14,  90.20,-,-,-,    830371,  19.48,  91.11,
                    HOV use,     21705,   2.44,  24.35,      3331,   2.96,  24.07,     35250,   1.81,   5.91,     20762,   2.41,   9.81,-,-,-,     81047,   1.90,   8.89,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     30077,   3.38,   3.57,      5015,   4.46,   7.47,    613147,  31.41,  34.34,    228429,  26.48,  28.39,-,-,-,    876668,  20.56,  22.65,
                    GP use,     22749,   2.55,  75.64,      3808,   3.38,  75.93,    576930,  29.55,  94.09,    206030,  23.89,  90.19,-,-,-,    809518,  18.99,  92.34,
                    HOV use,      7320,   0.82,  24.34,      1207,   1.07,  24.07,     36221,   1.86,   5.91,     22401,   2.60,   9.81,-,-,-,     67149,   1.57,   7.66,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) IMZ Door-to-Door (D2D),        78,   0.01,   0.01,         0,      0,      0,       359,   0.02,   0.02,       144,   0.02,   0.02,-,-,-,       581,   0.01,   0.01,
                    IMZ D2D 1 pers,        67,   0.01,  85.90,         0,      0,      0,       306,   0.02,  85.24,       124,   0.01,  86.11,-,-,-,       497,   0.01,  85.54,
                    IMZ D2D 2 pers,         9,   0.00,  11.54,         0,      0,      0,        42,   0.00,  11.70,        16,   0.00,  11.11,-,-,-,        67,   0.00,  11.53,
                    IMZ D2D 3+ pers,         2,   0.00,   2.56,         0,      0,      0,        11,   0.00,   3.06,         4,   0.00,   2.78,-,-,-,        17,   0.00,   2.93
