O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,3002,70710,3082,70436
1530,"40.5456096957,-112.013648997" ,2098,"40.4290987165,-111.891886358" ,1355,25217,1443,25639
1218,"40.6934674976,-111.874152095" ,2098,"40.4290987165,-111.891886358" ,1530,33504,1652,33572
1324,"40.6726892565,-111.818289799" ,2384,"40.2504896532,-111.649761944" ,3010,70831,3143,67362
1407,"40.519692227,-112.028651356" ,2354,"40.3007107079,-111.663496277" ,2458,50455,2656,50473
570,"40.985157543,-111.8864262" ,2079,"40.4365363407,-111.830775799" ,2620,70821,2632,70617
1866,"40.309293,-112.009873" ,1728,"40.5615693283,-111.894569839" ,2556,40674,2323,38988
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,1137,20388,1209,22490
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,2497,54840,2351,54358
2207,"40.37852,-111.764695" ,1600,"40.508763,-111.899717" ,1398,24169,1393,26250
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,2998,55491,2550,53214
1951,"40.356029,-111.947619" ,1728,"40.5615693283,-111.89456984" ,2110,30316,1665,28832
1866,"40.309293,-112.009873" ,2098,"40.429099,-111.891887" ,1736,23962,1711,24230
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2447,40872,2378,41077
2136,"40.435821,-111.778905" ,2098,"40.429099,-111.891888" ,680,10609,728,10504
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,773,11692,664,13906
2032,"40.383234,-111.861698" ,2079,"40.436536,-111.830776" ,846,8735,814,8912
2228,"40.339253,-111.710746" ,2188,"40.352924,-111.768877" ,547,6250,563,6259
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,762,8401,701,8376
2228,"40.339253,-111.710746" ,2326,"40.278561,-111.712746" ,915,7608,733,10647
2337,"40.286065,-111.67176" ,2384,"40.25049,-111.649762" ,708,6751,654,6935
2337,"40.286065,-111.67176" ,2098,"40.429099,-111.89189" ,1383,27980,1437,27469
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,675,12866,716,13523
2292,"40.307934,-111.720354" ,2384,"40.25049,-111.649763" ,1099,10984,1028,10927
2292,"40.307934,-111.720354" ,2354,"40.300711,-111.663498" ,639,6640,610,6615
2798,"40.034617,-111.738078" ,2713,"40.040518,-111.751954" ,308,2912,315,2912
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,1107,17249,935,15089
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1706,36020,1470,33825
2207,"40.37852,-111.764695" ,2079,"40.436536,-111.830777" ,917,12049,857,12082
2207,"40.37852,-111.764695" ,2326,"40.278561,-111.712749" ,1025,15739,902,15560
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,692,8425,722,8428
2393,"40.237769,-111.649636" ,2326,"40.278561,-111.71275" ,868,10756,838,8881
2451,"40.22777,-111.670659" ,2384,"40.25049,-111.649764" ,546,4479,557,4572
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,920,18870,834,18460
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,839,9808,847,9810
2451,"40.22777,-111.670659" ,2326,"40.278561,-111.712751" ,649,9171,661,9539
2751,"40.046799,-111.675851" ,2713,"40.040518,-111.751955" ,666,7690,710,7690
2751,"40.046799,-111.675851" ,2354,"40.300711,-111.663501" ,1872,39631,1940,39964
2751,"40.046799,-111.675851" ,2560,"40.123602,-111.638833" ,980,12332,1024,12101
2851,"39.979668,-111.788998" ,2384,"40.25049,-111.649765" ,1986,37500,1641,37725
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1284,23872,1090,24093
1951,"40.356029,-111.947619" ,2098,"40.429099,-111.891893" ,1165,13565,1044,14074
1951,"40.356029,-111.947619" ,2326,"40.278561,-111.712752" ,1627,30166,1610,30175
1932,"40.304745,-111.893748" ,2172,"40.380322,-111.818411" ,1257,18372,1340,18453
1932,"40.304745,-111.893748" ,2098,"40.429099,-111.891894" ,1349,17784,1356,18749
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1379,21035,1329,21409
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,1888,49259,1908,48681
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,521,6221,508,6213
2509,"40.163571,-111.60687" ,2354,"40.300711,-111.663502" ,1258,18195,1273,18195
2509,"40.163571,-111.60687" ,2560,"40.123602,-111.638836" ,500,6563,509,6629
