O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,3989,70711,3717,73719
1530,"40.5456096957,-112.013648997" ,2098,"40.4290987165,-111.891886358" ,1408,25372,1661,23632
1743,"40.5504323408,-111.838388036" ,2098,"40.4290987165,-111.891886358" ,1423,20099,1543,19951
1218,"40.6934674976,-111.874152095" ,2098,"40.4290987165,-111.891886358" ,2261,33273,2030,33573
1324,"40.6726892565,-111.818289799" ,2384,"40.2504896532,-111.649761944" ,3670,70829,3841,75238
1407,"40.519692227,-112.028651355" ,2098,"40.4290987165,-111.891886358" ,1512,23946,1669,22255
1407,"40.519692227,-112.028651356" ,2354,"40.3007107079,-111.663496277" ,2701,50455,3320,50475
570,"40.985157543,-111.8864262" ,2079,"40.4365363407,-111.830775799" ,3217,70822,3312,70614
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,2120,37576,2533,37782
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,1420,20623,1356,22408
2068,"40.417174,-111.854361" ,1600,"40.508763,-111.899716" ,1235,15442,1065,17621
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,2058,30703,2010,31387
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,3412,57323,3443,53828
2207,"40.37852,-111.764695" ,1600,"40.508763,-111.899717" ,1665,26301,1470,26168
2393,"40.237769,-111.649636" ,972,"40.766088,-111.889662" ,4473,88018,4043,73419
1611,"40.495514,-111.972" ,2098,"40.429099,-111.891892" ,1035,18861,1549,18784
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,3254,54757,3811,52685
1866,"40.309293,-112.009873" ,2098,"40.429099,-111.891887" ,1708,23719,2000,27445
2136,"40.435821,-111.778905" ,2172,"40.380322,-111.818407" ,746,9176,784,9183
2136,"40.435821,-111.778905" ,2354,"40.300711,-111.663496" ,1722,21905,1760,22222
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,822,11692,744,13907
2228,"40.339253,-111.710746" ,2098,"40.429099,-111.891889" ,1243,22056,1315,21924
2228,"40.339253,-111.710746" ,2188,"40.352924,-111.768877" ,641,6250,586,6259
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,829,8402,756,8376
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,570,4810,566,4810
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,1123,12686,1046,13522
2292,"40.307934,-111.720354" ,2354,"40.300711,-111.663498" ,667,6641,652,6834
2798,"40.034617,-111.738078" ,2713,"40.040518,-111.751954" ,295,2914,298,2912
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,891,17249,967,15089
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1431,36796,1511,34531
2207,"40.37852,-111.764695" ,2079,"40.436536,-111.830777" ,930,12049,874,12082
2207,"40.37852,-111.764695" ,2098,"40.429099,-111.891891" ,992,16558,1007,14290
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,782,8425,805,8428
2451,"40.22777,-111.670659" ,2384,"40.25049,-111.649764" ,555,4479,606,4572
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,1330,18869,963,18460
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,934,9965,953,9810
2451,"40.22777,-111.670659" ,2326,"40.278561,-111.712751" ,744,9948,714,10245
2751,"40.046799,-111.675851" ,2713,"40.040518,-111.751955" ,634,7690,653,7690
2751,"40.046799,-111.675851" ,2560,"40.123602,-111.638833" ,967,10773,1025,12326
1951,"40.356029,-111.947619" ,2172,"40.380322,-111.81841" ,1185,14152,1680,14166
1951,"40.356029,-111.947619" ,2098,"40.429099,-111.891893" ,1113,13566,1401,14074
1932,"40.304745,-111.893748" ,2172,"40.380322,-111.818411" ,1339,18372,1941,18453
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1393,21033,1472,21408
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,2132,49416,2156,49247
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,506,5809,512,6213
2509,"40.163571,-111.60687" ,2560,"40.123602,-111.638836" ,502,6563,501,6629
