O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966056" ,2079,"40.4365363407,-111.830775799" ,1907,45023,1809,44761
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,3056,70710,2954,73719
1530,"40.5456096957,-112.013648997" ,2098,"40.4290987165,-111.891886358" ,1245,25217,1397,25639
1763,"40.5090001685,-111.875919320" ,2098,"40.4290987165,-111.891886358" ,783,12530,752,12536
1218,"40.6934674976,-111.874152095" ,2098,"40.4290987165,-111.891886358" ,1600,35118,1505,33572
1324,"40.6726892565,-111.818289799" ,2384,"40.2504896532,-111.649761944" ,2929,70831,3135,70590
1407,"40.519692227,-112.028651355" ,2098,"40.4290987165,-111.891886358" ,1280,23791,1469,24115
570,"40.985157543,-111.8864262" ,2079,"40.4365363407,-111.830775799" ,2555,70821,2516,70617
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,1728,35920,1770,36760
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,1048,20627,1164,22410
2068,"40.417174,-111.854361" ,1600,"40.508763,-111.899716" ,778,15411,900,17623
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,1618,31631,1624,31385
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,2427,54445,2356,54358
2207,"40.37852,-111.764695" ,1600,"40.508763,-111.899717" ,1267,24408,1347,26169
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,2681,54760,2521,53239
1951,"40.356029,-111.947619" ,1728,"40.5615693283,-111.89456984" ,1646,30096,1619,28857
1866,"40.309293,-112.009873" ,2098,"40.429099,-111.891887" ,1662,23719,1621,27445
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2281,40872,2348,41077
2136,"40.435821,-111.778905" ,2354,"40.300711,-111.663496" ,1669,21905,1548,22222
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,787,11692,671,13907
2032,"40.383234,-111.861698" ,2188,"40.352924,-111.768876" ,721,10302,730,10552
2228,"40.339253,-111.710746" ,2172,"40.380322,-111.818408" ,802,13195,910,11219
2228,"40.339253,-111.710746" ,2098,"40.429099,-111.891889" ,1044,21900,1093,21358
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,784,8402,684,8376
2228,"40.339253,-111.710746" ,2326,"40.278561,-111.712746" ,812,7608,797,7598
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,548,4810,614,5359
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,687,12686,767,13523
2292,"40.307934,-111.720354" ,2384,"40.25049,-111.649763" ,1118,13940,1161,10927
2292,"40.307934,-111.720354" ,2354,"40.300711,-111.663498" ,659,6641,637,6615
2798,"40.034617,-111.738078" ,2713,"40.040518,-111.751954" ,290,2910,305,2912
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,915,17249,942,15089
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1449,36020,1499,33850
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,794,8425,774,8427
2451,"40.22777,-111.670659" ,2384,"40.25049,-111.649764" ,537,4479,603,4572
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,954,18870,848,18460
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,977,9833,939,9810
2751,"40.046799,-111.675851" ,2713,"40.040518,-111.751955" ,652,7690,708,7690
2751,"40.046799,-111.675851" ,2354,"40.300711,-111.663501" ,1883,39633,1942,39965
2751,"40.046799,-111.675851" ,2560,"40.123602,-111.638833" ,955,11789,1003,11476
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1120,23872,1117,24093
1951,"40.356029,-111.947619" ,2172,"40.380322,-111.81841" ,1048,14152,1102,14166
1951,"40.356029,-111.947619" ,2098,"40.429099,-111.891893" ,1076,13566,987,14074
1951,"40.356029,-111.947619" ,2326,"40.278561,-111.712752" ,1582,30166,1667,30175
1932,"40.304745,-111.893748" ,2172,"40.380322,-111.818411" ,1223,18372,1363,18453
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1401,21034,1411,21408
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,1937,49260,1931,48681
2509,"40.163571,-111.60687" ,2560,"40.123602,-111.638836" ,504,6563,511,6629
