O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966056" ,2079,"40.4365363407,-111.830775799" ,1840,45023,2522,44759
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,2936,70711,3632,70439
1530,"40.5456096957,-112.013648997" ,2098,"40.4290987165,-111.891886358" ,1339,25215,1473,25640
1743,"40.5504323408,-111.838388036" ,2098,"40.4290987165,-111.891886358" ,1181,19941,1406,19951
1763,"40.5090001685,-111.875919320" ,2098,"40.4290987165,-111.891886358" ,764,12527,858,12535
1218,"40.6934674976,-111.874152095" ,2098,"40.4290987165,-111.891886358" ,1575,33509,2341,33168
1407,"40.519692227,-112.028651355" ,2098,"40.4290987165,-111.891886358" ,1486,23790,1574,24116
1407,"40.519692227,-112.028651356" ,2354,"40.3007107079,-111.663496277" ,2499,50456,2572,50475
570,"40.985157543,-111.8864262" ,2079,"40.4365363407,-111.830775799" ,2890,70822,3194,70614
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,1963,37419,2258,37782
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,1167,20623,1280,22408
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,1986,31631,1601,31387
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,3047,54445,2338,54366
2207,"40.37852,-111.764695" ,1600,"40.508763,-111.899717" ,1366,24408,1446,26171
2393,"40.237769,-111.649636" ,972,"40.766088,-111.889662" ,3659,74012,2982,73952
1951,"40.356029,-111.947619" ,1728,"40.5615693283,-111.89456984" ,2270,30317,1693,30938
1866,"40.309293,-112.009873" ,2172,"40.380322,-111.818406" ,2141,24860,1896,29800
1866,"40.309293,-112.009873" ,2098,"40.429099,-111.891887" ,2203,23963,1613,27445
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2765,40873,2416,41078
2136,"40.435821,-111.778905" ,2172,"40.380322,-111.818407" ,726,9176,764,9183
2136,"40.435821,-111.778905" ,2098,"40.429099,-111.891888" ,739,10610,731,10504
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,766,11692,669,13906
2032,"40.383234,-111.861698" ,2188,"40.352924,-111.768876" ,747,10302,659,10553
2228,"40.339253,-111.710746" ,2172,"40.380322,-111.818408" ,779,13195,977,11221
2228,"40.339253,-111.710746" ,2098,"40.429099,-111.891889" ,1039,21899,1353,21358
2228,"40.339253,-111.710746" ,2326,"40.278561,-111.712746" ,897,7608,752,10646
2337,"40.286065,-111.67176" ,2384,"40.25049,-111.649762" ,700,6751,658,6935
2337,"40.286065,-111.67176" ,2098,"40.429099,-111.89189" ,1413,27983,1652,27470
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,660,12687,1040,13627
2292,"40.307934,-111.720354" ,2384,"40.25049,-111.649763" ,1096,10984,1012,10872
2798,"40.034617,-111.738078" ,2713,"40.040518,-111.751954" ,320,2911,313,2912
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,834,17247,951,15088
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1433,36019,1449,33846
2207,"40.37852,-111.764695" ,2098,"40.429099,-111.891891" ,848,14268,953,13727
2207,"40.37852,-111.764695" ,2326,"40.278561,-111.712749" ,974,15739,885,15559
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,690,8425,680,8428
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,927,18869,843,18460
2751,"40.046799,-111.675851" ,2354,"40.300711,-111.663501" ,1863,33134,1965,30329
2851,"39.979668,-111.788998" ,2384,"40.25049,-111.649765" ,1814,37500,1707,37620
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1136,23871,1123,24093
1951,"40.356029,-111.947619" ,2172,"40.380322,-111.81841" ,1412,14157,1125,14171
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1337,21033,1368,21303
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,501,5709,497,6213
2509,"40.163571,-111.60687" ,2560,"40.123602,-111.638836" ,477,6563,505,6629
