O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,2993,70708,3336,70439
1743,"40.5504323408,-111.838388036" ,2098,"40.4290987165,-111.891886358" ,1179,19941,1474,19951
1218,"40.6934674976,-111.874152095" ,2098,"40.4290987165,-111.891886358" ,1599,33509,1986,33573
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,1945,37419,2211,36762
1762,"40.509556,-111.885784" ,2098,"40.429099,-111.891886" ,646,11162,985,11190
1866,"40.309293,-112.009873" ,1728,"40.5615693283,-111.894569839" ,2585,42993,2259,42459
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,1417,20623,1235,22408
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,2062,31631,1631,31387
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,3154,55108,2599,53211
1951,"40.356029,-111.947619" ,1728,"40.5615693283,-111.89456984" ,2019,30445,1649,28920
1866,"40.309293,-112.009873" ,2172,"40.380322,-111.818406" ,2035,24860,1875,25229
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2652,40873,2387,41239
2136,"40.435821,-111.778905" ,2172,"40.380322,-111.818407" ,753,9176,708,8805
2136,"40.435821,-111.778905" ,2098,"40.429099,-111.891888" ,730,10973,725,10504
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,768,11692,669,13906
2228,"40.339253,-111.710746" ,2172,"40.380322,-111.818408" ,789,13195,891,13813
2228,"40.339253,-111.710746" ,2098,"40.429099,-111.891889" ,1069,21899,1118,21357
2228,"40.339253,-111.710746" ,2188,"40.352924,-111.768877" ,570,6250,552,6259
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,734,8402,660,8376
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,564,4810,571,4810
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,680,12687,732,13522
2292,"40.307934,-111.720354" ,2354,"40.300711,-111.663498" ,631,6641,585,6615
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,871,17248,931,15088
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1455,36019,1448,33846
2207,"40.37852,-111.764695" ,2079,"40.436536,-111.830777" ,883,12049,840,12082
2207,"40.37852,-111.764695" ,2098,"40.429099,-111.891891" ,894,14268,929,13727
2207,"40.37852,-111.764695" ,2326,"40.278561,-111.712749" ,1061,15739,909,15559
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,756,8425,744,8428
2393,"40.237769,-111.649636" ,2326,"40.278561,-111.71275" ,903,10754,916,8885
2451,"40.22777,-111.670659" ,2384,"40.25049,-111.649764" ,623,4503,580,4466
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,927,18869,856,18460
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,953,9833,887,9810
2451,"40.22777,-111.670659" ,2326,"40.278561,-111.712751" ,697,9171,665,9561
2751,"40.046799,-111.675851" ,2713,"40.040518,-111.751955" ,641,7690,664,7690
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1143,23872,1104,24093
1951,"40.356029,-111.947619" ,2172,"40.380322,-111.81841" ,1355,15624,1122,14171
1951,"40.356029,-111.947619" ,2326,"40.278561,-111.712752" ,1964,31638,1634,30180
1932,"40.304745,-111.893748" ,2098,"40.429099,-111.891894" ,1619,18116,1290,18684
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1384,21033,1355,21303
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,1917,49258,1909,48682
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,495,5709,495,6213
