O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1530,"40.5456096957,-112.013648997" ,2098,"40.4290987165,-111.891886358" ,1238,25217,1388,25639
1763,"40.5090001685,-111.875919320" ,2098,"40.4290987165,-111.891886358" ,739,12530,755,12536
1407,"40.519692227,-112.028651356" ,2354,"40.3007107079,-111.663496277" ,2538,51157,2498,50473
570,"40.985157543,-111.8864262" ,2079,"40.4365363407,-111.830775799" ,2678,70821,2486,70617
1762,"40.509556,-111.885784" ,2098,"40.429099,-111.891886" ,580,11165,587,11190
2068,"40.417174,-111.854361" ,1600,"40.508763,-111.899716" ,767,15172,916,17704
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,1620,31631,1606,31385
2207,"40.37852,-111.764695" ,1600,"40.508763,-111.899717" ,1258,24169,1399,26250
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,2631,53641,2787,53551
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2313,40872,2491,46693
2136,"40.435821,-111.778905" ,2172,"40.380322,-111.818407" ,804,9176,811,9183
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,786,11692,644,13907
2032,"40.383234,-111.861698" ,2079,"40.436536,-111.830776" ,824,8735,808,8912
2032,"40.383234,-111.861698" ,2188,"40.352924,-111.768876" ,738,10302,685,10552
2228,"40.339253,-111.710746" ,2172,"40.380322,-111.818408" ,794,13194,875,13814
2228,"40.339253,-111.710746" ,2098,"40.429099,-111.891889" ,1034,21899,1096,21358
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,776,8401,714,8376
2228,"40.339253,-111.710746" ,2326,"40.278561,-111.712746" ,843,7608,746,10647
2337,"40.286065,-111.67176" ,2384,"40.25049,-111.649762" ,695,6751,691,6935
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,685,12865,793,13522
2292,"40.307934,-111.720354" ,2384,"40.25049,-111.649763" ,1165,13940,1137,10927
2292,"40.307934,-111.720354" ,2354,"40.300711,-111.663498" ,662,6640,630,6615
2798,"40.034617,-111.738078" ,2713,"40.040518,-111.751954" ,293,2912,309,2912
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,884,17249,950,15089
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1493,36020,1529,33825
2207,"40.37852,-111.764695" ,2079,"40.436536,-111.830777" ,913,12049,913,12082
2207,"40.37852,-111.764695" ,2098,"40.429099,-111.891891" ,918,14269,993,13724
2207,"40.37852,-111.764695" ,2326,"40.278561,-111.712749" ,1054,15738,927,15560
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,794,8425,760,8427
2451,"40.22777,-111.670659" ,2384,"40.25049,-111.649764" ,593,4503,603,4572
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,914,18870,832,18459
2751,"40.046799,-111.675851" ,2354,"40.300711,-111.663501" ,1920,39631,1972,39964
2751,"40.046799,-111.675851" ,2560,"40.123602,-111.638833" ,979,11481,1028,11476
2851,"39.979668,-111.788998" ,2384,"40.25049,-111.649765" ,1751,37500,1737,37725
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1098,23872,1134,24093
1951,"40.356029,-111.947619" ,2172,"40.380322,-111.81841" ,1083,14152,1385,14166
1951,"40.356029,-111.947619" ,2098,"40.429099,-111.891893" ,1072,13694,1019,14074
1932,"40.304745,-111.893748" ,2172,"40.380322,-111.818411" ,1254,18372,1620,18453
1932,"40.304745,-111.893748" ,2098,"40.429099,-111.891894" ,1333,18637,1407,17862
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1472,21034,1422,21409
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,554,6221,520,6213
2509,"40.163571,-111.60687" ,2354,"40.300711,-111.663502" ,1425,18195,1375,18195
2509,"40.163571,-111.60687" ,2560,"40.123602,-111.638836" ,519,6563,509,6629
