O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966056" ,2079,"40.4365363407,-111.830775799" ,2367,45023,1898,44758
1763,"40.5090001685,-111.875919320" ,2098,"40.4290987165,-111.891886358" ,833,12685,811,12535
1324,"40.6726892565,-111.818289799" ,2384,"40.2504896532,-111.649761944" ,3166,70860,3265,71979
1407,"40.519692227,-112.028651355" ,2098,"40.4290987165,-111.891886358" ,1477,23947,1579,24116
1407,"40.519692227,-112.028651356" ,2354,"40.3007107079,-111.663496277" ,2552,50456,2657,50475
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,1936,37576,1962,36762
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,1128,20623,1218,22408
2068,"40.417174,-111.854361" ,1600,"40.508763,-111.899716" ,839,15411,932,17621
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,1763,31631,1716,31387
1611,"40.495514,-111.972" ,2098,"40.429099,-111.891892" ,997,18862,1136,19038
1951,"40.356029,-111.947619" ,1728,"40.5615693283,-111.89456984" ,1765,29974,1758,28826
1866,"40.309293,-112.009873" ,2172,"40.380322,-111.818406" ,1900,24860,1960,25069
1866,"40.309293,-112.009873" ,2098,"40.429099,-111.891887" ,1734,23719,1851,27445
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2397,39616,2566,39789
2136,"40.435821,-111.778905" ,2172,"40.380322,-111.818407" ,788,9176,777,9183
2136,"40.435821,-111.778905" ,2098,"40.429099,-111.891888" ,737,10767,737,10504
2136,"40.435821,-111.778905" ,2354,"40.300711,-111.663496" ,1708,21906,1602,23483
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,807,11692,693,13907
2032,"40.383234,-111.861698" ,2079,"40.436536,-111.830776" ,844,10394,802,8912
2228,"40.339253,-111.710746" ,2172,"40.380322,-111.818408" ,917,13195,1008,11527
2228,"40.339253,-111.710746" ,2098,"40.429099,-111.891889" ,1128,22057,1187,21924
2228,"40.339253,-111.710746" ,2188,"40.352924,-111.768877" ,640,6250,612,6259
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,775,8402,731,8376
2228,"40.339253,-111.710746" ,2326,"40.278561,-111.712746" ,883,7608,873,7598
2337,"40.286065,-111.67176" ,2384,"40.25049,-111.649762" ,768,6751,733,6935
2337,"40.286065,-111.67176" ,2098,"40.429099,-111.89189" ,1478,28140,1487,28037
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,576,4810,630,5359
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,787,12687,807,13522
2292,"40.307934,-111.720354" ,2384,"40.25049,-111.649763" ,1203,13937,1135,10872
2292,"40.307934,-111.720354" ,2354,"40.300711,-111.663498" ,708,6641,602,6615
2798,"40.034617,-111.738078" ,2713,"40.040518,-111.751954" ,310,2914,312,2912
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,928,17247,1020,15089
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1555,36796,1568,34527
2207,"40.37852,-111.764695" ,2079,"40.436536,-111.830777" ,881,12049,881,12082
2207,"40.37852,-111.764695" ,2326,"40.278561,-111.712749" ,1146,14482,1060,14270
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,810,8425,800,8428
2393,"40.237769,-111.649636" ,2326,"40.278561,-111.71275" ,1089,8857,1056,8885
2451,"40.22777,-111.670659" ,2384,"40.25049,-111.649764" ,599,4479,611,4466
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,972,18869,905,18460
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,956,9808,941,9810
2751,"40.046799,-111.675851" ,2354,"40.300711,-111.663501" ,1955,39631,1971,39996
2751,"40.046799,-111.675851" ,2560,"40.123602,-111.638833" ,1020,11184,985,11179
2851,"39.979668,-111.788998" ,2384,"40.25049,-111.649765" ,1853,37500,1800,37620
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1153,23871,1199,24093
1951,"40.356029,-111.947619" ,2172,"40.380322,-111.81841" ,1183,14157,1203,14171
1951,"40.356029,-111.947619" ,2098,"40.429099,-111.891893" ,1150,13571,1165,14066
1951,"40.356029,-111.947619" ,2326,"40.278561,-111.712752" ,1728,28914,1855,28891
1932,"40.304745,-111.893748" ,2172,"40.380322,-111.818411" ,1399,18372,1472,18380
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,2033,49416,1975,49248
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,530,6221,535,6213
2509,"40.163571,-111.60687" ,2354,"40.300711,-111.663502" ,1336,18195,1339,18195
2509,"40.163571,-111.60687" ,2560,"40.123602,-111.638836" ,505,6563,536,6629
