O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966056" ,2079,"40.4365363407,-111.830775799" ,1899,45023,1834,44759
1530,"40.5456096957,-112.013648997" ,2098,"40.4290987165,-111.891886358" ,1218,25215,1368,25640
1743,"40.5504323408,-111.838388036" ,2098,"40.4290987165,-111.891886358" ,1161,19941,1116,19951
1763,"40.5090001685,-111.875919320" ,2098,"40.4290987165,-111.891886358" ,734,12527,761,12535
1218,"40.6934674976,-111.874152095" ,2098,"40.4290987165,-111.891886358" ,1550,33509,1511,33573
1324,"40.6726892565,-111.818289799" ,2384,"40.2504896532,-111.649761944" ,2966,70829,3045,71979
1407,"40.519692227,-112.028651356" ,2354,"40.3007107079,-111.663496277" ,2384,50456,2481,50475
570,"40.985157543,-111.8864262" ,2079,"40.4365363407,-111.830775799" ,2552,70824,2550,70615
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,1713,35921,1792,36762
1762,"40.509556,-111.885784" ,2098,"40.429099,-111.891886" ,578,11162,595,11190
1866,"40.309293,-112.009873" ,1728,"40.5615693283,-111.894569839" ,2182,39701,2264,42205
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,1074,20623,1172,22408
2068,"40.417174,-111.854361" ,1600,"40.508763,-111.899716" ,760,15411,879,17621
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,1641,31631,1564,31387
2207,"40.37852,-111.764695" ,1600,"40.508763,-111.899717" ,1242,24409,1326,26171
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,2753,54638,2512,53211
1951,"40.356029,-111.947619" ,1728,"40.5615693283,-111.89456984" ,1582,29668,1638,28826
1866,"40.309293,-112.009873" ,2172,"40.380322,-111.818406" ,1767,24860,1859,25069
1866,"40.309293,-112.009873" ,2098,"40.429099,-111.891887" ,1644,23719,1604,27445
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2353,40873,2403,41078
2136,"40.435821,-111.778905" ,2172,"40.380322,-111.818407" ,749,9176,774,9183
2136,"40.435821,-111.778905" ,2098,"40.429099,-111.891888" ,749,10610,718,10504
2032,"40.383234,-111.861698" ,2079,"40.436536,-111.830776" ,829,10394,782,8912
2032,"40.383234,-111.861698" ,2188,"40.352924,-111.768876" ,704,10491,716,10554
2228,"40.339253,-111.710746" ,2172,"40.380322,-111.818408" ,851,13195,970,11221
2228,"40.339253,-111.710746" ,2188,"40.352924,-111.768877" ,572,6250,570,6259
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,784,8402,694,8376
2337,"40.286065,-111.67176" ,2384,"40.25049,-111.649762" ,719,6751,698,6935
2337,"40.286065,-111.67176" ,2098,"40.429099,-111.89189" ,1409,27983,1466,28037
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,559,4810,571,4810
2292,"40.307934,-111.720354" ,2354,"40.300711,-111.663498" ,641,6641,622,6615
2798,"40.034617,-111.738078" ,2713,"40.040518,-111.751954" ,302,2914,304,2912
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,937,17249,964,15089
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1463,36020,1498,33847
2207,"40.37852,-111.764695" ,2098,"40.429099,-111.891891" ,913,14270,936,14293
2207,"40.37852,-111.764695" ,2326,"40.278561,-111.712749" ,992,15739,919,15559
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,782,8425,761,8428
2393,"40.237769,-111.649636" ,2326,"40.278561,-111.71275" ,902,10754,975,8885
2451,"40.22777,-111.670659" ,2384,"40.25049,-111.649764" ,574,4479,594,4466
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,916,18869,846,18460
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,963,9833,901,9810
2751,"40.046799,-111.675851" ,2713,"40.040518,-111.751955" ,644,7690,676,7690
2751,"40.046799,-111.675851" ,2354,"40.300711,-111.663501" ,1918,39631,2006,33602
2751,"40.046799,-111.675851" ,2560,"40.123602,-111.638833" ,981,11214,1014,11179
2851,"39.979668,-111.788998" ,2384,"40.25049,-111.649765" ,1783,37500,1731,37620
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1137,23872,1127,24093
1951,"40.356029,-111.947619" ,2326,"40.278561,-111.712752" ,1642,30171,1685,30180
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1495,21033,1389,21303
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,1989,49258,1941,49248
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,523,6221,510,6213
2509,"40.163571,-111.60687" ,2354,"40.300711,-111.663502" ,1342,18195,1338,18195
2509,"40.163571,-111.60687" ,2560,"40.123602,-111.638836" ,646,7366,562,6629
