O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1743,"40.5504323408,-111.838388036" ,2098,"40.4290987165,-111.891886358" ,1155,19941,1376,19951
1763,"40.5090001685,-111.875919320" ,2098,"40.4290987165,-111.891886358" ,828,12527,1101,12535
1218,"40.6934674976,-111.874152095" ,2098,"40.4290987165,-111.891886358" ,1565,33509,1822,33573
1324,"40.6726892565,-111.818289799" ,2384,"40.2504896532,-111.649761944" ,2958,70829,3188,71979
570,"40.985157543,-111.8864262" ,2079,"40.4365363407,-111.830775799" ,2619,70822,2803,70614
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,1748,35921,2018,36762
1762,"40.509556,-111.885784" ,2098,"40.429099,-111.891886" ,659,11162,927,11190
1866,"40.309293,-112.009873" ,1728,"40.5615693283,-111.894569839" ,2528,39705,2228,42324
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,1284,20623,1267,22408
2068,"40.417174,-111.854361" ,1600,"40.508763,-111.899716" ,1208,15410,991,17621
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,2075,31631,1609,31387
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,2782,54445,2345,54366
2393,"40.237769,-111.649636" ,972,"40.766088,-111.889662" ,3261,74012,2881,73952
1951,"40.356029,-111.947619" ,1728,"40.5615693283,-111.89456984" ,1999,30445,1626,28945
1866,"40.309293,-112.009873" ,2172,"40.380322,-111.818406" ,1736,24860,1772,25069
1866,"40.309293,-112.009873" ,2098,"40.429099,-111.891887" ,1803,23718,1583,27445
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2313,40873,2269,41078
2136,"40.435821,-111.778905" ,2098,"40.429099,-111.891888" ,715,10973,753,10504
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,773,11692,695,13905
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,786,9498,663,8376
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,561,4810,603,5359
2292,"40.307934,-111.720354" ,2384,"40.25049,-111.649763" ,1130,10953,1006,10872
2292,"40.307934,-111.720354" ,2354,"40.300711,-111.663498" ,639,6641,564,6615
2798,"40.034617,-111.738078" ,2713,"40.040518,-111.751954" ,318,2914,320,2912
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,842,15343,935,15088
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1427,33542,1461,33846
2207,"40.37852,-111.764695" ,2079,"40.436536,-111.830777" ,969,12049,846,12082
2207,"40.37852,-111.764695" ,2326,"40.278561,-111.712749" ,1086,15739,891,15559
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,754,8427,737,8428
2451,"40.22777,-111.670659" ,2384,"40.25049,-111.649764" ,566,4479,563,4466
2451,"40.22777,-111.670659" ,2326,"40.278561,-111.712751" ,640,9171,667,9561
2751,"40.046799,-111.675851" ,2713,"40.040518,-111.751955" ,653,7690,665,7690
2751,"40.046799,-111.675851" ,2354,"40.300711,-111.663501" ,1893,39631,1948,30225
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1067,24444,1124,24093
1951,"40.356029,-111.947619" ,2098,"40.429099,-111.891893" ,1206,14426,987,14066
1951,"40.356029,-111.947619" ,2326,"40.278561,-111.712752" ,1671,30171,1578,30180
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,2047,49258,1921,48682
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,477,6221,497,6213
2509,"40.163571,-111.60687" ,2354,"40.300711,-111.663502" ,1289,18195,1269,18195
2509,"40.163571,-111.60687" ,2560,"40.123602,-111.638836" ,480,6563,512,6629
