O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966056" ,2079,"40.4365363407,-111.830775799" ,2956,53690,2050,44759
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,4711,82627,3352,70439
1763,"40.5090001685,-111.875919320" ,2098,"40.4290987165,-111.891886358" ,903,12527,985,12558
1218,"40.6934674976,-111.874152095" ,2098,"40.4290987165,-111.891886358" ,2537,35173,1755,33573
1324,"40.6726892565,-111.818289799" ,2384,"40.2504896532,-111.649761944" ,4355,73740,3431,71979
1407,"40.519692227,-112.028651355" ,2098,"40.4290987165,-111.891886358" ,1540,23790,1583,22255
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,2187,37419,2125,36762
1866,"40.309293,-112.009873" ,1728,"40.5615693283,-111.894569839" ,2362,39705,2731,42298
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,1395,20623,1377,22408
2068,"40.417174,-111.854361" ,1600,"40.508763,-111.899716" ,1099,15411,1099,17621
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,1910,31631,2270,31387
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,2648,54445,3784,54366
2207,"40.37852,-111.764695" ,1600,"40.508763,-111.899717" ,1546,24408,1725,28921
2393,"40.237769,-111.649636" ,972,"40.766088,-111.889662" ,3327,74012,4659,73952
1611,"40.495514,-111.972" ,2098,"40.429099,-111.891892" ,1052,18704,1353,19038
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,2836,55108,3838,53211
1951,"40.356029,-111.947619" ,1728,"40.5615693283,-111.89456984" ,1794,30445,2221,28920
1866,"40.309293,-112.009873" ,2098,"40.429099,-111.891887" ,1793,23718,2037,27445
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2783,40873,3306,41078
2136,"40.435821,-111.778905" ,2098,"40.429099,-111.891888" ,755,10610,799,10504
2136,"40.435821,-111.778905" ,2354,"40.300711,-111.663496" ,1749,23705,1641,22222
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,1144,11692,736,13906
2032,"40.383234,-111.861698" ,2079,"40.436536,-111.830776" ,822,10394,832,8912
2032,"40.383234,-111.861698" ,2188,"40.352924,-111.768876" ,1090,10491,892,11060
2228,"40.339253,-111.710746" ,2172,"40.380322,-111.818408" ,998,13195,1120,12634
2228,"40.339253,-111.710746" ,2098,"40.429099,-111.891889" ,1223,21899,1701,24194
2228,"40.339253,-111.710746" ,2188,"40.352924,-111.768877" ,606,6250,567,6259
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,809,9732,712,8376
2337,"40.286065,-111.67176" ,2384,"40.25049,-111.649762" ,895,6645,724,6935
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,582,4810,577,4810
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,942,12687,1372,13522
2292,"40.307934,-111.720354" ,2384,"40.25049,-111.649763" ,1267,10984,1195,14229
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,1018,17247,1028,15088
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1434,36019,1456,33846
2207,"40.37852,-111.764695" ,2098,"40.429099,-111.891891" ,957,14268,1156,17018
2451,"40.22777,-111.670659" ,2384,"40.25049,-111.649764" ,593,4634,598,4569
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,1076,18869,1009,18460
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,920,9963,1021,10356
2451,"40.22777,-111.670659" ,2326,"40.278561,-111.712751" ,687,9171,738,9561
2751,"40.046799,-111.675851" ,2354,"40.300711,-111.663501" ,1888,39631,2072,36723
2851,"39.979668,-111.788998" ,2384,"40.25049,-111.649765" ,1839,37500,1763,37620
1951,"40.356029,-111.947619" ,2172,"40.380322,-111.81841" ,1200,14157,1627,17702
1951,"40.356029,-111.947619" ,2098,"40.429099,-111.891893" ,1257,13571,1478,14066
1932,"40.304745,-111.893748" ,2098,"40.429099,-111.891894" ,1388,17858,1818,17790
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,2018,49258,2781,49407
