O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966056" ,2079,"40.4365363407,-111.830775799" ,3345,53692,2043,44761
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,5300,70710,3688,70436
1530,"40.5456096957,-112.013648997" ,2098,"40.4290987165,-111.891886358" ,1625,25217,1611,25639
1743,"40.5504323408,-111.838388036" ,2098,"40.4290987165,-111.891886358" ,1531,18864,1320,19950
1324,"40.6726892565,-111.818289799" ,2384,"40.2504896532,-111.649761944" ,4719,70832,3670,71977
1407,"40.519692227,-112.028651356" ,2354,"40.3007107079,-111.663496277" ,3270,50454,3120,50471
570,"40.985157543,-111.8864262" ,2079,"40.4365363407,-111.830775799" ,3997,75087,3474,70617
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,2485,38684,2275,36761
2068,"40.417174,-111.854361" ,1600,"40.508763,-111.899716" ,979,15172,1262,17624
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,1918,31631,2367,31867
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,2874,53624,4236,54695
1611,"40.495514,-111.972" ,2098,"40.429099,-111.891892" ,1257,18706,1311,19037
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,2983,53521,4410,55760
1951,"40.356029,-111.947619" ,1728,"40.5615693283,-111.89456984" ,1905,28582,2299,30061
2136,"40.435821,-111.778905" ,2172,"40.380322,-111.818407" ,816,9176,849,9183
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,906,11692,780,13906
2032,"40.383234,-111.861698" ,2079,"40.436536,-111.830776" ,856,9026,835,8912
2228,"40.339253,-111.710746" ,2172,"40.380322,-111.818408" ,935,13194,1081,11219
2228,"40.339253,-111.710746" ,2098,"40.429099,-111.891889" ,1118,21898,1265,21358
2228,"40.339253,-111.710746" ,2188,"40.352924,-111.768877" ,675,6250,649,6259
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,858,8401,767,8376
2337,"40.286065,-111.67176" ,2098,"40.429099,-111.89189" ,1585,27979,1633,27468
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,622,5359,592,4813
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,871,12866,915,13523
2292,"40.307934,-111.720354" ,2354,"40.300711,-111.663498" ,685,6640,675,6832
2798,"40.034617,-111.738078" ,2713,"40.040518,-111.751954" ,298,2912,313,2912
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,892,17249,1016,15089
2207,"40.37852,-111.764695" ,2079,"40.436536,-111.830777" ,938,12049,890,12082
2207,"40.37852,-111.764695" ,2098,"40.429099,-111.891891" ,1113,14268,981,13724
2207,"40.37852,-111.764695" ,2326,"40.278561,-111.712749" ,1318,15739,1007,15560
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,857,8425,915,8428
2393,"40.237769,-111.649636" ,2326,"40.278561,-111.71275" ,977,10756,1043,8881
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,958,18869,1093,18460
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,982,9808,1039,9810
2451,"40.22777,-111.670659" ,2326,"40.278561,-111.712751" ,696,9171,702,9539
2751,"40.046799,-111.675851" ,2713,"40.040518,-111.751955" ,684,7690,719,7690
2751,"40.046799,-111.675851" ,2354,"40.300711,-111.663501" ,2117,36471,2198,39963
2751,"40.046799,-111.675851" ,2560,"40.123602,-111.638833" ,988,11931,1071,12101
2851,"39.979668,-111.788998" ,2384,"40.25049,-111.649765" ,1826,37500,1846,37618
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1122,23872,1155,24093
1951,"40.356029,-111.947619" ,2172,"40.380322,-111.81841" ,1308,14152,1603,14166
1951,"40.356029,-111.947619" ,2326,"40.278561,-111.712752" ,2036,30166,2239,30175
1932,"40.304745,-111.893748" ,2098,"40.429099,-111.891894" ,1460,17784,1838,19988
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,2108,49258,2091,48681
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,535,6221,530,6213
2509,"40.163571,-111.60687" ,2354,"40.300711,-111.663502" ,1379,18195,1527,18195
2509,"40.163571,-111.60687" ,2560,"40.123602,-111.638836" ,548,6563,535,6629
