O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966056" ,2079,"40.4365363407,-111.830775799" ,2549,45023,1902,44759
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,4052,70711,3303,70439
1530,"40.5456096957,-112.013648997" ,2098,"40.4290987165,-111.891886358" ,1442,25372,1571,25640
1743,"40.5504323408,-111.838388036" ,2098,"40.4290987165,-111.891886358" ,1379,20099,1271,19951
1218,"40.6934674976,-111.874152095" ,2098,"40.4290987165,-111.891886358" ,2008,37845,1622,33573
1324,"40.6726892565,-111.818289799" ,2384,"40.2504896532,-111.649761944" ,3496,70829,3380,71979
1407,"40.519692227,-112.028651355" ,2098,"40.4290987165,-111.891886358" ,1530,23947,1610,22255
1407,"40.519692227,-112.028651356" ,2354,"40.3007107079,-111.663496277" ,2674,50456,2908,50475
570,"40.985157543,-111.8864262" ,2079,"40.4365363407,-111.830775799" ,3182,70824,3336,70614
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,2055,36078,2005,36762
1762,"40.509556,-111.885784" ,2098,"40.429099,-111.891886" ,667,11320,696,11190
1866,"40.309293,-112.009873" ,1728,"40.5615693283,-111.894569839" ,2338,39701,2524,42205
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,1273,20623,1286,22408
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,1715,31631,1901,31387
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,2656,56577,2873,54363
2393,"40.237769,-111.649636" ,972,"40.766088,-111.889662" ,3341,74012,3667,73952
1611,"40.495514,-111.972" ,2098,"40.429099,-111.891892" ,1042,18862,1244,19038
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,2978,54638,3320,53211
1866,"40.309293,-112.009873" ,2172,"40.380322,-111.818406" ,1932,24860,1959,25069
1866,"40.309293,-112.009873" ,2098,"40.429099,-111.891887" ,1828,23719,1847,27445
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2520,40873,2562,41078
2136,"40.435821,-111.778905" ,2098,"40.429099,-111.891888" ,754,10767,782,10504
2136,"40.435821,-111.778905" ,2354,"40.300711,-111.663496" ,1739,21906,1618,23483
2032,"40.383234,-111.861698" ,2079,"40.436536,-111.830776" ,837,10394,842,8912
2032,"40.383234,-111.861698" ,2188,"40.352924,-111.768876" ,737,10491,752,10705
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,788,8402,728,8376
2228,"40.339253,-111.710746" ,2326,"40.278561,-111.712746" ,868,7608,778,10646
2337,"40.286065,-111.67176" ,2384,"40.25049,-111.649762" ,789,6751,720,6199
2337,"40.286065,-111.67176" ,2098,"40.429099,-111.89189" ,1519,28140,1489,28037
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,583,4810,635,5359
2292,"40.307934,-111.720354" ,2384,"40.25049,-111.649763" ,1218,13937,1166,10872
2798,"40.034617,-111.738078" ,2713,"40.040518,-111.751954" ,310,2914,319,2912
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1456,36020,1499,33847
2207,"40.37852,-111.764695" ,2079,"40.436536,-111.830777" ,891,12049,869,12082
2207,"40.37852,-111.764695" ,2098,"40.429099,-111.891891" ,1000,16558,930,14290
2207,"40.37852,-111.764695" ,2326,"40.278561,-111.712749" ,1121,15739,964,15559
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,822,8425,826,8428
2393,"40.237769,-111.649636" ,2326,"40.278561,-111.71275" ,920,10754,972,11165
2451,"40.22777,-111.670659" ,2384,"40.25049,-111.649764" ,610,4479,641,4466
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,963,9808,983,9810
2451,"40.22777,-111.670659" ,2326,"40.278561,-111.712751" ,676,9171,689,9561
2751,"40.046799,-111.675851" ,2713,"40.040518,-111.751955" ,670,7690,707,7690
2751,"40.046799,-111.675851" ,2354,"40.300711,-111.663501" ,1999,39631,2023,39996
2751,"40.046799,-111.675851" ,2560,"40.123602,-111.638833" ,1011,11184,1011,11179
2851,"39.979668,-111.788998" ,2384,"40.25049,-111.649765" ,1825,37500,1871,37620
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1173,23871,1242,24093
1951,"40.356029,-111.947619" ,2098,"40.429099,-111.891893" ,1163,13571,1207,14066
1951,"40.356029,-111.947619" ,2326,"40.278561,-111.712752" ,1787,30171,1817,30180
1932,"40.304745,-111.893748" ,2098,"40.429099,-111.891894" ,1396,17786,1566,17790
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1509,21033,1456,21303
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,532,6221,533,6213
2509,"40.163571,-111.60687" ,2354,"40.300711,-111.663502" ,1357,18195,1389,18195
2509,"40.163571,-111.60687" ,2560,"40.123602,-111.638836" ,524,6563,551,6629
