O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,4614,70708,3548,70439
1743,"40.5504323408,-111.838388036" ,2098,"40.4290987165,-111.891886358" ,1458,19941,1300,19951
1218,"40.6934674976,-111.874152095" ,2098,"40.4290987165,-111.891886358" ,2430,35182,1686,33573
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,2192,37419,2090,37782
1762,"40.509556,-111.885784" ,2098,"40.429099,-111.891886" ,777,11162,744,11190
1866,"40.309293,-112.009873" ,1728,"40.5615693283,-111.894569839" ,2414,39705,2987,45284
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,1241,20623,1418,22408
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,1843,31631,2148,31868
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,2993,53570,4078,53211
1951,"40.356029,-111.947619" ,1728,"40.5615693283,-111.89456984" ,1908,29974,2309,31906
1866,"40.309293,-112.009873" ,2172,"40.380322,-111.818406" ,1884,24860,2351,25229
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2661,40873,2895,41239
2136,"40.435821,-111.778905" ,2172,"40.380322,-111.818407" ,770,9176,728,8805
2136,"40.435821,-111.778905" ,2098,"40.429099,-111.891888" ,772,10973,738,10504
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,813,11692,746,13906
2228,"40.339253,-111.710746" ,2172,"40.380322,-111.818408" ,934,13195,1017,11221
2228,"40.339253,-111.710746" ,2098,"40.429099,-111.891889" ,1181,21899,1279,21357
2228,"40.339253,-111.710746" ,2188,"40.352924,-111.768877" ,669,6250,614,6259
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,858,9498,699,8376
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,586,4810,599,4810
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,835,12687,1010,13522
2292,"40.307934,-111.720354" ,2354,"40.300711,-111.663498" ,663,6641,659,6615
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,906,17248,1070,15088
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1505,36019,1547,33846
2207,"40.37852,-111.764695" ,2079,"40.436536,-111.830777" ,943,12049,829,12082
2207,"40.37852,-111.764695" ,2098,"40.429099,-111.891891" ,1060,16727,989,13727
2207,"40.37852,-111.764695" ,2326,"40.278561,-111.712749" ,1258,15739,953,15559
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,842,8425,866,8428
2393,"40.237769,-111.649636" ,2326,"40.278561,-111.71275" ,1023,10754,1070,8885
2451,"40.22777,-111.670659" ,2384,"40.25049,-111.649764" ,628,4479,644,4466
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,1013,18869,1004,18460
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,1032,9965,995,9810
2451,"40.22777,-111.670659" ,2326,"40.278561,-111.712751" ,733,9171,676,9561
2751,"40.046799,-111.675851" ,2713,"40.040518,-111.751955" ,667,7690,689,7690
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1194,23872,1208,24093
1951,"40.356029,-111.947619" ,2172,"40.380322,-111.81841" ,1217,14157,1585,14171
1951,"40.356029,-111.947619" ,2326,"40.278561,-111.712752" ,1908,30171,2153,30180
1932,"40.304745,-111.893748" ,2098,"40.429099,-111.891894" ,1390,17858,1865,17790
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1502,21033,1528,21303
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,2087,49258,2093,48682
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,505,5709,511,6213
