O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966056" ,2079,"40.4365363407,-111.830775799" ,1768,45023,1800,44761
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,2834,70710,2892,70492
1530,"40.5456096957,-112.013648997" ,2098,"40.4290987165,-111.891886358" ,1236,25217,1352,25639
1743,"40.5504323408,-111.838388036" ,2098,"40.4290987165,-111.891886358" ,1172,19943,1114,19950
1763,"40.5090001685,-111.875919320" ,2098,"40.4290987165,-111.891886358" ,817,12530,750,12536
1407,"40.519692227,-112.028651355" ,2098,"40.4290987165,-111.891886358" ,1237,23791,1441,24115
570,"40.985157543,-111.8864262" ,2079,"40.4365363407,-111.830775799" ,2497,70822,2533,70617
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,1746,37421,1772,36760
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,1033,20627,1116,22410
2068,"40.417174,-111.854361" ,1600,"40.508763,-111.899716" ,824,15411,953,17623
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,1657,31631,1541,31385
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,2351,54391,2344,54695
1611,"40.495514,-111.972" ,2098,"40.429099,-111.891892" ,924,18706,1079,19037
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,2692,54706,2642,55554
1951,"40.356029,-111.947619" ,1728,"40.5615693283,-111.89456984" ,1630,30096,1700,28857
1866,"40.309293,-112.009873" ,2098,"40.429099,-111.891887" ,1681,23719,1628,27445
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2231,40872,2278,41077
2136,"40.435821,-111.778905" ,2172,"40.380322,-111.818407" ,726,9176,795,9183
2136,"40.435821,-111.778905" ,2098,"40.429099,-111.891888" ,674,10972,659,10504
2136,"40.435821,-111.778905" ,2354,"40.300711,-111.663496" ,1497,21905,1431,23481
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,730,11692,675,13907
2032,"40.383234,-111.861698" ,2188,"40.352924,-111.768876" ,720,10302,688,10552
2228,"40.339253,-111.710746" ,2172,"40.380322,-111.818408" ,783,13195,880,11219
2228,"40.339253,-111.710746" ,2098,"40.429099,-111.891889" ,1035,21900,1077,21358
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,698,8402,657,8376
2337,"40.286065,-111.67176" ,2098,"40.429099,-111.89189" ,1359,27982,1353,27471
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,533,4810,521,4813
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,659,12686,722,13523
2292,"40.307934,-111.720354" ,2384,"40.25049,-111.649763" ,1005,10953,947,10927
2292,"40.307934,-111.720354" ,2354,"40.300711,-111.663498" ,577,6641,586,6615
2798,"40.034617,-111.738078" ,2713,"40.040518,-111.751954" ,292,2910,306,2912
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,829,17249,908,15089
2207,"40.37852,-111.764695" ,2326,"40.278561,-111.712749" ,952,15739,872,15560
2393,"40.237769,-111.649636" ,2326,"40.278561,-111.71275" ,865,8858,839,8885
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,889,18870,773,18460
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,810,9833,769,9810
2451,"40.22777,-111.670659" ,2326,"40.278561,-111.712751" ,653,9171,605,9564
2751,"40.046799,-111.675851" ,2560,"40.123602,-111.638833" ,918,11789,937,11476
2851,"39.979668,-111.788998" ,2384,"40.25049,-111.649765" ,1685,37500,1689,37725
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1060,23872,1095,24093
1951,"40.356029,-111.947619" ,2172,"40.380322,-111.81841" ,928,14152,1038,14166
1951,"40.356029,-111.947619" ,2098,"40.429099,-111.891893" ,1029,13566,975,14074
1932,"40.304745,-111.893748" ,2172,"40.380322,-111.818411" ,1127,18372,1260,18453
1932,"40.304745,-111.893748" ,2098,"40.429099,-111.891894" ,1233,17786,1316,17863
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1276,21034,1326,21408
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,1848,49260,1809,48681
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,485,6221,517,6213
