O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966056" ,2079,"40.4365363407,-111.830775799" ,2925,45023,1986,44761
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,4521,70710,3518,70436
1530,"40.5456096957,-112.013648997" ,2098,"40.4290987165,-111.891886358" ,1461,25217,1639,25639
1743,"40.5504323408,-111.838388036" ,2098,"40.4290987165,-111.891886358" ,1400,19943,1309,19950
1324,"40.6726892565,-111.818289799" ,2384,"40.2504896532,-111.649761944" ,3813,70832,3475,71977
1407,"40.519692227,-112.028651356" ,2354,"40.3007107079,-111.663496277" ,3005,51157,3016,50471
570,"40.985157543,-111.8864262" ,2079,"40.4365363407,-111.830775799" ,3633,70822,3150,70617
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,2416,35920,2092,36761
2068,"40.417174,-111.854361" ,1600,"40.508763,-111.899716" ,948,15172,983,17624
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,1883,31631,2008,31385
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,2788,56083,3344,54357
1611,"40.495514,-111.972" ,2098,"40.429099,-111.891892" ,1032,18706,1291,19037
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,3067,53192,3835,53209
1951,"40.356029,-111.947619" ,1728,"40.5615693283,-111.89456984" ,1879,28582,2029,31819
2136,"40.435821,-111.778905" ,2172,"40.380322,-111.818407" ,781,9176,814,9183
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,855,11692,721,13906
2032,"40.383234,-111.861698" ,2079,"40.436536,-111.830776" ,891,9026,853,8912
2228,"40.339253,-111.710746" ,2172,"40.380322,-111.818408" ,899,13194,1080,11219
2228,"40.339253,-111.710746" ,2098,"40.429099,-111.891889" ,1122,21898,1145,21358
2228,"40.339253,-111.710746" ,2188,"40.352924,-111.768877" ,705,6250,629,6259
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,853,8401,735,8376
2337,"40.286065,-111.67176" ,2098,"40.429099,-111.89189" ,1552,27979,1481,27508
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,612,5359,637,4813
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,774,12866,866,13523
2292,"40.307934,-111.720354" ,2354,"40.300711,-111.663498" ,734,6640,650,6832
2798,"40.034617,-111.738078" ,2713,"40.040518,-111.751954" ,303,2912,320,2912
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,962,17249,1007,15089
2207,"40.37852,-111.764695" ,2079,"40.436536,-111.830777" ,938,12049,903,12082
2207,"40.37852,-111.764695" ,2098,"40.429099,-111.891891" ,1058,16726,990,13724
2207,"40.37852,-111.764695" ,2326,"40.278561,-111.712749" ,1327,15739,1008,15560
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,833,8425,857,8428
2393,"40.237769,-111.649636" ,2326,"40.278561,-111.71275" ,1002,10756,1076,8881
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,1008,18869,1100,18460
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,968,9808,1008,9810
2451,"40.22777,-111.670659" ,2326,"40.278561,-111.712751" ,727,9171,738,9539
2751,"40.046799,-111.675851" ,2713,"40.040518,-111.751955" ,700,7690,753,7690
2751,"40.046799,-111.675851" ,2354,"40.300711,-111.663501" ,2165,29976,2107,39963
2751,"40.046799,-111.675851" ,2560,"40.123602,-111.638833" ,1068,11931,1071,12101
2851,"39.979668,-111.788998" ,2384,"40.25049,-111.649765" ,1815,37500,1809,37618
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1170,23872,1164,24093
1951,"40.356029,-111.947619" ,2172,"40.380322,-111.81841" ,1279,14152,1376,14166
1951,"40.356029,-111.947619" ,2326,"40.278561,-111.712752" ,1901,30166,2035,30175
1932,"40.304745,-111.893748" ,2098,"40.429099,-111.891894" ,1515,17784,1626,19988
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,2109,49258,2024,48681
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,553,6221,545,6213
2509,"40.163571,-111.60687" ,2354,"40.300711,-111.663502" ,1399,18195,1444,18195
2509,"40.163571,-111.60687" ,2560,"40.123602,-111.638836" ,530,6563,568,6629
