O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,3067,70711,3128,70438
1530,"40.5456096957,-112.013648997" ,2098,"40.4290987165,-111.891886358" ,1240,25372,1484,25640
1743,"40.5504323408,-111.838388036" ,2098,"40.4290987165,-111.891886358" ,1155,20099,1180,19951
1763,"40.5090001685,-111.875919320" ,2098,"40.4290987165,-111.891886358" ,782,12686,807,12536
1218,"40.6934674976,-111.874152095" ,2098,"40.4290987165,-111.891886358" ,1514,33666,1677,33573
1324,"40.6726892565,-111.818289799" ,2384,"40.2504896532,-111.649761944" ,3010,70829,3071,71957
1407,"40.519692227,-112.028651355" ,2098,"40.4290987165,-111.891886358" ,1334,23946,1545,22744
1407,"40.519692227,-112.028651356" ,2354,"40.3007107079,-111.663496277" ,2327,50455,2534,50475
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,1763,37575,2014,36763
1762,"40.509556,-111.885784" ,2098,"40.429099,-111.891886" ,623,11322,642,11191
1866,"40.309293,-112.009873" ,1728,"40.5615693283,-111.894569839" ,2385,41888,2257,42205
2068,"40.417174,-111.854361" ,1600,"40.508763,-111.899716" ,892,15442,938,17621
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,1762,31631,1632,31387
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,2553,56577,2287,54363
2207,"40.37852,-111.764695" ,1600,"40.508763,-111.899717" ,1287,26540,1306,26168
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,3142,54760,2556,53219
1866,"40.309293,-112.009873" ,2172,"40.380322,-111.818406" ,1836,24858,1783,25067
1866,"40.309293,-112.009873" ,2098,"40.429099,-111.891887" ,1816,27006,1587,27445
2136,"40.435821,-111.778905" ,2172,"40.380322,-111.818407" ,707,9176,734,9183
2136,"40.435821,-111.778905" ,2098,"40.429099,-111.891888" ,694,10767,742,10504
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,772,11692,646,13907
2032,"40.383234,-111.861698" ,2188,"40.352924,-111.768876" ,711,10491,645,10554
2228,"40.339253,-111.710746" ,2172,"40.380322,-111.818408" ,775,13195,928,11527
2228,"40.339253,-111.710746" ,2098,"40.429099,-111.891889" ,1036,22057,1106,21924
2228,"40.339253,-111.710746" ,2188,"40.352924,-111.768877" ,529,6250,532,6259
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,717,8402,658,8376
2228,"40.339253,-111.710746" ,2326,"40.278561,-111.712746" ,832,7608,833,7598
2337,"40.286065,-111.67176" ,2098,"40.429099,-111.89189" ,1363,28140,1431,28037
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,519,4810,552,4810
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,651,12686,732,13522
2292,"40.307934,-111.720354" ,2384,"40.25049,-111.649763" ,1059,10984,977,10872
2798,"40.034617,-111.738078" ,2713,"40.040518,-111.751954" ,304,2914,309,2912
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,879,17249,899,15089
2207,"40.37852,-111.764695" ,2079,"40.436536,-111.830777" ,879,12049,821,12082
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,702,8425,679,8428
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,934,18869,888,18460
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,839,9963,814,9810
2751,"40.046799,-111.675851" ,2713,"40.040518,-111.751955" ,625,7690,660,7690
2751,"40.046799,-111.675851" ,2354,"40.300711,-111.663501" ,1794,39633,1896,39995
2751,"40.046799,-111.675851" ,2560,"40.123602,-111.638833" ,936,11184,942,11179
2851,"39.979668,-111.788998" ,2384,"40.25049,-111.649765" ,1695,37500,1690,37725
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1087,23872,1090,24093
1951,"40.356029,-111.947619" ,2172,"40.380322,-111.81841" ,1139,14152,1056,14166
1951,"40.356029,-111.947619" ,2098,"40.429099,-111.891893" ,1290,13566,957,14074
1951,"40.356029,-111.947619" ,2326,"40.278561,-111.712752" ,1732,28909,1633,28886
1932,"40.304745,-111.893748" ,2172,"40.380322,-111.818411" ,1287,18372,1290,18380
1932,"40.304745,-111.893748" ,2098,"40.429099,-111.891894" ,1422,17786,1227,18684
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1331,21033,1312,21408
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,1845,49416,1894,49247
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,497,6221,496,6213
2509,"40.163571,-111.60687" ,2560,"40.123602,-111.638836" ,466,6563,480,6629
