O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966056" ,2079,"40.4365363407,-111.830775799" ,1973,45023,1837,44761
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,3106,70710,2956,73719
1530,"40.5456096957,-112.013648997" ,2098,"40.4290987165,-111.891886358" ,1252,25217,1394,25639
1763,"40.5090001685,-111.875919320" ,2098,"40.4290987165,-111.891886358" ,798,12530,745,12536
1218,"40.6934674976,-111.874152095" ,2098,"40.4290987165,-111.891886358" ,1582,35118,1494,33572
1324,"40.6726892565,-111.818289799" ,2384,"40.2504896532,-111.649761944" ,2907,70831,3111,70590
1407,"40.519692227,-112.028651355" ,2098,"40.4290987165,-111.891886358" ,1296,23791,1449,24115
570,"40.985157543,-111.8864262" ,2079,"40.4365363407,-111.830775799" ,2579,70821,2513,70617
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,1734,35920,1778,36760
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,1044,20627,1230,22410
2068,"40.417174,-111.854361" ,1600,"40.508763,-111.899716" ,762,15411,905,17623
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,1661,31631,1623,31385
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,2443,54445,2351,54358
2207,"40.37852,-111.764695" ,1600,"40.508763,-111.899717" ,1249,24408,1348,26169
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,2756,54760,2513,53239
1951,"40.356029,-111.947619" ,1728,"40.5615693283,-111.89456984" ,1591,29676,1642,28857
1866,"40.309293,-112.009873" ,2098,"40.429099,-111.891887" ,1664,23719,1635,27445
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2348,40872,2329,41077
2136,"40.435821,-111.778905" ,2354,"40.300711,-111.663496" ,1698,21905,1524,23481
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,783,11692,663,13907
2032,"40.383234,-111.861698" ,2188,"40.352924,-111.768876" ,683,10491,708,10552
2228,"40.339253,-111.710746" ,2172,"40.380322,-111.818408" ,804,13195,917,11219
2228,"40.339253,-111.710746" ,2098,"40.429099,-111.891889" ,1053,21900,1091,21358
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,783,8402,676,8376
2228,"40.339253,-111.710746" ,2326,"40.278561,-111.712746" ,837,7608,730,10646
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,548,4810,616,5359
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,681,12686,768,13523
2292,"40.307934,-111.720354" ,2384,"40.25049,-111.649763" ,1120,13940,1099,10927
2292,"40.307934,-111.720354" ,2354,"40.300711,-111.663498" ,680,6641,591,6615
2798,"40.034617,-111.738078" ,2713,"40.040518,-111.751954" ,305,2910,320,2912
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,881,17249,922,15089
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1462,36020,1475,33850
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,783,8425,756,8427
2451,"40.22777,-111.670659" ,2384,"40.25049,-111.649764" ,544,4479,616,4572
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,923,18870,836,18460
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,969,9833,924,9810
2751,"40.046799,-111.675851" ,2713,"40.040518,-111.751955" ,668,7690,693,7690
2751,"40.046799,-111.675851" ,2354,"40.300711,-111.663501" ,1927,39633,1917,39965
2751,"40.046799,-111.675851" ,2560,"40.123602,-111.638833" ,985,11789,1017,11476
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1091,23872,1113,24093
1951,"40.356029,-111.947619" ,2172,"40.380322,-111.81841" ,1054,14152,1092,14166
1951,"40.356029,-111.947619" ,2098,"40.429099,-111.891893" ,1115,13566,1002,14074
1951,"40.356029,-111.947619" ,2326,"40.278561,-111.712752" ,1624,30166,1646,30175
1932,"40.304745,-111.893748" ,2172,"40.380322,-111.818411" ,1250,18372,1344,18453
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1424,21034,1413,21408
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,1954,49260,1926,48681
2509,"40.163571,-111.60687" ,2560,"40.123602,-111.638836" ,504,6563,520,6629
