O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,2907,70710,2931,70436
1530,"40.5456096957,-112.013648997" ,2098,"40.4290987165,-111.891886358" ,1264,25217,1431,24117
1218,"40.6934674976,-111.874152095" ,2098,"40.4290987165,-111.891886358" ,1576,33504,1501,33572
1324,"40.6726892565,-111.818289799" ,2384,"40.2504896532,-111.649761944" ,2912,70831,3006,71976
1407,"40.519692227,-112.028651356" ,2354,"40.3007107079,-111.663496277" ,2394,50455,2463,50473
570,"40.985157543,-111.8864262" ,2079,"40.4365363407,-111.830775799" ,2578,70821,2475,70617
1866,"40.309293,-112.009873" ,1728,"40.5615693283,-111.894569839" ,2260,38607,2225,38988
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,1075,20388,1191,22490
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,2297,54840,2333,54358
2207,"40.37852,-111.764695" ,1600,"40.508763,-111.899717" ,1250,24169,1352,26250
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,2758,53641,2515,53214
1951,"40.356029,-111.947619" ,1728,"40.5615693283,-111.89456984" ,1755,28582,1629,28832
1866,"40.309293,-112.009873" ,2098,"40.429099,-111.891887" ,1660,23719,1623,24230
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2188,40872,2275,41077
2136,"40.435821,-111.778905" ,2098,"40.429099,-111.891888" ,668,10609,736,10504
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,797,11692,665,13906
2032,"40.383234,-111.861698" ,2079,"40.436536,-111.830776" ,810,8735,810,8912
2228,"40.339253,-111.710746" ,2188,"40.352924,-111.768877" ,545,6250,552,6259
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,734,8401,672,8376
2228,"40.339253,-111.710746" ,2326,"40.278561,-111.712746" ,838,7608,717,10647
2337,"40.286065,-111.67176" ,2384,"40.25049,-111.649762" ,704,6266,629,6935
2337,"40.286065,-111.67176" ,2098,"40.429099,-111.89189" ,1361,27980,1429,27469
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,666,12866,746,13523
2292,"40.307934,-111.720354" ,2384,"40.25049,-111.649763" ,1079,10953,995,10927
2292,"40.307934,-111.720354" ,2354,"40.300711,-111.663498" ,630,6640,580,6615
2798,"40.034617,-111.738078" ,2713,"40.040518,-111.751954" ,302,2912,320,2912
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,923,17249,922,15089
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1417,36020,1456,33825
2207,"40.37852,-111.764695" ,2079,"40.436536,-111.830777" ,880,12049,853,12082
2207,"40.37852,-111.764695" ,2326,"40.278561,-111.712749" ,1011,15739,902,15560
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,687,8425,712,8428
2393,"40.237769,-111.649636" ,2326,"40.278561,-111.71275" ,858,10756,837,8881
2451,"40.22777,-111.670659" ,2384,"40.25049,-111.649764" ,556,4479,560,4572
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,893,18870,856,18460
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,822,9808,843,9810
2451,"40.22777,-111.670659" ,2326,"40.278561,-111.712751" ,651,9171,652,9539
2751,"40.046799,-111.675851" ,2713,"40.040518,-111.751955" ,657,7690,688,7690
2751,"40.046799,-111.675851" ,2354,"40.300711,-111.663501" ,1867,39631,1880,39964
2751,"40.046799,-111.675851" ,2560,"40.123602,-111.638833" ,949,12332,967,12101
2851,"39.979668,-111.788998" ,2384,"40.25049,-111.649765" ,1727,37500,1667,37725
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1150,23872,1097,24093
1951,"40.356029,-111.947619" ,2098,"40.429099,-111.891893" ,1054,14418,966,14074
1951,"40.356029,-111.947619" ,2326,"40.278561,-111.712752" ,1561,30166,1563,30175
1932,"40.304745,-111.893748" ,2172,"40.380322,-111.818411" ,1208,18372,1267,18453
1932,"40.304745,-111.893748" ,2098,"40.429099,-111.891894" ,1254,18637,1249,18749
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1381,21035,1319,21409
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,1890,49259,1896,48681
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,522,6221,516,6213
2509,"40.163571,-111.60687" ,2354,"40.300711,-111.663502" ,1224,18195,1264,18195
2509,"40.163571,-111.60687" ,2560,"40.123602,-111.638836" ,490,6563,512,6629
