O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966056" ,2079,"40.4365363407,-111.830775799" ,1725,45023,1719,44761
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,2788,70710,2755,70436
1530,"40.5456096957,-112.013648997" ,2098,"40.4290987165,-111.891886358" ,1188,25217,1317,24117
1218,"40.6934674976,-111.874152095" ,2098,"40.4290987165,-111.891886358" ,1408,33504,1390,33572
570,"40.985157543,-111.8864262" ,2079,"40.4365363407,-111.830775799" ,2476,70822,2439,70617
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,1644,35920,1645,36761
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,948,20388,1035,22410
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,1504,31631,1456,31385
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,2296,54840,2222,54358
2207,"40.37852,-111.764695" ,1600,"40.508763,-111.899717" ,1181,24169,1255,26169
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,2414,53641,2312,53214
1866,"40.309293,-112.009873" ,2172,"40.380322,-111.818406" ,1521,24858,1515,25067
1866,"40.309293,-112.009873" ,2098,"40.429099,-111.891887" ,1464,23719,1449,24230
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2077,40872,2053,41077
2136,"40.435821,-111.778905" ,2172,"40.380322,-111.818407" ,635,9176,673,9183
2136,"40.435821,-111.778905" ,2354,"40.300711,-111.663496" ,1392,21904,1345,21869
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,763,11692,623,13906
2032,"40.383234,-111.861698" ,2188,"40.352924,-111.768876" ,683,10302,581,10552
2228,"40.339253,-111.710746" ,2098,"40.429099,-111.891889" ,987,21898,1021,20252
2228,"40.339253,-111.710746" ,2188,"40.352924,-111.768877" ,457,6250,492,6259
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,641,8401,586,8376
2228,"40.339253,-111.710746" ,2326,"40.278561,-111.712746" ,752,7608,708,10647
2337,"40.286065,-111.67176" ,2098,"40.429099,-111.89189" ,1327,27980,1356,27469
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,482,4810,506,4813
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,637,12866,698,13523
2292,"40.307934,-111.720354" ,2384,"40.25049,-111.649763" ,949,10953,968,10927
2292,"40.307934,-111.720354" ,2354,"40.300711,-111.663498" ,554,6640,543,6615
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,804,17249,894,15089
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1418,36020,1443,33825
2207,"40.37852,-111.764695" ,2079,"40.436536,-111.830777" ,806,12049,727,12082
2207,"40.37852,-111.764695" ,2098,"40.429099,-111.891891" ,820,16726,834,13724
2207,"40.37852,-111.764695" ,2326,"40.278561,-111.712749" ,878,15738,822,15560
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,637,8425,627,8428
2451,"40.22777,-111.670659" ,2384,"40.25049,-111.649764" ,513,4479,500,4572
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,844,18870,784,18460
2451,"40.22777,-111.670659" ,2326,"40.278561,-111.712751" ,615,9171,627,9539
2751,"40.046799,-111.675851" ,2713,"40.040518,-111.751955" ,593,7690,622,7690
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1019,23872,1135,24093
1951,"40.356029,-111.947619" ,2172,"40.380322,-111.81841" ,884,14152,855,14166
1951,"40.356029,-111.947619" ,2098,"40.429099,-111.891893" ,910,13694,877,14074
1951,"40.356029,-111.947619" ,2326,"40.278561,-111.712752" ,1450,30166,1409,30175
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1235,21034,1253,21409
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,487,6221,477,6213
2509,"40.163571,-111.60687" ,2354,"40.300711,-111.663502" ,1142,18195,1144,18195
2509,"40.163571,-111.60687" ,2560,"40.123602,-111.638836" ,457,6563,460,6629
