O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,4737,70708,4948,70439
1743,"40.5504323408,-111.838388036" ,2098,"40.4290987165,-111.891886358" ,1464,19941,1461,19951
1763,"40.5090001685,-111.875919320" ,2098,"40.4290987165,-111.891886358" ,1005,12527,990,12535
1218,"40.6934674976,-111.874152095" ,2098,"40.4290987165,-111.891886358" ,2672,33205,3484,33573
1407,"40.519692227,-112.028651355" ,2098,"40.4290987165,-111.891886358" ,1823,23790,1959,24116
1407,"40.519692227,-112.028651356" ,2354,"40.3007107079,-111.663496277" ,3355,50456,3494,50475
570,"40.985157543,-111.8864262" ,2079,"40.4365363407,-111.830775799" ,4468,70822,4827,70614
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,2697,37419,2908,37782
1866,"40.309293,-112.009873" ,1728,"40.5615693283,-111.894569839" ,2724,40121,2667,42205
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,1571,20623,1557,22408
2068,"40.417174,-111.854361" ,1600,"40.508763,-111.899716" ,1083,15411,1301,17621
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,4594,54445,4115,54366
2207,"40.37852,-111.764695" ,1600,"40.508763,-111.899717" ,1884,24408,1892,26171
2393,"40.237769,-111.649636" ,972,"40.766088,-111.889662" ,4985,74012,4746,73952
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,4619,54638,4147,53212
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2681,40873,2837,41078
2136,"40.435821,-111.778905" ,2172,"40.380322,-111.818407" ,954,9176,875,9183
2136,"40.435821,-111.778905" ,2098,"40.429099,-111.891888" ,978,10610,884,10504
2136,"40.435821,-111.778905" ,2354,"40.300711,-111.663496" ,1826,22248,1732,22222
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,1095,11692,981,13905
2032,"40.383234,-111.861698" ,2188,"40.352924,-111.768876" ,1008,10302,841,10552
2228,"40.339253,-111.710746" ,2188,"40.352924,-111.768877" ,668,6250,660,6259
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,808,9498,701,8376
2228,"40.339253,-111.710746" ,2326,"40.278561,-111.712746" ,906,7608,753,10646
2337,"40.286065,-111.67176" ,2384,"40.25049,-111.649762" ,730,6751,696,6935
2337,"40.286065,-111.67176" ,2098,"40.429099,-111.89189" ,2025,27983,1933,27470
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,577,4810,580,4810
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,1141,12864,1149,13522
2292,"40.307934,-111.720354" ,2384,"40.25049,-111.649763" ,1144,10953,1042,10872
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1618,33542,1554,33846
2207,"40.37852,-111.764695" ,2079,"40.436536,-111.830777" ,1201,12049,1143,12082
2207,"40.37852,-111.764695" ,2326,"40.278561,-111.712749" ,1406,15739,1291,15559
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,750,8425,755,8428
2393,"40.237769,-111.649636" ,2326,"40.278561,-111.71275" ,889,10754,910,8885
2451,"40.22777,-111.670659" ,2384,"40.25049,-111.649764" ,639,4503,583,4466
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,1240,18869,1051,18460
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,917,9833,879,9810
2751,"40.046799,-111.675851" ,2713,"40.040518,-111.751955" ,733,7690,783,7690
2751,"40.046799,-111.675851" ,2354,"40.300711,-111.663501" ,1992,39631,2070,30225
2751,"40.046799,-111.675851" ,2560,"40.123602,-111.638833" ,1022,14178,1041,11075
2851,"39.979668,-111.788998" ,2384,"40.25049,-111.649765" ,1964,37500,1801,37620
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1266,23872,1278,24093
1951,"40.356029,-111.947619" ,2098,"40.429099,-111.891893" ,1426,13571,1131,14066
1951,"40.356029,-111.947619" ,2326,"40.278561,-111.712752" ,2093,30171,2083,30180
1932,"40.304745,-111.893748" ,2172,"40.380322,-111.818411" ,1281,18446,1411,18454
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1459,21033,1420,21303
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,2518,49258,2503,48682
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,575,6221,534,6213
2509,"40.163571,-111.60687" ,2560,"40.123602,-111.638836" ,489,6563,518,6629
