O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,4220,70708,3663,70439
1743,"40.5504323408,-111.838388036" ,2098,"40.4290987165,-111.891886358" ,1443,19941,1362,19951
1763,"40.5090001685,-111.875919320" ,2098,"40.4290987165,-111.891886358" ,964,12527,926,12535
1218,"40.6934674976,-111.874152095" ,2098,"40.4290987165,-111.891886358" ,2345,33509,2446,33573
1407,"40.519692227,-112.028651355" ,2098,"40.4290987165,-111.891886358" ,1793,23790,1869,22744
1407,"40.519692227,-112.028651356" ,2354,"40.3007107079,-111.663496277" ,3100,46666,2954,50475
570,"40.985157543,-111.8864262" ,2079,"40.4365363407,-111.830775799" ,3686,70822,3956,70614
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,2569,37419,2559,36762
1866,"40.309293,-112.009873" ,1728,"40.5615693283,-111.894569839" ,2468,40121,2582,42205
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,1454,20623,1487,22408
2068,"40.417174,-111.854361" ,1600,"40.508763,-111.899716" ,985,15411,1239,17621
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,3375,54445,3511,54366
2207,"40.37852,-111.764695" ,1600,"40.508763,-111.899717" ,1625,24408,1863,26171
2393,"40.237769,-111.649636" ,972,"40.766088,-111.889662" ,3807,74012,4158,73952
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,3514,54726,3535,53212
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2439,40873,2386,45809
2136,"40.435821,-111.778905" ,2172,"40.380322,-111.818407" ,885,9176,886,9183
2136,"40.435821,-111.778905" ,2098,"40.429099,-111.891888" ,941,10610,852,10504
2136,"40.435821,-111.778905" ,2354,"40.300711,-111.663496" ,1734,22248,1623,22222
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,1027,11692,808,13905
2032,"40.383234,-111.861698" ,2188,"40.352924,-111.768876" ,942,10302,776,10552
2228,"40.339253,-111.710746" ,2188,"40.352924,-111.768877" ,630,6250,613,6259
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,750,8402,666,8376
2228,"40.339253,-111.710746" ,2326,"40.278561,-111.712746" ,847,7608,779,10646
2337,"40.286065,-111.67176" ,2384,"40.25049,-111.649762" ,724,6266,686,6935
2337,"40.286065,-111.67176" ,2098,"40.429099,-111.89189" ,1565,27983,1809,27470
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,546,4810,565,4810
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,765,12864,1040,13522
2292,"40.307934,-111.720354" ,2384,"40.25049,-111.649763" ,1131,10984,1005,10872
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1765,36019,1580,33846
2207,"40.37852,-111.764695" ,2079,"40.436536,-111.830777" ,1129,12049,1090,12082
2207,"40.37852,-111.764695" ,2326,"40.278561,-111.712749" ,1341,15739,983,15559
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,738,8425,723,8428
2393,"40.237769,-111.649636" ,2326,"40.278561,-111.71275" ,878,10754,890,8885
2451,"40.22777,-111.670659" ,2384,"40.25049,-111.649764" ,596,4503,586,4466
2451,"40.22777,-111.670659" ,2188,"40.352924,-111.768878" ,956,18869,1028,18460
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,882,9833,844,9810
2751,"40.046799,-111.675851" ,2713,"40.040518,-111.751955" ,841,7690,720,7690
2751,"40.046799,-111.675851" ,2354,"40.300711,-111.663501" ,2113,39631,2058,30225
2751,"40.046799,-111.675851" ,2560,"40.123602,-111.638833" ,1060,11184,1104,11075
2851,"39.979668,-111.788998" ,2384,"40.25049,-111.649765" ,2013,37500,1841,37620
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1294,23872,1242,24093
1951,"40.356029,-111.947619" ,2098,"40.429099,-111.891893" ,1210,14426,1039,14066
1951,"40.356029,-111.947619" ,2326,"40.278561,-111.712752" ,1885,30171,1664,30180
1932,"40.304745,-111.893748" ,2172,"40.380322,-111.818411" ,1240,18446,1317,18454
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1594,21033,1442,21303
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,2389,49258,2417,48682
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,573,6221,562,6213
2509,"40.163571,-111.60687" ,2560,"40.123602,-111.638836" ,507,6563,531,6629
