O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,3272,70711,3048,70438
1530,"40.5456096957,-112.013648997" ,2098,"40.4290987165,-111.891886358" ,1249,25372,1426,25640
1743,"40.5504323408,-111.838388036" ,2098,"40.4290987165,-111.891886358" ,1207,20099,1140,19951
1763,"40.5090001685,-111.875919320" ,2098,"40.4290987165,-111.891886358" ,785,12686,763,12536
1407,"40.519692227,-112.028651355" ,2098,"40.4290987165,-111.891886358" ,1316,23946,1555,24116
934,"40.6457884605,-112.020107498" ,2098,"40.4290987165,-111.891886358" ,1775,36078,1845,36763
1762,"40.509556,-111.885784" ,2098,"40.429099,-111.891886" ,618,11322,601,11191
1866,"40.309293,-112.009873" ,1728,"40.5615693283,-111.894569839" ,2263,40121,2241,42205
2068,"40.417174,-111.854361" ,1600,"40.508763,-111.899716" ,800,15442,911,17621
2032,"40.383234,-111.861698" ,1469,"40.6061126176,-111.943808272" ,1674,31631,1675,31387
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,2429,54443,2396,54363
2207,"40.37852,-111.764695" ,1600,"40.508763,-111.899717" ,1294,24406,1363,26168
2393,"40.237769,-111.649636" ,972,"40.766088,-111.889662" ,3039,74012,2993,73951
1611,"40.495514,-111.972" ,2098,"40.429099,-111.891892" ,952,18861,1045,19037
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,2640,54632,2564,53219
1951,"40.356029,-111.947619" ,1728,"40.5615693283,-111.89456984" ,1624,29968,1627,28834
1866,"40.309293,-112.009873" ,2172,"40.380322,-111.818406" ,1686,24858,1796,25067
1866,"40.309293,-112.009873" ,2098,"40.429099,-111.891887" ,1612,23719,1606,27445
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2190,39615,2413,39787
2136,"40.435821,-111.778905" ,2098,"40.429099,-111.891888" ,754,10767,750,10504
2136,"40.435821,-111.778905" ,2354,"40.300711,-111.663496" ,1610,23705,1545,23482
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,789,11692,644,13907
2228,"40.339253,-111.710746" ,2172,"40.380322,-111.818408" ,820,13195,963,11219
2228,"40.339253,-111.710746" ,2098,"40.429099,-111.891889" ,1047,22057,1112,21924
2228,"40.339253,-111.710746" ,2188,"40.352924,-111.768877" ,615,6250,566,6259
2228,"40.339253,-111.710746" ,2326,"40.278561,-111.712746" ,834,7608,837,7598
2337,"40.286065,-111.67176" ,2384,"40.25049,-111.649762" ,686,6751,707,6935
2337,"40.286065,-111.67176" ,2098,"40.429099,-111.89189" ,1416,28140,1479,28037
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,549,4810,588,4810
2292,"40.307934,-111.720354" ,2172,"40.380322,-111.818409" ,701,12686,813,13522
2292,"40.307934,-111.720354" ,2354,"40.300711,-111.663498" ,663,6641,603,6615
2798,"40.034617,-111.738078" ,2713,"40.040518,-111.751954" ,305,2914,307,2912
2798,"40.034617,-111.738078" ,2560,"40.123602,-111.638832" ,934,17249,948,15089
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1459,36796,1530,34530
2207,"40.37852,-111.764695" ,2079,"40.436536,-111.830777" ,901,12049,860,12082
2207,"40.37852,-111.764695" ,2098,"40.429099,-111.891891" ,936,14425,962,14290
2451,"40.22777,-111.670659" ,2384,"40.25049,-111.649764" ,598,4503,614,4572
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,958,9833,925,9810
2451,"40.22777,-111.670659" ,2326,"40.278561,-111.712751" ,734,9948,708,10245
2751,"40.046799,-111.675851" ,2713,"40.040518,-111.751955" ,669,7690,673,7690
2851,"39.979668,-111.788998" ,2560,"40.123602,-111.638834" ,1146,23872,1125,24093
1951,"40.356029,-111.947619" ,2172,"40.380322,-111.81841" ,1031,14152,1122,14166
1932,"40.304745,-111.893748" ,2172,"40.380322,-111.818411" ,1268,18372,1378,18380
1932,"40.304745,-111.893748" ,2098,"40.429099,-111.891894" ,1296,17786,1350,17790
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1466,21033,1451,21408
2583,"40.094862,-111.621876" ,2098,"40.429099,-111.891895" ,1976,49416,1959,49247
2583,"40.094862,-111.621876" ,2560,"40.123602,-111.638835" ,540,6221,525,6213
2509,"40.163571,-111.60687" ,2354,"40.300711,-111.663502" ,1346,18195,1344,18195
