O_TAZID, O_Coordinate, D_TAZID, D_Coordinate, ODTime, ODDistance, DOTime, DODistance
1153,"40.729610314,-111.850966057" ,2384,"40.2504896532,-111.649761944" ,3082,70708,3045,70439
1530,"40.5456096957,-112.013648997" ,2098,"40.4290987165,-111.891886358" ,1217,25215,1375,25640
1743,"40.5504323408,-111.838388036" ,2098,"40.4290987165,-111.891886358" ,1155,19941,1130,19951
1763,"40.5090001685,-111.875919320" ,2098,"40.4290987165,-111.891886358" ,735,12527,753,12535
1324,"40.6726892565,-111.818289799" ,2384,"40.2504896532,-111.649761944" ,2973,70829,3102,71979
1407,"40.519692227,-112.028651355" ,2098,"40.4290987165,-111.891886358" ,1342,23790,1459,22744
1407,"40.519692227,-112.028651356" ,2354,"40.3007107079,-111.663496277" ,2432,50456,2496,50475
570,"40.985157543,-111.8864262" ,2079,"40.4365363407,-111.830775799" ,2565,70822,2534,70614
1762,"40.509556,-111.885784" ,2098,"40.429099,-111.891886" ,571,11162,589,11190
2136,"40.435821,-111.778905" ,1600,"40.508763,-111.899715" ,1067,20623,1174,22408
2207,"40.37852,-111.764695" ,972,"40.766088,-111.889661" ,2400,54445,2320,54366
2393,"40.237769,-111.649636" ,972,"40.766088,-111.889662" ,3028,74012,2926,73952
1951,"40.356029,-111.947619" ,972,"40.766088,-111.889663" ,2699,54638,2520,53211
1951,"40.356029,-111.947619" ,1728,"40.5615693283,-111.89456984" ,1676,29974,1626,28826
1866,"40.309293,-112.009873" ,2098,"40.429099,-111.891887" ,1626,23718,1588,27445
1866,"40.309293,-112.009873" ,2326,"40.278561,-111.712745" ,2289,40873,2401,41078
2136,"40.435821,-111.778905" ,2098,"40.429099,-111.891888" ,693,10610,730,10504
2068,"40.417174,-111.854361" ,2188,"40.352924,-111.768875" ,784,11692,650,13906
2032,"40.383234,-111.861698" ,2079,"40.436536,-111.830776" ,801,10392,799,8912
2032,"40.383234,-111.861698" ,2188,"40.352924,-111.768876" ,734,10302,687,10553
2228,"40.339253,-111.710746" ,2172,"40.380322,-111.818408" ,824,13194,923,11221
2228,"40.339253,-111.710746" ,2098,"40.429099,-111.891889" ,1062,21899,1104,21357
2228,"40.339253,-111.710746" ,2188,"40.352924,-111.768877" ,584,6250,561,6259
2228,"40.339253,-111.710746" ,2354,"40.300711,-111.663497" ,776,9498,685,8376
2228,"40.339253,-111.710746" ,2326,"40.278561,-111.712746" ,841,7608,746,10646
2337,"40.286065,-111.67176" ,2326,"40.278561,-111.712747" ,548,4810,582,4810
2292,"40.307934,-111.720354" ,2384,"40.25049,-111.649763" ,1170,13936,1090,10872
2798,"40.034617,-111.738078" ,2326,"40.278561,-111.712748" ,1470,36019,1446,33846
2207,"40.37852,-111.764695" ,2079,"40.436536,-111.830777" ,881,12049,839,12082
2207,"40.37852,-111.764695" ,2098,"40.429099,-111.891891" ,918,14268,930,13727
2207,"40.37852,-111.764695" ,2326,"40.278561,-111.712749" ,1006,15739,898,15559
2393,"40.237769,-111.649636" ,2354,"40.300711,-111.663499" ,740,8425,737,8428
2393,"40.237769,-111.649636" ,2326,"40.278561,-111.71275" ,924,10754,976,8885
2451,"40.22777,-111.670659" ,2354,"40.300711,-111.6635" ,905,9833,879,9810
2751,"40.046799,-111.675851" ,2354,"40.300711,-111.663501" ,1888,39631,1978,30225
2751,"40.046799,-111.675851" ,2560,"40.123602,-111.638833" ,937,11184,1005,11075
2851,"39.979668,-111.788998" ,2384,"40.25049,-111.649765" ,1778,37500,1713,37620
1951,"40.356029,-111.947619" ,2172,"40.380322,-111.81841" ,1067,14157,1161,14171
1951,"40.356029,-111.947619" ,2326,"40.278561,-111.712752" ,1622,30171,1684,30180
1932,"40.304745,-111.893748" ,2172,"40.380322,-111.818411" ,1293,18446,1401,18454
1932,"40.304745,-111.893748" ,2098,"40.429099,-111.891894" ,1359,17860,1300,17864
2583,"40.094862,-111.621876" ,2384,"40.25049,-111.649766" ,1443,21033,1392,21303
2509,"40.163571,-111.60687" ,2354,"40.300711,-111.663502" ,1305,18195,1310,18195
