I,J,HBW,HBC,HBSch,HBO,NHB,IX,XI,XX,SH_LT,SH_MD,SH_HV,Ext_MD,Ext_HV,TOT
    1,    1,  11342.78,         0,   8292.46,  60273.86,  24536.30,         0,         0,         0,  18447.12,   8646.56,   2030.98,         0,         0, 133570.06
    1,    2,     37.22,         0,         0,    394.18,    211.45,         0,         0,         0,    150.23,    107.55,     26.31,         0,         0,    926.94
    1,    3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    1,    4,   2175.07,         0,    585.40,   3948.12,   1619.17,         0,         0,         0,    503.19,   1244.14,    619.48,         0,         0,  10694.57
    1,    5,   1245.84,    230.00,     41.82,   1534.56,    890.44,         0,         0,         0,    209.17,    476.03,    350.84,         0,         0,   4978.70
    1,    6,      0.09,         0,         0,      2.00,      0.19,         0,         0,         0,      0.11,      0.32,      0.07,         0,         0,      2.78
    1,    7,         0,         0,         0,      0.02,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.02
    1,    8,    896.73,     24.00,     30.92,    875.27,    727.55,         0,         0,         0,    169.68,    186.26,    164.45,         0,         0,   3074.86
    1,    9,    178.31,         0,      3.95,    199.01,    133.42,         0,         0,         0,     17.59,     23.67,      3.06,         0,         0,    559.01
    1,   10,         0,         0,         0,      0.38,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.38
    1,   11,     61.25,         0,      0.02,     91.34,     11.05,         0,         0,         0,         0,      0.18,         0,         0,         0,    163.84
    1,   12,    193.63,     10.00,      0.24,    509.18,     86.90,         0,         0,         0,      0.05,      1.31,         0,         0,         0,    801.31
    1,   13,     69.43,      6.00,         0,    187.07,     38.10,         0,         0,         0,         0,      0.62,         0,         0,         0,    301.22
    1,   14,    183.43,      7.00,      0.10,    509.08,    110.56,         0,         0,         0,      0.02,      0.57,         0,         0,         0,    810.76
    1,   15,      1.80,         0,         0,      2.36,      0.02,         0,         0,         0,         0,         0,         0,         0,         0,      4.18
    1,   16,     23.02,         0,         0,     67.85,      5.33,         0,         0,         0,         0,         0,         0,         0,         0,     96.20
    1,   17,     21.42,         0,         0,     84.41,      5.03,         0,         0,         0,         0,         0,         0,         0,         0,    110.86
    1,   18,      0.24,         0,         0,      0.18,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,      0.43
    1,   19,      0.05,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.05
    1,   20,      2.98,         0,         0,      0.53,         0,         0,         0,         0,         0,         0,         0,         0,         0,      3.51
    1,   21,      1.71,      5.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      6.71
    1,   22,      0.03,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.03
    1,   23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    1,   24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    1,   25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    1,   26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    1,   27,         0,         0,         0,         0,         0,   5039.10,         0,         0,         0,         0,         0,    526.18,    507.79,   6073.07
    2,    1,    581.17,         0,    638.10,   1772.51,    205.20,         0,         0,         0,    224.89,    117.67,     24.96,         0,         0,   3564.50
    2,    2,     91.34,         0,         0,   1637.38,    215.84,         0,         0,         0,    406.95,    170.12,     26.64,         0,         0,   2548.27
    2,    3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    2,    4,    128.12,         0,     44.00,    212.99,     57.73,         0,         0,         0,     32.24,     52.45,     28.35,         0,         0,    555.88
    2,    5,     79.43,         0,     15.23,    151.93,     35.38,         0,         0,         0,     18.96,     13.09,     13.08,         0,         0,    327.10
    2,    6,      0.01,         0,         0,      0.26,      0.02,         0,         0,         0,      0.02,      0.01,      0.01,         0,         0,      0.33
    2,    7,         0,         0,         0,      0.02,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.02
    2,    8,     62.78,         0,     17.36,     94.44,     26.77,         0,         0,         0,     16.68,      8.49,      3.19,         0,         0,    229.71
    2,    9,     14.33,         0,      4.42,     38.60,      7.69,         0,         0,         0,      0.35,      2.03,      0.01,         0,         0,     67.43
    2,   10,         0,         0,         0,      0.11,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.11
    2,   11,      5.66,         0,         0,     16.60,      0.21,         0,         0,         0,         0,         0,         0,         0,         0,     22.47
    2,   12,     17.72,         0,         0,     71.96,      2.25,         0,         0,         0,         0,         0,         0,         0,         0,     91.93
    2,   13,      5.73,         0,         0,     37.02,      2.53,         0,         0,         0,         0,         0,         0,         0,         0,     45.28
    2,   14,     17.30,         0,         0,    102.69,      2.41,         0,         0,         0,         0,         0,         0,         0,         0,    122.40
    2,   15,      0.30,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.30
    2,   16,      2.86,         0,         0,      2.29,         0,         0,         0,         0,         0,         0,         0,         0,         0,      5.15
    2,   17,      2.70,         0,         0,      1.81,         0,         0,         0,         0,         0,         0,         0,         0,         0,      4.51
    2,   18,      0.04,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.04
    2,   19,      0.02,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.02
    2,   20,      0.92,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.92
    2,   21,      0.49,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.49
    2,   22,      0.05,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.05
    2,   23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    2,   24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    2,   25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    2,   26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    2,   27,         0,         0,         0,         0,         0,    375.42,         0,         0,         0,         0,         0,     17.57,     17.58,    410.57
    3,    1,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,    2,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,    3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,    4,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,    5,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,    6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,    7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,    8,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,    9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   11,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   14,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   17,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   19,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   20,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   22,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   27,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    4,    1,   2921.16,         0,     55.64,   2435.59,   1203.19,         0,         0,         0,    773.69,   1003.67,    535.83,         0,         0,   8928.77
    4,    2,     20.53,         0,         0,     42.54,     41.00,         0,         0,         0,     40.54,     37.20,     25.32,         0,         0,    207.13
    4,    3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    4,    4,  40444.00,         0,  38907.84, 258339.71,  72873.76,         0,         0,         0,  16520.03,  30575.57,  14538.08,         0,         0, 472198.99
    4,    5,  30145.04,   3433.00,   3756.26,  77333.37,  24151.26,         0,         0,         0,   3108.36,   8631.35,   5202.66,         0,         0, 155761.30
    4,    6,      4.22,         0,         0,     80.12,     10.30,         0,         0,         0,      3.69,      9.65,      3.65,         0,         0,    111.63
    4,    7,      1.16,         0,         0,      1.21,      0.29,         0,         0,         0,         0,         0,         0,         0,         0,      2.66
    4,    8,  20440.32,    476.00,   2072.38,  34300.85,  11811.81,         0,         0,         0,   1789.11,   6281.70,   4037.49,         0,         0,  81209.66
    4,    9,   2798.11,         0,     52.18,   2180.24,   1513.52,         0,         0,         0,    212.29,    538.51,    626.06,         0,         0,   7920.91
    4,   10,         0,         0,         0,      4.68,      0.26,         0,         0,         0,      0.01,      0.05,      0.02,         0,         0,      5.02
    4,   11,    744.10,         0,      0.24,    482.64,    105.97,         0,         0,         0,      2.79,     22.76,      1.97,         0,         0,   1360.47
    4,   12,   2531.31,     45.00,      3.21,   2605.39,    628.95,         0,         0,         0,     29.16,    131.42,     21.58,         0,         0,   5996.02
    4,   13,   1026.22,      6.00,         0,   1024.55,    253.23,         0,         0,         0,     13.60,     45.66,     11.68,         0,         0,   2380.94
    4,   14,   2520.62,    233.00,      1.57,   2711.85,    817.12,         0,         0,         0,     16.58,    126.72,     11.21,         0,         0,   6438.67
    4,   15,     29.20,         0,      0.06,     51.46,     21.33,         0,         0,         0,         0,      0.21,         0,         0,         0,    102.26
    4,   16,    353.30,      1.00,      0.71,    621.56,    278.04,         0,         0,         0,      0.06,     17.90,         0,         0,         0,   1272.57
    4,   17,    322.27,         0,      0.24,    670.16,    241.43,         0,         0,         0,      0.05,     19.77,         0,         0,         0,   1253.92
    4,   18,      4.07,         0,         0,     18.47,      4.23,         0,         0,         0,         0,         0,         0,         0,         0,     26.77
    4,   19,      1.14,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      1.14
    4,   20,     78.65,         0,         0,     96.75,     26.65,         0,         0,         0,         0,         0,         0,         0,         0,    202.05
    4,   21,     39.80,     81.00,         0,      5.46,         0,         0,         0,         0,         0,         0,         0,         0,         0,    126.26
    4,   22,      3.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      3.01
    4,   23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    4,   24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    4,   25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    4,   26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    4,   27,         0,         0,         0,         0,         0,   8363.05,         0,         0,         0,         0,         0,   1059.31,   1674.18,  11096.54
    5,    1,    602.24,         0,      9.16,    186.96,    578.19,         0,         0,         0,    341.66,    375.40,    300.58,         0,         0,   2394.19
    5,    2,      4.04,         0,         0,      5.93,     23.50,         0,         0,         0,     23.32,      8.98,     11.48,         0,         0,     77.25
    5,    3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    5,    4,  11524.23,         0,   2487.26,  24778.08,  23383.97,         0,         0,         0,   3096.54,   8456.35,   5169.98,         0,         0,  78896.41
    5,    5,  30714.86,   5851.00,  16845.14, 173330.59,  91069.24,         0,         0,         0,  13633.42,  25452.05,  13073.73,         0,         0, 369970.03
    5,    6,      3.43,         0,         0,     70.70,     18.85,         0,         0,         0,      5.50,     10.91,      4.58,         0,         0,    113.97
    5,    7,      0.30,         0,         0,      0.09,      0.36,         0,         0,         0,         0,         0,         0,         0,         0,      0.75
    5,    8,  10513.78,    279.00,    692.76,  10601.57,  11163.00,         0,         0,         0,   1492.73,   5794.34,   3874.84,         0,         0,  44412.02
    5,    9,   2061.03,         0,     39.35,   1202.95,   2103.65,         0,         0,         0,    239.85,    839.94,    879.05,         0,         0,   7365.82
    5,   10,         0,         0,         0,      3.40,      0.95,         0,         0,         0,      0.12,      0.46,      0.20,         0,         0,      5.13
    5,   11,    485.17,         0,      0.20,    180.40,    145.50,         0,         0,         0,      7.08,     30.34,      5.19,         0,         0,    853.88
    5,   12,   1685.06,     22.00,      2.31,   1458.54,    890.17,         0,         0,         0,     65.84,    160.75,     62.10,         0,         0,   4346.77
    5,   13,    699.62,      6.00,      0.05,    442.48,    363.07,         0,         0,         0,     27.95,     50.27,     32.28,         0,         0,   1621.72
    5,   14,   1697.93,    247.00,      2.07,   1036.38,   1113.54,         0,         0,         0,     49.57,    161.64,     38.27,         0,         0,   4346.40
    5,   15,     18.46,         0,      0.38,     16.04,     46.09,         0,         0,         0,         0,      1.80,         0,         0,         0,     82.77
    5,   16,    224.87,      2.00,      1.13,    182.71,    371.25,         0,         0,         0,      1.24,     42.34,      0.11,         0,         0,    825.65
    5,   17,    205.27,         0,      0.36,    205.43,    311.13,         0,         0,         0,      0.93,     42.06,      0.10,         0,         0,    765.28
    5,   18,      2.49,         0,         0,      7.49,      9.10,         0,         0,         0,         0,         0,         0,         0,         0,     19.08
    5,   19,      0.72,         0,         0,      0.04,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.76
    5,   20,     47.10,         0,      0.05,     44.56,     78.28,         0,         0,         0,         0,         0,         0,         0,         0,    169.99
    5,   21,     22.17,     28.00,         0,     11.01,      0.06,         0,         0,         0,         0,         0,         0,         0,         0,     61.24
    5,   22,      1.61,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      1.61
    5,   23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    5,   24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    5,   25,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.01
    5,   26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
