I,J,HBW,HBC,HBSch,HBO,NHB,IX,XI,XX,SH_LT,SH_MD,SH_HV,Ext_MD,Ext_HV,TOT
    5,   27,         0,         0,         0,         0,         0,   4969.17,         0,         0,         0,         0,         0,    910.59,   1503.88,   7383.64
    6,    1,      1.09,         0,         0,      0.32,      0.06,         0,         0,         0,      0.27,      0.25,      0.05,         0,         0,      2.04
    6,    2,         0,         0,         0,      0.01,         0,         0,         0,         0,      0.03,      0.01,      0.01,         0,         0,      0.06
    6,    3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    6,    4,     19.08,         0,      5.68,     59.81,      9.76,         0,         0,         0,      3.70,      9.48,      3.65,         0,         0,    111.16
    6,    5,     30.00,      1.00,      8.20,    134.57,     18.85,         0,         0,         0,      5.59,     11.01,      4.59,         0,         0,    213.81
    6,    6,      0.01,         0,         0,      4.14,      0.29,         0,         0,         0,      0.56,      0.48,      0.15,         0,         0,      5.63
    6,    7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    6,    8,     11.98,         0,      0.68,     12.77,      3.31,         0,         0,         0,      1.03,      4.82,      2.21,         0,         0,     36.80
    6,    9,      2.96,         0,      0.06,      2.68,      0.57,         0,         0,         0,      0.03,      0.28,      0.19,         0,         0,      6.77
    6,   10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    6,   11,      0.73,         0,         0,      0.46,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,      1.20
    6,   12,      2.43,         0,         0,      1.26,      0.01,         0,         0,         0,         0,      0.01,         0,         0,         0,      3.71
    6,   13,      0.98,         0,         0,      0.97,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,      1.96
    6,   14,      2.14,         0,         0,      1.54,      0.16,         0,         0,         0,         0,      0.03,         0,         0,         0,      3.87
    6,   15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    6,   16,      0.10,         0,         0,      0.16,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,      0.27
    6,   17,      0.11,         0,         0,      0.12,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.23
    6,   18,         0,         0,         0,      0.03,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.03
    6,   19,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    6,   20,         0,         0,         0,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.01
    6,   21,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.01
    6,   22,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    6,   23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    6,   24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    6,   25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    6,   26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    6,   27,         0,         0,         0,         0,         0,      5.25,         0,         0,         0,         0,         0,      0.73,      0.66,      6.64
    7,    1,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    7,    2,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    7,    3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    7,    4,         0,         0,         0,         0,      0.24,         0,         0,         0,         0,         0,         0,         0,         0,      0.24
    7,    5,         0,         0,         0,         0,      0.33,         0,         0,         0,         0,         0,         0,         0,         0,      0.33
    7,    6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    7,    7,         0,         0,         0,         0,      0.04,         0,         0,         0,         0,         0,         0,         0,         0,      0.04
    7,    8,         0,         0,         0,         0,      2.06,         0,         0,         0,      0.01,      0.32,      0.11,         0,         0,      2.50
    7,    9,         0,         0,         0,         0,      0.13,         0,         0,         0,         0,         0,         0,         0,         0,      0.13
    7,   10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    7,   11,         0,         0,         0,         0,      0.02,         0,         0,         0,         0,         0,         0,         0,         0,      0.02
    7,   12,         0,         0,         0,     10.00,      0.04,         0,         0,         0,         0,         0,         0,         0,         0,     10.04
    7,   13,         0,         0,         0,         0,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,      0.01
    7,   14,         0,         0,         0,         0,      0.12,         0,         0,         0,         0,         0,         0,         0,         0,      0.12
    7,   15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    7,   16,         0,         0,         0,         0,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,      0.01
    7,   17,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    7,   18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    7,   19,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    7,   20,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    7,   21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    7,   22,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    7,   23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    7,   24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    7,   25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    7,   26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    7,   27,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    8,    1,    745.95,         0,     17.99,    329.79,    449.78,         0,         0,         0,    351.24,    146.39,    143.58,         0,         0,   2184.72
    8,    2,      5.10,         0,         0,     10.71,     17.03,         0,         0,         0,     24.34,      5.73,      2.79,         0,         0,     65.70
    8,    3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    8,    4,  11795.15,         0,   2750.08,  28473.67,  11260.73,         0,         0,         0,   2006.39,   6196.47,   4075.10,         0,         0,  66557.59
    8,    5,  17218.82,   4844.00,   1312.19,  30092.22,  10876.80,         0,         0,         0,   1725.95,   5820.60,   3940.29,         0,         0,  75830.87
    8,    6,      2.59,         0,         0,     18.82,      3.25,         0,         0,         0,      1.32,      4.77,      2.28,         0,         0,     33.03
    8,    7,      3.32,         0,         0,      4.29,      2.19,         0,         0,         0,      0.01,      0.32,      0.11,         0,         0,     10.24
    8,    8,  81649.22,   1196.00,  67319.11, 446668.19, 152167.51,         0,         0,         0,  17946.87,  31691.78,  15346.50,         0,         0, 813985.18
    8,    9,  12868.69,         0,    984.07,  25126.40,   8687.63,         0,         0,         0,   1034.93,   3468.19,   2185.94,         0,         0,  54355.85
    8,   10,         0,         0,         0,     34.93,      4.59,         0,         0,         0,      1.02,      2.85,      0.94,         0,         0,     44.33
    8,   11,   2550.24,         0,      5.59,   1490.09,    484.16,         0,         0,         0,     48.11,     82.56,     60.33,         0,         0,   4721.08
    8,   12,   9019.71,    214.00,     45.70,   8876.07,   3099.17,         0,         0,         0,    315.71,    659.70,    517.24,         0,         0,  22747.30
    8,   13,   3521.52,     55.00,      0.55,   4066.08,   1326.27,         0,         0,         0,     99.86,    261.66,    248.19,         0,         0,   9579.13
    8,   14,   8745.92,    953.00,     42.11,   8859.78,   3918.28,         0,         0,         0,    329.23,    605.48,    486.42,         0,         0,  23940.22
    8,   15,    101.28,         0,      7.09,    129.22,    116.74,         0,         0,         0,      1.80,     18.33,      0.08,         0,         0,    374.54
    8,   16,   1131.51,     18.00,     19.69,   1246.50,    988.71,         0,         0,         0,     58.77,    155.22,     25.60,         0,         0,   3644.00
    8,   17,   1032.10,         0,     10.98,   1341.71,    860.80,         0,         0,         0,     61.32,    138.80,     25.90,         0,         0,   3471.61
    8,   18,     14.15,         0,         0,     52.98,     30.09,         0,         0,         0,         0,      0.32,         0,         0,         0,     97.54
    8,   19,      4.00,         0,         0,      4.12,      3.63,         0,         0,         0,         0,         0,         0,         0,         0,     11.75
    8,   20,    260.70,         0,      5.97,    491.03,    394.19,         0,         0,         0,      0.01,     12.27,         0,         0,         0,   1164.17
    8,   21,    127.80,    441.00,         0,    319.50,     56.23,         0,         0,         0,         0,         0,         0,         0,         0,    944.53
    8,   22,     16.21,         0,         0,      6.62,         0,         0,         0,         0,         0,         0,         0,         0,         0,     22.83
    8,   23,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.01
    8,   24,         0,         0,         0,         0,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,      0.01
    8,   25,      0.27,         0,         0,      0.15,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.42
    8,   26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    8,   27,         0,         0,         0,         0,         0,   7015.48,         0,         0,         0,         0,         0,    802.17,   1282.71,   9100.36
    9,    1,     78.87,         0,      1.08,     32.23,     61.33,         0,         0,         0,     41.31,     11.27,      3.00,         0,         0,    229.09
    9,    2,      0.32,         0,         0,      2.10,      3.79,         0,         0,         0,      0.57,      1.10,      0.01,         0,         0,      7.89
    9,    3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    9,    4,    884.98,         0,     48.58,    852.62,   1167.89,         0,         0,         0,    289.54,    470.73,    660.49,         0,         0,   4374.83
    9,    5,   1579.42,   1045.00,     49.25,   1789.55,   1704.22,         0,         0,         0,    323.36,    753.59,    931.71,         0,         0,   8176.10
    9,    6,      0.18,         0,         0,      2.31,      0.35,         0,         0,         0,      0.11,      0.26,      0.21,         0,         0,      3.42
    9,    7,      0.11,         0,         0,      0.17,      0.10,         0,         0,         0,         0,         0,         0,         0,         0,      0.38
    9,    8,   6073.86,    265.00,   2205.26,  13166.90,   7614.46,         0,         0,         0,   1144.44,   3096.84,   2280.42,         0,         0,  35847.18
    9,    9,  29186.66,         0,  32947.07, 220143.39,  93726.09,         0,         0,         0,   9540.56,  14001.03,   6600.71,         0,         0, 406145.51
    9,   10,         0,         0,         0,     17.59,      2.74,         0,         0,         0,      0.65,      2.16,      0.75,         0,         0,     23.89
    9,   11,   4001.53,         0,     30.98,   3070.89,   1070.69,         0,         0,         0,    106.29,    510.92,    293.74,         0,         0,   9085.04
    9,   12,  15408.71,    367.00,    622.22,  22643.80,   7746.09,         0,         0,         0,    797.63,   3539.54,   1697.49,         0,         0,  52822.48
    9,   13,   6325.94,    280.00,     11.90,  11952.77,   3113.45,         0,         0,         0,    271.92,   1331.17,    635.11,         0,         0,  23922.26
    9,   14,  15130.49,   1395.00,    479.79,  22072.71,   8856.38,         0,         0,         0,    777.03,   3706.40,   1854.58,         0,         0,  54272.38
    9,   15,    129.07,         0,     18.17,    146.88,    241.76,         0,         0,         0,     30.65,     44.15,     34.48,         0,         0,    645.16
    9,   16,   1553.82,     40.00,     94.77,   1834.58,   2357.62,         0,         0,         0,    222.11,    556.34,    477.78,         0,         0,   7137.02
    9,   17,   1457.14,         0,     95.27,   2115.46,   2109.39,         0,         0,         0,    199.70,    528.70,    454.20,         0,         0,   6959.86
    9,   18,     17.31,         0,         0,     29.10,     47.40,         0,         0,         0,      0.86,      2.21,      0.26,         0,         0,     97.14
    9,   19,      4.35,         0,      1.42,      3.67,     16.71,         0,         0,         0,      0.01,      1.27,         0,         0,         0,     27.43
    9,   20,    297.89,         0,     23.08,    292.91,    547.80,         0,         0,         0,     79.47,     91.70,     20.84,         0,         0,   1353.69
    9,   21,    126.01,    407.00,      3.52,    328.67,    305.22,         0,         0,         0,      0.35,     18.85,      0.01,         0,         0,   1189.63
    9,   22,     16.28,         0,      0.12,     28.51,     50.76,         0,         0,         0,         0,         0,         0,         0,         0,     95.67
    9,   23,      0.05,         0,         0,      0.10,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.15
    9,   24,         0,         0,         0,      0.03,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.03
    9,   25,      0.32,         0,         0,      5.96,      2.34,         0,         0,         0,         0,         0,         0,         0,         0,      8.62
    9,   26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    9,   27,         0,         0,         0,         0,         0,   3881.13,         0,         0,         0,         0,         0,    492.76,    768.08,   5141.97
   10,    1,      0.07,         0,      0.03,      0.05,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.15
