TAZID,AREATYPE,CO_TAZID,CO_FIPS,SUBAREAID,TOTAL_P,TOTAL_A,TOTPER_P,TOTPER_A,TOTEXT_P,TOTEXT_A,TOTTRK_P,TOTTRK_A,TOTTRKIX_P,TOTTRKIX_A,TOTTRKXI_P,TOTTRKXI_A,HBW_P,HBW_A,HBSHP_P,HBSHP_A,HBOTH_P,HBOTH_A,HBSCHPR_P,HBSCHPR_A,HBSCHSC_P,HBSCHSC_A,NHBW_P,NHBW_A,NHBNW_P,NHBNW_A,HBC_P,HBC_A,TTUNIQUE_P,TTUNIQUE_A,IX_P,IX_A,XI_P,XI_A,LT_P,LT_A,MD_P,MD_A,HV_P,HV_A,IX_MD_P,IX_MD_A,IX_HV_P,IX_HV_A,XI_MD_P,XI_MD_A,XI_HV_P,XI_HV_A
1,1,30001,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,30002,3,1,160.6,94.8,128.0,58.1,5.5,9.9,26.3,24.7,0.8,0.0,0.0,2.1,20.7,0.3,12.9,0.0,75.0,49.6,5.4,0.0,5.5,0.0,2.1,2.1,6.4,6.1,0.0,0.0,0.0,0.0,5.5,0.0,0.0,9.9,16.6,15.5,8.0,7.5,1.7,1.6,0.5,0.0,0.3,0.0,0.0,1.7,0.0,0.4
3,1,30003,3,1,261.7,143.3,207.5,86.0,10.1,14.6,42.9,40.5,1.3,0.0,0.0,2.3,30.9,0.2,21.2,0.0,122.3,72.6,9.5,0.0,9.7,0.0,3.6,3.4,10.3,9.8,0.0,0.0,0.0,0.0,10.1,0.0,0.0,14.6,26.8,25.2,13.2,12.5,2.9,2.8,0.7,0.0,0.6,0.0,0.0,1.4,0.0,0.9
4,1,30004,3,1,8.8,4.9,7.2,3.3,0.5,0.6,1.1,1.0,0.0,0.0,0.0,0.0,1.1,0.0,0.7,0.0,4.4,3.0,0.4,0.0,0.5,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.6,0.8,0.7,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,30005,3,1,771.4,412.3,623.8,255.1,26.0,38.0,118.5,110.9,3.1,0.0,0.0,8.4,97.1,5.1,60.8,0.0,356.4,210.8,31.7,0.0,32.3,0.0,11.8,10.8,29.6,28.3,4.0,0.0,0.0,0.0,26.0,0.0,0.0,38.0,72.4,68.2,37.0,34.0,9.0,8.6,1.8,0.0,1.4,0.0,0.0,6.0,0.0,2.4
6,1,30006,3,1,39.1,48.0,26.8,31.4,1.5,6.1,10.3,9.6,0.5,0.0,0.0,1.0,3.6,9.8,2.5,0.0,15.4,18.9,1.3,0.0,1.3,0.0,1.5,1.4,1.2,1.2,0.0,0.0,0.0,0.0,1.5,0.0,0.0,6.1,6.3,5.8,3.3,3.2,0.7,0.6,0.2,0.0,0.3,0.0,0.0,0.5,0.0,0.5
7,1,30007,3,1,476.8,389.1,356.9,246.7,16.8,42.5,100.3,93.1,2.9,0.0,0.0,6.9,51.4,40.2,35.0,8.2,200.4,162.3,15.7,0.0,16.0,0.0,13.6,12.8,24.8,23.2,0.0,0.0,0.0,0.0,16.8,0.0,0.0,42.5,59.3,54.7,31.9,29.7,9.1,8.7,1.5,0.0,1.4,0.0,0.0,4.1,0.0,2.8
8,2,30008,3,1,766.3,585.0,605.0,388.5,24.2,55.1,134.3,133.3,3.9,0.0,0.0,8.1,75.0,43.0,47.1,73.4,280.4,174.5,25.1,0.0,25.7,0.0,22.4,20.8,80.3,76.8,48.0,0.0,1.0,0.0,24.2,0.0,0.0,55.1,78.9,80.5,42.9,40.7,12.5,12.1,2.1,0.0,1.8,0.0,0.0,4.9,0.0,3.2
9,1,30009,3,1,256.8,511.7,145.1,306.1,8.3,89.5,99.1,95.1,4.3,0.0,0.0,21.2,19.3,113.7,12.8,0.0,75.0,167.1,5.7,0.0,5.8,0.0,19.2,18.0,7.4,7.3,0.0,0.0,0.0,0.0,8.3,0.0,0.0,89.5,55.5,53.2,32.5,30.9,11.1,11.0,2.0,0.0,2.3,0.0,0.0,11.5,0.0,9.6
10,1,30010,3,1,338.4,570.8,208.9,342.1,12.3,96.8,113.6,109.9,4.7,0.0,0.0,22.0,28.2,117.7,19.1,0.0,111.6,194.6,8.7,0.0,8.9,0.0,21.0,19.6,10.4,10.2,0.0,0.0,1.0,0.0,12.3,0.0,0.0,96.8,64.1,62.7,37.1,35.2,12.3,12.0,2.4,0.0,2.3,0.0,0.0,12.1,0.0,9.9
11,1,30011,3,1,87.3,50.5,70.2,28.7,4.5,7.5,12.0,11.9,0.7,0.0,0.0,2.5,11.6,0.0,6.7,0.0,40.8,25.0,3.6,0.0,3.8,0.0,0.9,0.9,2.7,2.8,0.0,0.0,0.0,0.0,4.5,0.0,0.0,7.5,7.9,7.8,3.7,3.6,0.4,0.5,0.3,0.0,0.4,0.0,0.0,1.3,0.0,1.2
12,1,30012,3,1,201.7,110.5,161.6,68.9,8.7,9.0,30.6,30.9,0.8,0.0,0.0,1.7,27.6,0.2,15.9,0.0,93.1,59.2,7.7,0.0,7.8,0.0,2.4,2.3,7.1,7.1,0.0,0.0,0.0,0.0,8.7,0.0,0.0,9.0,19.0,19.8,9.7,9.3,1.8,1.8,0.5,0.0,0.3,0.0,0.0,0.9,0.0,0.8
13,2,30013,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2,30014,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
