Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,LT,MD,HV,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,Tel_HBW,Tel_NHBW
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.75,           0.75,           0.18,              0,           5.39,           5.39,           1.23,              0,              0,              0
         2,        9317.57,        5801.93,       91367.77,       20554.83,        6461.71,        9411.44,       42919.91,       13543.33,       20069.80,        8169.71,           0.07,           0.07,              0,           0.08,           0.14,           0.14,              0,           0.24,        1536.52,         811.97
         3,       16423.15,       16399.15,      213635.38,       33880.38,       12279.88,       15545.72,       48614.96,       17614.71,       19575.10,        6613.90,          46.17,          78.95,           7.56,           9.07,         287.53,         287.53,         117.83,         103.55,        2728.30,        1290.68
         4,       40812.14,       55461.00,      430511.18,       67762.29,       33719.40,       40641.57,      142219.03,       35917.54,       44820.65,       13986.63,          72.61,          39.83,           9.95,          15.09,         358.26,         358.26,         132.60,         149.81,        6851.40,        3635.61
         5,       46683.70,       70400.17,      420064.57,       52344.51,       38524.09,       42213.78,      125010.76,       29387.10,       44447.79,       12224.35,         163.21,         142.28,          10.97,           4.61,         761.10,         838.05,         128.07,          33.55,        7622.43,        3666.91
         6,       64369.51,       99846.13,      463213.13,       44668.14,       42443.88,       60360.93,      179759.79,       27211.16,       46751.68,       12353.04,         453.73,         475.60,          44.91,          63.90,        1390.47,        1313.52,         400.02,         403.91,       10574.46,        5163.90
         7,       68092.78,      102648.28,      448701.85,       34403.78,       43919.52,       61732.15,      165228.70,       18646.59,       39308.65,       10195.59,         255.87,         263.16,          26.42,          49.41,        1214.54,        1204.86,         102.92,         267.38,       11306.22,        5404.09
         8,       68223.77,       99421.83,      396108.35,       24202.81,       38802.18,       55979.88,      140194.64,       14956.52,       24719.41,        7174.81,         527.50,         525.45,          39.98,          37.76,        1444.41,        1454.09,         185.54,         134.99,       11381.46,        4780.10
         9,       70589.62,       89116.74,      340515.93,       15401.95,       30598.38,       56346.05,      130114.21,       12912.60,       19688.32,        5953.48,         620.24,         667.25,          82.02,          94.83,        1891.48,        1939.53,         231.16,         236.40,       11861.61,        4913.84
