Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,LT,MD,HV,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,Tel_HBW,Tel_NHBW
        51,         867.90,         115.09,         937.10,          11.32,              0,         233.06,         320.71,              0,          20.51,              0,         559.95,         597.75,          95.02,         110.66,         661.46,         702.08,          91.50,         121.67,         104.90,           8.71
        52,         789.67,          98.94,         935.51,           6.96,              0,         186.89,         299.77,              0,           8.87,              0,         673.42,         622.73,          91.59,         116.23,         776.21,         731.10,          91.49,         128.84,          95.75,           6.26
        53,         760.44,          99.55,         970.14,           5.55,              0,         167.69,         281.50,              0,           3.75,              0,         568.43,         578.97,          82.33,         111.13,         599.89,         580.56,          86.17,         130.48,          94.37,           6.61
        54,         680.74,         117.65,         941.13,           2.01,              0,         150.32,         257.66,              0,           1.29,              0,         477.34,         507.51,          92.25,         130.19,         617.34,         611.71,         101.99,         159.22,          84.64,           6.40
        55,         658.82,         111.79,         949.51,           0.92,              0,         140.95,         237.33,              0,           0.24,              0,         592.29,         585.80,         104.84,         133.93,         638.76,         681.64,         115.88,         166.26,          82.71,           5.88
        56,         658.00,         102.64,         931.98,           0.11,              0,         113.61,         197.76,              0,           0.04,              0,         567.00,         542.44,          79.15,         124.64,         526.34,         524.28,          93.01,         172.95,          82.17,           3.89
        57,         613.71,         103.99,         774.66,              0,              0,         101.73,         186.32,              0,           0.01,              0,         406.59,         378.91,          56.26,          86.91,         488.93,         373.92,          67.71,         115.13,          76.70,           2.55
        58,         584.07,          98.95,         708.91,              0,              0,          89.74,         178.65,              0,              0,              0,         419.02,         445.49,          57.17,          84.63,         407.29,         525.76,          71.15,         111.21,          73.11,           2.40
        59,         592.33,          97.33,         680.56,              0,              0,          69.86,         166.02,              0,              0,              0,         331.31,         332.73,          64.39,          95.17,         428.86,         414.72,          82.52,         144.76,          74.51,           1.50
        60,         577.43,         105.43,         690.74,              0,              0,          53.80,         156.08,              0,              0,              0,         344.96,         389.40,          60.71,          94.64,         343.42,         374.94,          79.73,         152.40,          74.52,           1.22
        61,         543.89,          89.40,         629.40,              0,              0,          27.33,         130.90,              0,              0,              0,         391.54,         385.12,          59.64,          80.28,         386.64,         389.77,          78.42,         116.83,          67.82,           0.39
        62,         477.27,          86.30,         574.25,              0,              0,          12.53,         101.51,              0,              0,              0,         427.44,         424.45,          76.09,         101.55,         460.89,         453.49,          95.24,         142.15,          56.88,           0.21
        63,         458.43,          74.77,         528.58,              0,              0,           4.12,          63.22,              0,              0,              0,         414.75,         437.20,          77.28,          98.86,         454.77,         487.39,         102.99,         140.61,          54.29,           0.02
        64,         399.61,          69.02,         485.45,              0,              0,           1.42,          32.58,              0,              0,              0,         435.46,         407.42,          69.94,          89.64,         475.31,         482.01,          95.75,         125.20,          46.09,              0
        65,         361.78,          61.55,         426.24,              0,              0,           0.09,          16.40,              0,              0,              0,         385.19,         429.84,          76.28,         101.93,         519.57,         521.23,         107.63,         152.77,          42.96,              0
        66,         337.12,          40.91,         390.79,              0,              0,           0.01,           4.29,              0,              0,              0,         339.80,         354.04,          69.77,          95.65,         484.50,         474.87,         100.58,         140.96,          38.83,              0
        67,         319.88,          21.40,         344.60,              0,              0,              0,           0.96,              0,              0,              0,         354.79,         340.73,          76.17,         101.66,         567.97,         552.11,         110.16,         146.51,          37.35,              0
        68,         310.24,           7.13,         254.28,              0,              0,              0,              0,              0,              0,              0,         399.45,         386.63,          59.29,          74.67,         463.84,         461.89,          85.78,         108.89,          35.73,              0
        69,         277.19,           1.21,         175.11,              0,              0,              0,              0,              0,              0,              0,         430.04,         436.66,          66.12,          80.73,         460.17,         455.09,          97.73,         116.57,          29.70,              0
        70,         253.64,           0.24,          86.22,              0,              0,              0,              0,              0,              0,              0,         377.19,         392.95,          61.47,          74.21,         444.31,         452.13,          95.55,         116.16,          27.68,              0
        71,         218.34,              0,          45.94,              0,              0,              0,              0,              0,              0,              0,         334.16,         326.82,          51.99,          60.87,         400.80,         387.27,          79.60,          92.70,          23.31,              0
        72,         193.67,              0,          16.86,              0,              0,              0,              0,              0,              0,              0,         382.08,         370.35,          51.56,          57.74,         531.86,         529.81,          81.84,          89.00,          20.12,              0
        73,         178.40,              0,           2.49,              0,              0,              0,              0,              0,              0,              0,         380.57,         383.18,          52.59,          70.05,         543.72,         558.93,          85.85,         115.91,          17.50,              0
        74,         176.09,              0,           0.10,              0,              0,              0,              0,              0,              0,              0,         376.87,         387.37,          50.90,          74.42,         568.13,         561.49,          87.77,         132.35,          17.52,              0
        75,         154.84,              0,           2.00,              0,              0,              0,              0,              0,              0,              0,         341.27,         334.36,          34.47,          41.11,         422.49,         414.77,          58.12,          62.64,          14.85,              0
        76,         138.28,              0,           1.00,              0,              0,              0,              0,              0,              0,              0,         350.06,         340.37,          37.73,          42.70,         465.37,         471.70,          63.54,          65.43,          12.97,              0
        77,         129.40,              0,              0,              0,              0,              0,              0,              0,              0,              0,         316.88,         324.37,          29.82,          36.43,         332.10,         362.11,          60.85,          67.81,          12.06,              0
        78,         111.80,              0,              0,              0,              0,              0,              0,              0,              0,              0,         275.65,         294.87,          22.68,          28.09,         293.43,         296.38,          50.59,          56.22,          10.09,              0
        79,          91.68,              0,              0,              0,              0,              0,              0,              0,              0,              0,         272.73,         281.29,          20.51,          24.30,         245.99,         254.68,          47.10,          48.50,           7.92,              0
        80,          76.62,              0,              0,              0,              0,              0,              0,              0,              0,              0,         273.05,         270.89,          16.48,          18.41,         241.61,         238.77,          39.86,          41.08,           6.38,              0
        81,          63.28,              0,              0,              0,              0,              0,              0,              0,              0,              0,         244.07,         231.85,          11.70,          14.64,         241.45,         244.40,          37.65,          44.98,           5.18,              0
        82,          46.51,              0,              0,              0,              0,              0,              0,              0,              0,              0,         209.36,         200.47,           7.21,           8.49,         192.50,         195.71,          26.22,          32.35,           3.48,              0
        83,          29.78,              0,              0,              0,              0,              0,              0,              0,              0,              0,         218.89,         223.08,           5.44,           6.44,         188.04,         176.18,          21.01,          32.26,           1.88,              0
        84,          15.89,              0,              0,              0,              0,              0,              0,              0,              0,              0,         227.40,         220.71,           3.10,           4.20,         156.07,         160.07,          15.85,          32.48,           0.88,              0
        85,           7.40,              0,              0,              0,              0,              0,              0,              0,              0,              0,         176.01,         183.59,           1.10,           1.74,         103.19,         117.37,           8.90,          24.46,           0.37,              0
        86,           2.67,              0,              0,              0,              0,              0,              0,              0,              0,              0,         178.96,         171.42,           1.65,           2.67,         138.56,         133.17,           8.43,          27.94,           0.18,              0
        87,           0.56,              0,              0,              0,              0,              0,              0,              0,              0,              0,         175.89,         179.29,           0.45,           1.03,         136.59,         142.19,           3.25,          19.29,           0.06,              0
        88,           0.02,              0,              0,              0,              0,              0,              0,              0,              0,              0,         175.32,         189.05,           0.26,           0.48,         148.40,         152.00,           2.61,          15.03,              0,              0
        89,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,         197.11,         195.11,           0.05,           0.15,         178.91,         175.88,           2.01,          10.01,              0,              0
        90,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,         180.32,         176.04,              0,              0,         166.58,         165.44,           1.22,           8.18,              0,              0
        91,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,         168.43,         184.33,              0,              0,         169.00,         180.23,           0.49,           6.91,              0,              0
        92,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,         212.90,         190.43,              0,              0,         207.83,         206.82,           0.04,           4.31,              0,              0
        93,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,         185.13,         201.41,              0,              0,         158.92,         165.30,              0,           2.68,              0,              0
        94,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,         190.03,         194.95,              0,              0,         161.80,         159.98,              0,           1.63,              0,              0
        95,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,         221.77,         214.88,              0,              0,         208.79,         204.17,              0,           0.81,              0,              0
        96,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,         190.06,         200.32,              0,              0,         168.89,         171.81,              0,           0.09,              0,              0
        97,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,         194.13,         187.59,              0,              0,         199.27,         202.37,              0,           0.05,              0,              0
        98,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,         191.50,         205.57,              0,              0,         217.28,         208.14,              0,              0,              0,              0
        99,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,         197.60,         189.68,              0,              0,         197.78,         207.89,              0,              0,              0,              0
       100,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,         195.83,         200.10,              0,              0,         196.97,         204.91,              0,              0,              0,              0
       101,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,         124.17,         129.84,              0,              0,         160.32,         155.48,              0,              0,              0,              0
       102,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,         108.74,         103.96,              0,              0,         214.35,         203.65,              0,              0,              0,              0
       103,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,         104.03,          99.23,              0,              0,         172.64,         173.98,              0,              0,              0,              0
       104,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          92.57,          83.49,              0,              0,         165.27,         145.45,              0,              0,              0,              0
       105,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          83.68,          80.06,              0,              0,         143.36,         161.30,              0,              0,              0,              0
       106,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,          88.11,          91.02,              0,              0,         140.01,         132.12,              0,              0,              0,              0
