TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    805105, 100.00, 100.00,         0, 100.00, 100.00,   3864362, 100.00, 100.00,   1756344, 100.00, 100.00,    248344, 100.00, 100.00,   6674156, 100.00, 100.00,
    2) Non-Motorized,     32193,   4.00,   4.00,         0,      0,      0,    308927,   7.99,   7.99,    140851,   8.02,   8.02,     44489,  17.91,  17.91,    526459,   7.89,   7.89,
    2) Motorized,    772912,  96.00,  96.00,         0,      0,      0,   3555436,  92.01,  92.01,   1615494,  91.98,  91.98,    203855,  82.09,  82.09,   6147696,  92.11,  92.11
        3) Auto,    759209,  94.30,  98.23,         0,      0,      0,   3533124,  91.43,  99.37,   1610744,  91.71,  99.71,-,-,-,   6106932,  91.50,  99.34,
            4) Auto 1 pers,    631768,  78.47,  83.21,         0,      0,      0,   1268841,  32.83,  35.91,    700529,  39.89,  43.49,-,-,-,   2601138,  38.97,  42.59,
                    GP use,    630844,  78.36,  99.85,         0,      0,      0,   1268807,  32.83, 100.00,    699559,  39.83,  99.86,-,-,-,   2599209,  38.94,  99.93,
                    Toll use,       963,   0.12,   0.15,         0,      0,      0,       505,   0.01,   0.04,      1163,   0.07,   0.17,-,-,-,      2631,   0.04,   0.10
            4) Auto 2 pers,     98236,  12.20,  12.94,         0,      0,      0,   1231316,  31.86,  34.85,    453499,  25.82,  28.15,-,-,-,   1783051,  26.72,  29.20,
                    GP use,     77183,   9.59,  78.57,         0,      0,      0,   1158952,  29.99,  94.12,    409727,  23.33,  90.35,-,-,-,   1645863,  24.66,  92.31,
                    HOV use,     21058,   2.62,  21.44,         0,      0,      0,     72422,   1.87,   5.88,     43798,   2.49,   9.66,-,-,-,    137278,   2.06,   7.70,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     29204,   3.63,   3.85,         0,      0,      0,   1032972,  26.73,  29.24,    456734,  26.00,  28.36,-,-,-,   1518910,  22.76,  24.87,
