SERIALNO,PUMA,SPORDER,ESR,HINCP,NP,WGTP,state
2019GQ0000046,35016,1,6,-60000,1,0,49
2019GQ0000078,13000,1,6,-60000,1,0,49
2019GQ0000353,49003,1,1,-60000,1,0,49
2019GQ0000471,35015,1,6,-60000,1,0,49
2019GQ0000698,05000,1,1,-60000,1,0,49
2019GQ0000700,35011,1,6,-60000,1,0,49
2019GQ0000937,05000,1,6,-60000,1,0,49
2019GQ0000982,49003,1,1,-60000,1,0,49
2019GQ0001182,21000,1,6,-60000,1,0,49
2019GQ0001212,35015,1,6,-60000,1,0,49
2019GQ0001280,35015,1,6,-60000,1,0,49
2019GQ0001294,49002,1,6,-60000,1,0,49
2019GQ0001295,21000,1,3,-60000,1,0,49
2019GQ0001298,49003,1,1,-60000,1,0,49
2019GQ0001407,35009,1,6,-60000,1,0,49
2019GQ0001458,53000,1,6,-60000,1,0,49
2019GQ0001659,49003,1,6,-60000,1,0,49
2019GQ0001705,13000,1,6,-60000,1,0,49
2019GQ0002042,35008,1,6,-60000,1,0,49
2019GQ0002061,57002,1,6,-60000,1,0,49
2019GQ0002149,49003,1,1,-60000,1,0,49
2019GQ0002375,53000,1,6,-60000,1,0,49
2019GQ0002477,21000,1,6,-60000,1,0,49
2019GQ0002486,21000,1,6,-60000,1,0,49
2019GQ0002610,49003,1,1,-60000,1,0,49
2019GQ0002871,49003,1,1,-60000,1,0,49
2019GQ0002959,35012,1,1,-60000,1,0,49
2019GQ0003046,35011,1,1,-60000,1,0,49
2019GQ0003161,35012,1,1,-60000,1,0,49
2019GQ0003263,57002,1,6,-60000,1,0,49
2019GQ0003370,49003,1,3,-60000,1,0,49
2019GQ0003499,35012,1,6,-60000,1,0,49
2019GQ0003514,57002,1,6,-60000,1,0,49
2019GQ0003837,35015,1,6,-60000,1,0,49
2019GQ0004116,49003,1,1,-60000,1,0,49
2019GQ0004134,35009,1,6,-60000,1,0,49
2019GQ0004195,49003,1,1,-60000,1,0,49
2019GQ0004625,49004,1,6,-60000,1,0,49
2019GQ0004665,35016,1,6,-60000,1,0,49
2019GQ0004849,35012,1,6,-60000,1,0,49
2019GQ0004919,49003,1,1,-60000,1,0,49
2019GQ0004966,57002,1,6,-60000,1,0,49
2019GQ0004973,21000,1,6,-60000,1,0,49
2019GQ0005310,53000,1,6,-60000,1,0,49
2019GQ0005566,35011,1,6,-60000,1,0,49
2019GQ0005767,49003,1,6,-60000,1,0,49
2019GQ0005955,35011,1,1,-60000,1,0,49
2019GQ0006215,35009,1,6,-60000,1,0,49
2019GQ0006609,05000,1,6,-60000,1,0,49
2019GQ0006651,49002,1,6,-60000,1,0,49
2019GQ0006918,49003,1,1,-60000,1,0,49
2019GQ0006934,49003,1,3,-60000,1,0,49
2019GQ0007100,57002,1,6,-60000,1,0,49
