PUMA,HHSIZE,INC,WRKS,COUNT
3000,1,$100k–$150k,0,51
3000,1,$100k–$150k,1,322
3000,1,$50k–$100k,0,298
3000,1,$50k–$100k,1,1268
3000,1,<$50k,0,3562
3000,1,<$50k,1,1805
3000,1,>$150k,0,28
3000,1,>$150k,1,18
3000,2,$100k–$150k,0,416
3000,2,$100k–$150k,1,587
3000,2,$100k–$150k,2,1743
3000,2,$50k–$100k,0,1154
3000,2,$50k–$100k,1,1656
3000,2,$50k–$100k,2,1857
3000,2,<$50k,0,1671
3000,2,<$50k,1,1149
3000,2,<$50k,2,466
3000,2,>$150k,0,138
3000,2,>$150k,1,248
3000,2,>$150k,2,919
3000,3,$100k–$150k,0,37
3000,3,$100k–$150k,1,412
3000,3,$100k–$150k,2,1352
3000,3,$100k–$150k,3,475
3000,3,$50k–$100k,0,73
3000,3,$50k–$100k,1,1132
3000,3,$50k–$100k,2,1471
3000,3,$50k–$100k,3,382
3000,3,<$50k,0,115
3000,3,<$50k,1,539
3000,3,<$50k,2,155
3000,3,<$50k,3,75
3000,3,>$150k,0,50
3000,3,>$150k,1,187
3000,3,>$150k,2,666
3000,3,>$150k,3,508
3000,4,$100k–$150k,0,56
3000,4,$100k–$150k,1,250
3000,4,$100k–$150k,2,1119
3000,4,$100k–$150k,3,603
3000,4,$50k–$100k,0,19
3000,4,$50k–$100k,1,1095
3000,4,$50k–$100k,2,1246
3000,4,$50k–$100k,3,126
3000,4,<$50k,0,168
3000,4,<$50k,1,593
3000,4,<$50k,2,223
3000,4,<$50k,3,4
3000,4,>$150k,1,74
3000,4,>$150k,2,380
3000,4,>$150k,3,490
3000,5,$100k–$150k,0,3
3000,5,$100k–$150k,1,233
3000,5,$100k–$150k,2,469
3000,5,$100k–$150k,3,324
3000,5,$50k–$100k,1,967
3000,5,$50k–$100k,2,809
3000,5,$50k–$100k,3,221
3000,5,<$50k,0,9
3000,5,<$50k,1,201
3000,5,<$50k,2,29
3000,5,<$50k,3,8
