calib_run,vehicle_type,component,metric,factored,unfactored,effective_factor,vehicle_grand_total,model_pct_of_total,adj_pct_of_total
C70,HV,D2D,trips,7928.500000000042,919.9286199170433,8.618603474598945,80911.7999999999,1.136952360369,8.661989203160733
C70,HV,HnS,trips,4057.0999999999494,8386.055945852844,0.48379119173493074,80911.7999999999,10.364441213584241,-5.350215847197689
C70,HV,Lcl,trips,24078.899999999856,12207.49463151443,1.9724686126700095,80911.7999999999,15.087409539170363,14.672032223341269
C70,HV,Reg,trips,2675.3999999999623,5015.283849649985,0.5334493680126754,80911.7999999999,6.198457888280809,-2.8918944451242288
C70,HV,LHl,trips,2029.5999999999706,3352.712852334556,0.6053605212825556,80911.7999999999,4.143663658866272,-1.6352532663154038
C70,HV,Unk,trips,6497.300000000113,3748.3708588493255,1.7333663729299864,80911.7999999999,4.632662799306566,3.397439114135133
C70,HV,IX,trips,13030.0,11846.006888304342,1.0999487103848153,80911.7999999999,14.640641894389145,1.4633132765500942
C70,HV,XI,trips,16241.0,14831.078087342139,1.0950653691090189,80911.7999999999,18.32993220685012,1.7425417709874984
C70,HV,XX,trips,4374.0,3981.4400423719085,1.0985974806729042,80911.7999999999,4.920716190187233,0.48517021945883293
C70,LT,D2D,trips,397691.7000000017,363838.76969412836,1.09304376862953,809912.8000000028,44.92320280579923,4.179824087960237
C70,LT,HnS,trips,70551.7000000001,65166.91850462904,1.082630598759838,809912.8000000028,8.04616478522488,0.6648594139234549
C70,LT,Lcl,trips,195108.80000000112,180463.15846712858,1.0811558528470522,809912.8000000028,22.28180101205067,1.8082985641012823
C70,LT,Reg,trips,47402.79999999983,43911.09412867676,1.0795176239765512,809912.8000000028,5.421706402056692,0.4311212109900045
C70,LT,LHl,trips,18258.399999999987,17078.161713348178,1.069108040224806,809912.8000000028,2.108642030765302,0.14572411828184528
C70,LT,Unk,trips,80899.40000000017,74884.87779210134,1.0803169129099284,809912.8000000028,9.246042017375336,0.742613551471073
C70,LT,IX,trips,0.0,0.0,,809912.8000000028,0.0,0.0
C70,LT,XI,trips,0.0,0.0,,809912.8000000028,0.0,0.0
C70,LT,XX,trips,0.0,0.0,,809912.8000000028,0.0,0.0
C70,MD,D2D,trips,5484.800000000019,2437.238767578264,2.2504155411289193,287239.80000000086,0.8485031557528784,1.0609815326503311
C70,MD,HnS,trips,115747.80000000048,24095.134949088,4.803783014478678,287239.80000000086,8.38850846891271,31.9080660308607
C70,MD,Lcl,trips,124273.80000000024,46091.11465908392,2.6962637141496772,287239.80000000086,16.04621457718735,27.2186115367425
C70,MD,Reg,trips,8558.100000000073,10903.680225942202,0.7848817851094451,287239.80000000086,3.796019989549557,-0.8165930438407637
C70,MD,LHl,trips,1981.1999999999769,3580.5685293660836,0.5533199501004203,287239.80000000086,1.2465433165480801,-0.556806030837684
C70,MD,Unk,trips,10692.100000000079,14145.937586193479,0.7558424413264507,287239.80000000086,4.924783259908075,-1.2024230577355193
C70,MD,IX,trips,8409.0,7724.996986533572,1.0885441139535459,287239.80000000086,2.6893894879934983,0.2381296092903649
C70,MD,XI,trips,10370.0,9601.571852340145,1.0800314947882799,287239.80000000086,3.3427024570899,0.2675214742733608
C70,MD,XX,trips,1723.0,1600.0545092130455,1.0768383139943294,287239.80000000086,0.5570448486640921,0.042802386990575154
C70,HV,D2D,vmt,46293.4918,5629.998536853282,8.222647216863107,2130242.2545,0.26428912134102456,1.9088670867009474
C70,HV,HnS,vmt,28068.9611,69136.28851725547,0.40599461877382054,2130242.2545,3.2454660201772594,-1.9278242805720043
C70,HV,Lcl,vmt,169711.67940000002,133612.77603665995,1.2701755358592015,2130242.2545,6.272186919323921,1.6945914619374138
C70,HV,Reg,vmt,21916.8473,44825.98017101016,0.4889318028604772,2130242.2545,2.1042667835697166,-1.0754238313795574
C70,HV,LHl,vmt,17798.0423,31383.58056169385,0.5671131840744751,2130242.2545,1.4732399798848252,-0.6377461639865265
C70,HV,Unk,vmt,49347.96830000001,37144.42842114845,1.3285429443276446,2130242.2545,1.743671563301462,0.5728709893474493
C70,HV,IX,vmt,686165.2635,624858.4441160554,1.0981131326002502,2130242.2545,29.332741043704402,2.8779271115497735
C70,HV,XI,vmt,862988.8707999999,792553.0684963529,1.088872032805676,2130242.2545,37.204832775339774,3.306469118939686
C70,HV,XX,vmt,247951.13,226649.1517187478,1.093986578461525,2130242.2545,10.63959515590145,0.9999791449189941
C70,LT,D2D,vmt,562149.29,524224.6822567561,1.0723441856647817,4003778.1183,13.093250094471804,0.9472205157898878
C70,LT,HnS,vmt,456491.05780000007,426668.14029926166,1.0698972214794873,4003778.1183,10.656637997722623,0.744869386353537
C70,LT,Lcl,vmt,1754712.7624,1639641.4099387438,1.0701808040244332,4003778.1183,40.95235453844115,2.8740691682014403
C70,LT,Reg,vmt,476874.33,442680.98504815425,1.0772415037165561,4003778.1183,11.056581358112725,0.85402697006507
C70,LT,LHl,vmt,146239.51679999998,137377.230849373,1.0645105880780492,4003778.1183,3.4311899108860517,0.22134807895872838
C70,LT,Unk,vmt,607311.1613,568246.4653606236,1.0687460429948914,4003778.1183,14.192756156075411,0.9756958249215696
C70,LT,IX,vmt,0.0,0.0,,4003778.1183,0.0,0.0
C70,LT,XI,vmt,0.0,0.0,,4003778.1183,0.0,0.0
C70,LT,XX,vmt,0.0,0.0,,4003778.1183,0.0,0.0
C70,MD,D2D,vmt,27167.312299999998,11725.104327279247,2.3170209442651535,2686830.5758999996,0.4363916516526809,0.5747369451290438
C70,MD,HnS,vmt,922805.6367999999,248687.8321290427,3.7106987861037015,2686830.5758999996,9.255806240992344,25.08970274186901
C70,MD,Lcl,vmt,1006383.1451,499072.6791983661,2.016506186466668,2686830.5758999996,18.57477295646724,18.881371622462705
C70,MD,Reg,vmt,65189.9888,78309.34841973797,0.8324675165292115,2686830.5758999996,2.914562202847752,-0.48828384407317615
C70,MD,LHl,vmt,7847.7561000000005,12324.209214469847,0.6367756310714,2686830.5758999996,0.4586894806473476,-0.16660719714232008
C70,MD,Unk,vmt,59332.76669999999,73465.10328590023,0.8076319782618127,2686830.5758999996,2.734266311573883,-0.5259854012628381
