I,J,HBW,HBC,HBSch,HBO,NHB,IX,XI,XX,II_LT,II_MD,II_HV,Ext_MD,Ext_HV,TOT
    1,    1,  10840.78,         0,   8253.71,  59719.75,  24437.17,         0,         0,         0,  15772.64,   5594.14,   4179.83,         0,         0, 128798.02
    1,    2,     46.03,         0,         0,    391.83,    245.40,         0,         0,         0,    183.28,     50.47,     17.05,         0,         0,    934.06
    1,    3,         0,         0,         0,         0,         0,         0,         0,         0,      0.54,         0,         0,         0,         0,      0.54
    1,    4,   1967.56,         0,    580.53,   3938.38,   1529.53,         0,         0,         0,    444.69,    595.98,    530.05,         0,         0,   9586.72
    1,    5,   1249.94,    217.00,     40.42,   1514.78,    828.06,         0,         0,         0,    194.67,    395.67,    353.69,         0,         0,   4794.23
    1,    6,      0.02,         0,         0,      2.06,      0.15,         0,         0,         0,      4.96,      0.02,         0,         0,         0,      7.21
    1,    7,         0,         0,         0,      0.05,         0,         0,         0,         0,      0.05,         0,         0,         0,         0,      0.10
    1,    8,   1001.25,     24.00,     39.87,    886.69,    708.48,         0,         0,         0,    211.45,    132.73,     19.33,         0,         0,   3023.80
    1,    9,    222.88,         0,      3.64,    223.55,    150.36,         0,         0,         0,     69.36,     52.07,     10.17,         0,         0,    732.03
    1,   10,         0,         0,         0,      0.51,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,      0.52
    1,   11,     87.63,         0,         0,     70.64,     10.44,         0,         0,         0,     15.63,     28.56,     15.05,         0,         0,    227.95
    1,   12,    287.18,      9.00,      0.09,    461.76,     74.23,         0,         0,         0,     70.51,    117.93,     56.81,         0,         0,   1077.51
    1,   13,    110.08,      2.00,         0,    183.44,     40.14,         0,         0,         0,     21.85,     22.54,      5.86,         0,         0,    385.91
    1,   14,    269.45,      7.00,         0,    429.47,     98.02,         0,         0,         0,     51.04,     75.56,     21.28,         0,         0,    951.82
    1,   15,      4.20,         0,         0,      0.73,         0,         0,         0,         0,      0.35,      2.44,      3.74,         0,         0,     11.46
    1,   16,     44.95,         0,         0,     29.57,      5.20,         0,         0,         0,     12.39,     22.38,     18.69,         0,         0,    133.18
    1,   17,     42.06,         0,         0,     38.94,      5.66,         0,         0,         0,     12.76,     19.03,     11.77,         0,         0,    130.22
    1,   18,      0.44,         0,         0,      0.06,         0,         0,         0,         0,      0.06,         0,         0,         0,         0,      0.56
    1,   19,      0.24,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.14,         0,         0,      0.38
    1,   20,     11.55,         0,         0,         0,         0,         0,         0,         0,      0.29,      3.66,     11.08,         0,         0,     26.58
    1,   21,      7.49,      5.00,         0,         0,         0,         0,         0,         0,         0,         0,      2.89,         0,         0,     15.38
    1,   22,      0.87,         0,         0,         0,         0,         0,         0,         0,         0,         0,      1.41,         0,         0,      2.28
    1,   23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    1,   24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    1,   25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    1,   26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    1,   27,         0,         0,         0,         0,         0,   8744.05,         0,         0,         0,         0,         0,    526.37,    237.16,   9507.58
    2,    1,    490.49,         0,    616.15,   1771.73,    247.34,         0,         0,         0,    311.11,     49.49,     17.79,         0,         0,   3504.10
    2,    2,    114.59,         0,         0,   1679.39,    330.93,         0,         0,         0,    808.68,     27.83,      4.14,         0,         0,   2965.56
    2,    3,         0,         0,         0,         0,         0,         0,         0,         0,      0.04,         0,         0,         0,         0,      0.04
    2,    4,    124.15,         0,     48.04,    218.24,     68.51,         0,         0,         0,     52.09,     22.75,      8.74,         0,         0,    542.52
    2,    5,     87.83,         0,     15.95,    154.29,     44.46,         0,         0,         0,     15.88,     16.39,      6.85,         0,         0,    341.65
    2,    6,         0,         0,         0,      0.28,      0.02,         0,         0,         0,      1.22,         0,         0,         0,         0,      1.52
    2,    7,         0,         0,         0,      0.02,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.02
    2,    8,     77.24,         0,     20.62,    104.78,     35.68,         0,         0,         0,     14.05,      5.91,      0.31,         0,         0,    258.59
    2,    9,     19.62,         0,      3.68,     42.25,     10.84,         0,         0,         0,      5.53,      2.83,      0.20,         0,         0,     84.95
    2,   10,         0,         0,         0,      0.11,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.11
    2,   11,      8.58,         0,         0,      7.80,      0.34,         0,         0,         0,      0.97,      0.79,      0.26,         0,         0,     18.74
    2,   12,     28.05,         0,         0,     44.97,      3.32,         0,         0,         0,      5.01,      3.51,      0.96,         0,         0,     85.82
    2,   13,      9.75,         0,         0,     28.78,      2.35,         0,         0,         0,      1.75,      0.74,      0.10,         0,         0,     43.47
    2,   14,     26.58,         0,         0,     52.39,      3.52,         0,         0,         0,      4.26,      2.41,      0.34,         0,         0,     89.50
    2,   15,      0.62,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,      0.08,         0,         0,      0.72
    2,   16,      5.49,         0,         0,      0.49,         0,         0,         0,         0,      0.84,      0.34,      0.32,         0,         0,      7.48
    2,   17,      5.01,         0,         0,      0.27,         0,         0,         0,         0,      0.93,      0.40,      0.23,         0,         0,      6.84
    2,   18,      0.07,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.07
    2,   19,      0.05,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.05
    2,   20,      2.17,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.01,         0,         0,      2.18
    2,   21,      1.62,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      1.62
    2,   22,      0.42,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.42
    2,   23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    2,   24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    2,   25,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.01
    2,   26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    2,   27,         0,         0,         0,         0,         0,    329.06,         0,         0,         0,         0,         0,      3.10,      1.64,    333.80
    3,    1,         0,         0,         0,         0,         0,         0,         0,         0,      0.94,         0,         0,         0,         0,      0.94
    3,    2,         0,         0,         0,         0,         0,         0,         0,         0,      0.04,         0,         0,         0,         0,      0.04
    3,    3,         0,         0,         0,         0,         0,         0,         0,         0,     20.09,         0,         0,         0,         0,     20.09
    3,    4,         0,         0,         0,         0,         0,         0,         0,         0,     72.32,         0,         0,         0,         0,     72.32
    3,    5,         0,         0,         0,         0,         0,         0,         0,         0,      8.23,         0,         0,         0,         0,      8.23
    3,    6,         0,         0,         0,         0,         0,         0,         0,         0,      0.08,         0,         0,         0,         0,      0.08
    3,    7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,    8,         0,         0,         0,         0,         0,         0,         0,         0,      2.67,         0,         0,         0,         0,      2.67
    3,    9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   11,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   14,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   17,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   19,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   20,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   22,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    3,   27,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    4,    1,   2971.63,         0,     67.00,   2413.80,   1132.88,         0,         0,         0,    375.91,    561.75,    506.77,         0,         0,   8029.74
    4,    2,     21.13,         0,         0,     42.48,     46.46,         0,         0,         0,     36.14,     21.98,      8.07,         0,         0,    176.26
    4,    3,         0,         0,         0,         0,         0,         0,         0,         0,     64.30,         0,         0,         0,         0,     64.30
    4,    4,  40260.54,         0,  40264.32, 253862.33,  72642.67,         0,         0,         0,  40527.94,  10894.27,   8842.61,         0,         0, 467294.68
    4,    5,  27935.14,   2898.00,   3936.11,  75839.95,  23522.54,         0,         0,         0,   4597.54,   3986.63,   3309.24,         0,         0, 146025.15
    4,    6,      2.92,         0,         0,     79.66,      9.42,         0,         0,         0,     85.18,      0.74,      0.13,         0,         0,    178.05
    4,    7,      1.15,         0,         0,      1.26,      0.28,         0,         0,         0,     46.49,         0,         0,         0,         0,     49.18
    4,    8,  19422.93,    422.00,   2239.86,  34331.88,  11733.32,         0,         0,         0,   2604.05,    761.47,    130.14,         0,         0,  71645.65
    4,    9,   2877.03,         0,     72.76,   2163.62,   1433.01,         0,         0,         0,    459.05,    215.27,     42.53,         0,         0,   7263.27
    4,   10,         0,         0,         0,      4.87,      0.26,         0,         0,         0,      2.67,         0,         0,         0,         0,      7.80
    4,   11,    861.62,         0,      0.08,    528.54,    118.19,         0,         0,         0,    106.89,    125.27,     45.28,         0,         0,   1785.87
    4,   12,   2992.66,     41.00,      2.86,   2741.12,    699.54,         0,         0,         0,    469.69,    492.36,    172.92,         0,         0,   7612.15
    4,   13,   1349.52,      2.00,         0,   1159.70,    299.13,         0,         0,         0,    141.27,    100.29,     22.81,         0,         0,   3074.72
    4,   14,   2880.21,    234.00,      1.46,   3000.29,    949.86,         0,         0,         0,    409.27,    364.94,     67.57,         0,         0,   7907.60
    4,   15,     46.56,         0,      0.01,     41.85,     20.38,         0,         0,         0,     20.53,     41.77,     10.24,         0,         0,    181.34
    4,   16,    473.63,      1.00,      0.19,    527.60,    275.98,         0,         0,         0,    183.01,    178.47,     55.48,         0,         0,   1695.36
    4,   17,    433.88,         0,      0.03,    619.03,    257.88,         0,         0,         0,    168.22,    139.44,     34.06,         0,         0,   1652.54
    4,   18,      5.18,         0,         0,      7.10,      4.29,         0,         0,         0,      3.39,      1.14,      0.01,         0,         0,     21.11
    4,   19,      2.11,         0,         0,         0,         0,         0,         0,         0,      0.07,      1.19,      0.83,         0,         0,      4.20
    4,   20,    139.42,         0,         0,     32.72,     25.86,         0,         0,         0,     45.15,    176.28,     37.51,         0,         0,    456.94
    4,   21,     86.97,     80.00,         0,      0.29,      0.15,         0,         0,         0,      8.69,     39.90,     25.52,         0,         0,    241.52
    4,   22,     13.55,         0,         0,         0,         0,         0,         0,         0,      0.31,      0.51,     11.29,         0,         0,     25.66
    4,   23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    4,   24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.04,         0,         0,      0.04
    4,   25,      0.04,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.02,         0,         0,      0.06
    4,   26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    4,   27,         0,         0,         0,         0,         0,  10574.92,         0,         0,         0,         0,         0,    616.90,    948.65,  12140.47
    5,    1,    633.34,         0,     13.67,    189.01,    534.97,         0,         0,         0,    155.52,    362.59,    339.14,         0,         0,   2228.24
    5,    2,      4.45,         0,         0,      6.09,     28.17,         0,         0,         0,     14.44,     15.54,      6.29,         0,         0,     74.98
    5,    3,         0,         0,         0,         0,         0,         0,         0,         0,      4.73,         0,         0,         0,         0,      4.73
    5,    4,  10257.94,         0,   2560.22,  24909.62,  22760.90,         0,         0,         0,   4772.16,   3948.17,   3336.41,         0,         0,  72545.42
    5,    5,  32435.98,   5165.00,  17293.69, 170127.16,  90611.06,         0,         0,         0,  23253.40,  11035.69,   8450.04,         0,         0, 358372.02
    5,    6,      3.03,         0,         0,     70.66,     16.83,         0,         0,         0,    104.31,      1.33,      0.36,         0,         0,    196.52
    5,    7,      0.31,         0,         0,      0.12,      0.34,         0,         0,         0,     11.45,         0,         0,         0,         0,     12.22
    5,    8,   9289.81,    239.00,    748.71,  11013.19,  11343.21,         0,         0,         0,   2312.60,    729.90,    136.33,         0,         0,  35812.75
    5,    9,   1827.69,         0,     51.04,   1202.08,   1972.19,         0,         0,         0,    528.62,    239.13,     44.81,         0,         0,   5865.56
    5,   10,         0,         0,         0,      3.46,      0.89,         0,         0,         0,     10.69,         0,         0,         0,         0,     15.04
    5,   11,    491.14,         0,      0.20,    198.81,    159.04,         0,         0,         0,    119.60,    136.96,     42.01,         0,         0,   1147.76
    5,   12,   1721.69,     20.00,      2.80,   1498.79,    940.38,         0,         0,         0,    527.19,    538.52,    166.73,         0,         0,   5416.10
    5,   13,    758.56,      3.00,      0.06,    476.43,    404.40,         0,         0,         0,    159.15,    112.73,     25.13,         0,         0,   1939.46
    5,   14,   1641.80,    244.00,      2.83,   1149.69,   1236.21,         0,         0,         0,    477.77,    408.81,     70.05,         0,         0,   5231.16
    5,   15,     24.40,         0,      0.15,     18.73,     46.43,         0,         0,         0,     33.25,     51.64,      8.99,         0,         0,    183.59
    5,   16,    250.31,      2.00,      0.67,    201.61,    411.17,         0,         0,         0,    234.70,    209.81,     52.46,         0,         0,   1362.73
    5,   17,    230.64,         0,      0.27,    235.21,    368.58,         0,         0,         0,    210.37,    161.34,     35.00,         0,         0,   1241.41
    5,   18,      2.44,         0,         0,      4.44,      8.77,         0,         0,         0,      5.00,      1.38,      0.03,         0,         0,     22.06
    5,   19,      1.03,         0,         0,         0,      0.03,         0,         0,         0,      0.40,      3.67,      0.43,         0,         0,      5.56
    5,   20,     66.87,         0,         0,     23.39,     75.23,         0,         0,         0,     83.92,    228.90,     28.25,         0,         0,    506.56
    5,   21,     37.12,     25.00,         0,      1.88,      1.35,         0,         0,         0,     22.99,     75.49,     19.28,         0,         0,    183.11
    5,   22,      5.06,         0,         0,         0,         0,         0,         0,         0,      1.39,      2.73,      7.46,         0,         0,     16.64
    5,   23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    5,   24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.01,         0,         0,      0.01
    5,   25,      0.02,         0,         0,         0,         0,         0,         0,         0,      0.03,         0,      0.02,         0,         0,      0.07
    5,   26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    5,   27,         0,         0,         0,         0,         0,   6452.97,         0,         0,         0,         0,         0,    563.83,    413.75,   7430.55
    6,    1,      1.23,         0,      0.01,      0.42,      0.05,         0,         0,         0,      5.88,      0.01,         0,         0,         0,      7.60
    6,    2,         0,         0,         0,      0.01,      0.01,         0,         0,         0,      1.16,         0,         0,         0,         0,      1.18
    6,    3,         0,         0,         0,         0,         0,         0,         0,         0,      0.04,         0,         0,         0,         0,      0.04
    6,    4,     17.95,         0,      5.82,     64.30,      8.86,         0,         0,         0,    122.04,      0.74,      0.15,         0,         0,    219.86
    6,    5,     29.85,         0,      8.61,    134.87,     16.71,         0,         0,         0,    119.14,      1.35,      0.39,         0,         0,    310.92
    6,    6,      0.01,         0,         0,      3.93,      0.30,         0,         0,         0,    394.27,      0.02,         0,         0,         0,    398.53
    6,    7,         0,         0,         0,         0,         0,         0,         0,         0,      0.03,         0,         0,         0,         0,      0.03
    6,    8,     12.02,         0,      0.71,     13.27,      2.84,         0,         0,         0,     19.85,      0.02,         0,         0,         0,     48.71
    6,    9,      2.78,         0,      0.12,      2.69,      0.43,         0,         0,         0,      1.67,         0,         0,         0,         0,      7.69
    6,   10,         0,         0,         0,         0,         0,         0,         0,         0,      1.45,         0,         0,         0,         0,      1.45
    6,   11,      0.74,         0,         0,      0.57,      0.02,         0,         0,         0,      0.01,         0,         0,         0,         0,      1.34
    6,   12,      2.55,         0,         0,      1.57,      0.03,         0,         0,         0,      0.02,      0.02,      0.01,         0,         0,      4.20
    6,   13,      1.35,         0,         0,      1.22,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,      2.58
    6,   14,      2.14,         0,         0,      2.13,      0.17,         0,         0,         0,      0.05,      0.03,         0,         0,         0,      4.52
    6,   15,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.01
    6,   16,      0.16,         0,         0,      0.11,      0.02,         0,         0,         0,         0,         0,         0,         0,         0,      0.29
    6,   17,      0.16,         0,         0,      0.12,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.28
    6,   18,         0,         0,         0,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.01
    6,   19,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    6,   20,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      0.01
    6,   21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    6,   22,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    6,   23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    6,   24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    6,   25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    6,   26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
    6,   27,         0,         0,         0,         0,         0,      5.24,         0,         0,         0,         0,         0,         0,         0,      5.24
    7,    1,         0,         0,         0,         0,         0,         0,         0,         0,      0.03,         0,         0,         0,         0,      0.03
    7,    2,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
