Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.24,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,       10348.90,        5939.27,       86242.23,       17404.70,        5838.87,       25833.15,       42619.84,              0,              0,              0,              0,              0,              0,              0,              0,      105774.24,        1452.42,        3147.51,         740.68,         373.61,        1705.87,         152.06,        2022.78,        4729.19,         150.76,          85.08,         461.18,         379.65,         124.16,        2200.94,         121.30,         116.48,         457.00
         3,       16492.09,       17123.63,      207207.42,       32637.15,       12787.75,       19351.05,       48126.66,           0.49,              0,           0.27,           0.03,          23.38,              0,           0.33,           0.02,       73544.97,        1663.37,        4136.31,         798.97,         421.36,        2170.37,         164.82,        3037.92,        2879.23,         178.12,          44.90,         259.65,         479.97,         202.52,         908.93,         110.32,         107.61,         416.77
         4,       39126.55,       58247.61,      420018.49,       72208.87,       35319.34,       40838.13,      140611.63,           1.57,              0,           1.82,           0.04,          67.33,              0,           1.37,           0.48,       79754.02,        3262.00,        7747.10,        1490.59,         675.65,        3488.00,         296.71,        3380.14,        6428.38,         133.43,          51.44,         514.50,         254.04,         286.96,        1190.59,          67.77,          59.51,         284.92
         5,       45136.31,       73143.20,      416368.20,       60489.04,       38125.79,       41082.59,      121695.90,          34.92,              0,           3.67,           0.44,         218.85,              0,           4.12,           0.47,       19497.73,        2876.78,        7187.39,        1280.15,         584.70,        3172.03,         101.81,        2744.09,        6786.79,         151.84,          77.91,         564.33,         129.21,         304.71,        1313.65,          77.97,          66.19,         316.11
         6,       65223.00,      103257.61,      462393.99,       38674.54,       35825.73,       60174.08,      181206.07,         215.66,              0,          51.15,           4.31,         503.64,              0,          60.71,           6.77,       12761.06,        4080.17,       10517.26,        1896.31,         902.99,        4291.91,         139.85,        3522.75,        8131.85,         186.46,          81.27,         696.89,         191.25,         222.42,        1548.77,         100.85,          68.44,         313.38
         7,       69131.69,      104989.21,      449978.87,       26639.85,       44018.71,       59633.96,      167010.48,         566.79,              0,          62.16,           5.48,         603.07,              0,          67.68,           8.25,        9974.95,        4506.72,       11536.93,        2041.04,        1016.88,        4616.51,         192.39,        4603.52,        7865.86,         246.67,          80.90,         655.88,         259.86,         185.85,        1469.87,         133.30,          84.75,         319.06
         8,       67903.22,      100620.29,      393981.66,       24965.98,       48066.16,       52443.59,      141639.00,        2143.97,              0,         137.60,          12.23,        1326.97,              0,         168.42,          15.22,        8729.09,        3744.24,       10068.27,        1856.08,         823.16,        4084.69,         213.32,        4802.94,        6838.67,         271.49,          66.43,         550.83,         274.89,         165.91,        1348.76,         116.69,          77.34,         300.84
         9,       71558.35,       89787.49,      340599.82,       22259.30,       36178.71,       52673.48,      132055.11,        2351.94,              0,         143.12,          11.27,        2861.61,              0,         172.64,          17.97,        8738.22,        3812.82,       10733.02,        1961.21,         899.06,        4187.00,         187.68,        4974.38,        6382.00,         265.31,          66.64,         515.50,         275.25,         149.71,        1252.75,         109.86,          72.72,         267.41
