TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    891072, 100.00, 100.00,    112528, 100.00, 100.00,   1952078, 100.00, 100.00,    862551, 100.00, 100.00,    445438, 100.00, 100.00,   4263667, 100.00, 100.00,
    2) Non-Motorized,     29117,   3.27,   3.27,     26963,  23.96,  23.96,    156419,   8.01,   8.01,     57715,   6.69,   6.69,     73496,  16.50,  16.50,    343709,   8.06,   8.06,
    2) Motorized,    861955,  96.73,  96.73,     85565,  76.04,  76.04,   1795659,  91.99,  91.99,    804836,  93.31,  93.31,    371942,  83.50,  83.50,   3919957,  91.94,  91.94
        3) Auto,    841132,  94.40,  97.58,     67119,  59.65,  78.44,   1786905,  91.54,  99.51,    803096,  93.11,  99.78,-,-,-,   3870194,  90.77,  98.73,
            4) Auto 1 pers,    722976,  81.14,  85.95,     48315,  42.94,  71.98,    575944,  29.50,  32.23,    363746,  42.17,  45.29,-,-,-,   1710981,  40.13,  44.21,
                    GP use,    721925,  81.02,  99.85,     48258,  42.88,  99.88,    576035,  29.51, 100.02,    363569,  42.15,  99.95,-,-,-,   1709787,  40.10,  99.93,
                    Toll use,      1113,   0.12,   0.15,        58,   0.05,   0.12,       215,   0.01,   0.04,       301,   0.03,   0.08,-,-,-,      1686,   0.04,   0.10
            4) Auto 2 pers,     88299,   9.91,  10.50,     13803,  12.27,  20.56,    597063,  30.59,  33.41,    211253,  24.49,  26.30,-,-,-,    910418,  21.35,  23.52,
                    GP use,     66302,   7.44,  75.09,     10468,   9.30,  75.84,    560592,  28.72,  93.89,    189833,  22.01,  89.86,-,-,-,    827195,  19.40,  90.86,
                    HOV use,     22008,   2.47,  24.92,      3335,   2.96,  24.16,     36508,   1.87,   6.11,     21439,   2.49,  10.15,-,-,-,     83290,   1.95,   9.15,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     29791,   3.34,   3.54,      5001,   4.44,   7.45,    613547,  31.43,  34.34,    227963,  26.43,  28.39,-,-,-,    876303,  20.55,  22.64,
                    GP use,     22357,   2.51,  75.05,      3793,   3.37,  75.84,    576038,  29.51,  93.89,    204833,  23.75,  89.85,-,-,-,    807021,  18.93,  92.09,
                    HOV use,      7422,   0.83,  24.91,      1208,   1.07,  24.16,     37515,   1.92,   6.11,     23133,   2.68,  10.15,-,-,-,     69279,   1.62,   7.91,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) IMZ Door-to-Door (D2D),        76,   0.01,   0.01,         0,      0,      0,       360,   0.02,   0.02,       144,   0.02,   0.02,-,-,-,       580,   0.01,   0.01,
                    IMZ D2D 1 pers,        65,   0.01,  85.53,         0,      0,      0,       307,   0.02,  85.28,       124,   0.01,  86.11,-,-,-,       496,   0.01,  85.52,
                    IMZ D2D 2 pers,         9,   0.00,  11.84,         0,      0,      0,        42,   0.00,  11.67,        16,   0.00,  11.11,-,-,-,        67,   0.00,  11.55,
                    IMZ D2D 3+ pers,         2,   0.00,   2.63,         0,      0,      0,        11,   0.00,   3.06,         4,   0.00,   2.78,-,-,-,        17,   0.00,   2.93
            4) School Trips,-,-,-,-,-,-,-,-,-,-,-,-,    371942,  83.50,  83.50,    371942,   8.72,  83.50,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     50594,  11.36,  13.60,     50594,   1.19,  13.60,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     54502,  12.24,  14.65,     54502,   1.28,  14.65,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    266846,  59.91,  71.74,    266846,   6.26,  71.74,
                    K-6,-,-,-,-,-,-,-,-,-,-,-,-,    171432,  38.49,  46.09,    171432,   4.02,  46.09,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     19268,   4.33,  11.24,     19268,   0.45,  11.24,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,         0,      0,      0,         0,      0,      0,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    152164,  34.16,  88.76,    152164,   3.57,  88.76,
                    7-12,-,-,-,-,-,-,-,-,-,-,-,-,    200510,  45.01,  53.91,    200510,   4.70,  53.91,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     31326,   7.03,  15.62,     31326,   0.73,  15.62,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     54502,  12.24,  27.18,     54502,   1.28,  27.18,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    114682,  25.75,  57.20,    114682,   2.69,  57.20
        3) Transit,     20827,   2.34,   2.42,     18446,  16.39,  21.56,      8756,   0.45,   0.49,      1738,   0.20,   0.22,-,-,-,     49768,   1.17,   1.27
            4) Local Bus (LCL),      8056,   0.90,  38.68,      6747,   6.00,  36.58,      3224,   0.17,  36.82,       644,   0.07,  37.02,-,-,-,     18670,   0.44,  37.52,
                    LCL Walk,      7540,   0.85,  93.60,      5657,   5.03,  83.84,      3141,   0.16,  97.41,       626,   0.07,  97.23,-,-,-,     16963,   0.40,  90.86,
                    LCL Drive,       516,   0.06,   6.40,      1090,   0.97,  16.16,        83,   0.00,   2.59,        18,   0.00,   2.77,-,-,-,      1707,   0.04,   9.14
            4) Core Bus (COR),         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0,
                    COR Walk,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00,
                    COR Drive,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00
            4) Bus-Rapid Transit (BRT),      1416,   0.16,   6.80,      4246,   3.77,  23.02,       631,   0.03,   7.21,       161,   0.02,   9.28,-,-,-,      6454,   0.15,  12.97,
                    BRT Walk,      1344,   0.15,  94.93,      3138,   2.79,  73.90,       627,   0.03,  99.37,       161,   0.02,  99.85,-,-,-,      5270,   0.12,  81.66,
                    BRT Drive,        72,   0.01,   5.07,      1108,   0.98,  26.10,         4,   0.00,   0.63,         0,   0.00,   0.15,-,-,-,      1184,   0.03,  18.34
            4) Express Bus (EXP),       445,   0.05,   2.14,       198,   0.18,   1.07,        48,   0.00,   0.55,        13,   0.00,   0.76,-,-,-,       704,   0.02,   1.41,
                    EXP Walk,       191,   0.02,  42.96,        67,   0.06,  33.71,        44,   0.00,  91.11,        13,   0.00,  99.99,-,-,-,       315,   0.01,  44.71,
                    EXP Drive,       254,   0.03,  57.04,       131,   0.12,  66.29,         4,   0.00,   8.89,         0,   0.00,   0.01,-,-,-,       389,   0.01,  55.29
            4) Light-Rail Transit (LRT),      6897,   0.77,  33.12,      3981,   3.54,  21.58,      3840,   0.20,  43.85,       723,   0.08,  41.61,-,-,-,     15441,   0.36,  31.03,
                    LRT Walk,      5519,   0.62,  80.01,      2793,   2.48,  70.15,      3401,   0.17,  88.57,       687,   0.08,  94.95,-,-,-,     12399,   0.29,  80.30,
                    LRT Drive,      1378,   0.15,  19.99,      1188,   1.06,  29.85,       439,   0.02,  11.43,        36,   0.00,   5.05,-,-,-,      3042,   0.07,  19.70
            4) Commuter-Rail Transit (CRT),      3990,   0.45,  19.16,      3275,   2.91,  17.75,       993,   0.05,  11.34,       188,   0.02,  10.80,-,-,-,      8445,   0.20,  16.97,
                    CRT Walk,      1303,   0.15,  32.65,       941,   0.84,  28.73,       409,   0.02,  41.19,       137,   0.02,  72.74,-,-,-,      2789,   0.07,  33.03,
                    CRT Drive,      2687,   0.30,  67.35,      2334,   2.07,  71.27,       584,   0.03,  58.81,        51,   0.01,  27.26,-,-,-,      5656,   0.13,  66.97,
  
   Model: v10x,
   Scenario: C57,
   RunYear: 2023,
   Socio-Economic year modeled:         2023,
   Network infrastructure year modeled: 2023,
   Period the results apply to:  Peak Period,
   Shares\RegionShares_Pk.csv,
   For this run Mode Choice was run in its regular form (i.e. not bypassed with approximation).,
   NOTE:  Indentations correspond with each level in the nested Logit choice model.
