Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,        4980.62,        1340.42,       17505.56,        3021.21,        1086.93,        9505.76,       13493.16,              0,              0,              0,              0,           0.24,              0,              0,              0,       65514.55,         914.41,        1853.21,         472.09,         257.62,        1018.69,          75.63,         778.47,        1977.23,          59.45,          37.32,         181.95,         174.79,          31.43,         961.24,          38.25,          38.84,         169.17
         3,       13599.61,       11587.49,      168840.56,       30249.43,       10515.56,       27054.83,       51682.11,              0,              0,              0,              0,              0,              0,              0,              0,       94733.88,        1621.52,        3868.28,         768.14,         364.36,        2072.39,         153.14,        2761.20,        4505.40,         181.72,          80.06,         452.51,         477.69,         206.00,        1956.31,         156.83,         149.50,         561.86
         4,       21570.37,       21920.18,      177216.56,       23238.45,       10304.06,       24462.46,       80908.69,           0.06,              0,              0,              0,           8.09,              0,           0.01,              0,       65967.10,        2476.90,        5704.03,        1155.35,         591.73,        2653.01,         281.86,        3172.17,        3812.35,         138.90,          30.94,         321.08,         302.46,         197.64,         809.13,          59.69,          54.29,         233.49
         5,       30941.39,       42374.69,      304893.41,       53944.43,       25226.34,       28758.51,       90489.43,           0.47,              0,           0.27,           0.07,          28.85,              0,           0.32,           0.23,       43777.10,        2333.61,        5883.30,        1068.99,         501.05,        2666.30,         144.65,        2598.26,        4215.40,         120.60,          43.88,         345.37,         184.23,         197.44,         723.70,          47.44,          43.90,         219.52
         6,       37455.89,       52667.78,      301840.17,       50402.04,       27447.34,       30940.95,       98205.42,           1.53,              0,           0.24,              0,          53.77,              0,           0.47,           0.15,       11153.20,        2583.95,        6527.66,        1198.88,         570.29,        2829.67,          73.42,        2021.70,        6042.51,         115.07,          67.29,         506.57,         104.46,         253.62,        1160.44,          59.78,          51.39,         271.09
         7,       49392.80,       70470.80,      327251.45,       39235.55,       26237.42,       43830.42,      132417.60,           0.35,              0,           1.58,           0.44,          23.35,              0,           0.90,           0.59,       10299.70,        3518.15,        9109.56,        1622.68,         816.33,        3677.88,         101.19,        2614.70,        6181.24,         134.54,          62.03,         529.25,         157.91,         214.08,        1266.20,          85.25,          59.73,         264.86
         8,       49898.02,       71745.19,      312916.10,       22279.07,       23957.35,       42458.03,      120323.91,           6.80,              0,           1.36,           0.46,          95.71,              0,           2.01,           0.24,        7665.81,        3451.78,        8787.77,        1554.88,         742.16,        3502.30,         132.15,        3226.23,        5465.00,         171.48,          55.96,         451.60,         143.56,          94.64,        1000.32,          64.93,          42.00,         177.72
         9,       48036.31,       70996.89,      301036.36,       16537.42,       27007.06,       36838.30,      105856.74,          60.63,              0,           6.52,           1.98,         286.29,              0,           6.77,           2.88,        6802.53,        2983.95,        8010.96,        1457.41,         687.66,        3230.37,         149.97,        3472.10,        5180.51,         193.86,          51.11,         422.81,         204.45,         142.36,        1021.70,         104.35,          67.21,         247.36
        10,       47791.50,       65656.80,      277994.08,       14515.90,       28716.46,       34761.49,       95543.44,         219.65,              0,           9.12,           2.27,         286.39,              0,          17.49,           4.87,        6619.56,        2845.01,        7779.96,        1439.20,         645.54,        3138.94,         162.55,        3526.66,        4547.18,         201.09,          43.87,         369.74,         182.75,         106.07,         851.52,          72.49,          47.79,         184.51
        11,       49619.10,       63377.00,      248794.03,       16312.69,       31356.58,       38856.82,       97310.02,         238.99,              0,           7.72,           1.50,         341.66,              0,          13.89,           2.87,        6390.40,        3146.78,        8218.63,        1503.89,         697.95,        3206.45,         161.61,        3690.17,        4373.65,         180.75,          41.05,         341.86,         204.69,         118.96,         917.27,          87.72,          58.32,         212.05
        12,       50132.68,       57265.30,      224076.91,       15545.34,       29052.48,       36728.34,       87829.43,         713.24,              0,          50.86,           4.51,         652.20,              0,          56.02,           5.05,        5674.34,        2718.07,        7588.25,        1374.78,         632.95,        2908.90,         123.76,        3449.46,        4203.31,         180.95,          44.82,         330.24,         191.39,          92.22,         807.07,          66.67,          45.07,         167.29
        13,       45926.22,       48364.61,      202618.61,       13289.79,       19134.08,       27544.34,       67091.57,         710.30,              0,         124.68,           9.31,         447.29,              0,         146.09,           5.52,        5200.31,        2661.65,        6975.20,        1343.96,         548.62,        2743.84,         119.08,        3583.86,        4188.78,         195.60,          42.78,         321.70,         225.87,         100.84,         881.83,          78.78,          53.01,         195.11
        14,       45718.62,       42480.38,      176310.97,       10761.68,       12114.36,       21751.74,       54051.08,        1194.17,              0,          54.96,           4.85,         927.68,              0,          67.42,          15.34,        4867.55,        2333.41,        6252.43,        1262.67,         512.61,        2518.02,         106.68,        3355.33,        3816.23,         185.66,          37.95,         295.13,         211.00,          97.98,         844.76,          69.85,          47.41,         175.81
        15,       46107.80,       35934.29,      162517.50,        6483.27,       10750.98,       33761.67,       68848.31,        1147.08,              0,          64.93,           4.39,        1213.61,              0,          79.25,           8.44,        4251.21,        2227.59,        6106.78,        1163.47,         484.67,        2351.07,         110.43,        3484.12,        3459.32,         195.57,          43.33,         276.47,         217.06,          79.71,         713.89,          62.11,          42.43,         164.28
