TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    805045, 100.00, 100.00,         0, 100.00, 100.00,   3844981, 100.00, 100.00,   1749858, 100.00, 100.00,    250643, 100.00, 100.00,   6650526, 100.00, 100.00,
    2) Non-Motorized,     34009,   4.22,   4.22,         0,      0,      0,    303323,   7.89,   7.89,    144108,   8.24,   8.24,     41261,  16.46,  16.46,    522702,   7.86,   7.86,
    2) Motorized,    771036,  95.78,  95.78,         0,      0,      0,   3541658,  92.11,  92.11,   1605749,  91.76,  91.76,    209382,  83.54,  83.54,   6127825,  92.14,  92.14
        3) Auto,    755852,  93.89,  98.03,         0,      0,      0,   3520781,  91.57,  99.41,   1601072,  91.50,  99.71,-,-,-,   6087088,  91.53,  99.34,
            4) Auto 1 pers,    628514,  78.07,  83.15,         0,      0,      0,   1265014,  32.90,  35.93,    696201,  39.79,  43.48,-,-,-,   2589729,  38.94,  42.54,
                    GP use,    627648,  77.96,  99.86,         0,      0,      0,   1264985,  32.90, 100.00,    695234,  39.73,  99.86,-,-,-,   2587866,  38.91,  99.93,
                    Toll use,       908,   0.11,   0.14,         0,      0,      0,       502,   0.01,   0.04,      1154,   0.07,   0.17,-,-,-,      2563,   0.04,   0.10
            4) Auto 2 pers,     98117,  12.19,  12.98,         0,      0,      0,   1226386,  31.90,  34.83,    450729,  25.76,  28.15,-,-,-,   1775232,  26.69,  29.16,
                    GP use,     77261,   9.60,  78.74,         0,      0,      0,   1152907,  29.98,  94.01,    406998,  23.26,  90.30,-,-,-,   1637166,  24.62,  92.22,
                    HOV use,     20860,   2.59,  21.26,         0,      0,      0,     73542,   1.91,   6.00,     43759,   2.50,   9.71,-,-,-,    138161,   2.08,   7.78,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     29169,   3.62,   3.86,         0,      0,      0,   1028837,  26.76,  29.22,    453943,  25.94,  28.35,-,-,-,   1511949,  22.73,  24.84,
                    GP use,     22965,   2.85,  78.73,         0,      0,      0,    967160,  25.15,  94.01,    409883,  23.42,  90.29,-,-,-,   1400008,  21.05,  92.60,
