I,J,HBW,HBC,HBSch,HBO,NHB,IX,XI,XX,II_LT,II_MD,II_HV,Ext_MD,Ext_HV,TOT
    1,    1,  10840.80,         0,   8253.96,  59723.45,  24440.23,         0,         0,         0,  15773.26,   5594.56,   4179.57,         0,         0, 128805.83
    1,    2,     45.96,         0,         0,    390.87,    244.98,         0,         0,         0,    183.13,     50.40,     17.04,         0,         0,    932.38
    1,    3,         0,         0,         0,         0,         0,         0,         0,         0,      0.54,         0,         0,         0,         0,      0.54
    1,    4,   1968.62,         0,    580.53,   3937.42,   1529.69,         0,         0,         0,    444.89,    596.36,    530.33,         0,         0,   9587.84
    1,    5,   1247.48,    217.00,     40.41,   1514.15,    827.55,         0,         0,         0,    194.61,    395.85,    353.90,         0,         0,   4790.95
    1,    6,      0.02,         0,         0,      2.06,      0.15,         0,         0,         0,      4.94,      0.02,         0,         0,         0,      7.19
    1,    7,         0,         0,         0,      0.05,         0,         0,         0,         0,      0.05,         0,         0,         0,         0,      0.10
    1,    8,   1001.75,     24.00,     39.98,    887.58,    708.54,         0,         0,         0,    211.56,    132.74,     19.36,         0,         0,   3025.51
    1,    9,    223.10,         0,      3.64,    223.51,    150.32,         0,         0,         0,     69.34,     52.08,     10.16,         0,         0,    732.15
    1,   10,         0,         0,         0,      0.51,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,      0.52
    1,   11,     88.13,         0,         0,     70.93,     10.43,         0,         0,         0,     15.62,     28.56,     15.07,         0,         0,    228.74
    1,   12,    287.95,      9.00,      0.09,    461.84,     74.17,         0,         0,         0,     70.56,    118.01,     56.89,         0,         0,   1078.51
    1,   13,    110.15,      2.00,         0,    183.66,     40.11,         0,         0,         0,     21.84,     22.54,      5.87,         0,         0,    386.17
    1,   14,    269.50,      7.00,         0,    429.64,     97.58,         0,         0,         0,     50.98,     75.57,     21.33,         0,         0,    951.60
    1,   15,      4.18,         0,         0,      0.73,         0,         0,         0,         0,      0.35,      2.37,      3.74,         0,         0,     11.37
    1,   16,     44.83,         0,         0,     29.44,      5.15,         0,         0,         0,     12.33,     22.27,     18.73,         0,         0,    132.75
