Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
        10,       61662.71,        7105.42,       74697.73,        1085.73,        1846.61,       18170.62,       25048.76,        1221.28,              0,         207.21,          96.78,        5437.04,              0,         232.31,         119.55,        1975.55,        1239.72,        3834.83,         884.13,         295.26,        1516.78,          88.14,        3078.63,        2025.01,         169.05,          17.54,         144.47,         178.41,          40.28,         233.04,          27.39,          18.18,          61.14
        11,       55253.03,        5003.90,       62263.37,         829.72,        1371.68,       15439.98,       20290.52,        1315.04,              0,         274.56,          95.59,        5303.15,              0,         276.21,         118.36,        1533.96,        1009.76,        3283.15,         767.31,         251.73,        1287.44,          75.91,        2634.00,        1752.94,         148.93,          15.44,         127.74,         165.01,          31.56,         191.11,          19.24,          12.74,          45.20
        12,       49006.67,        3707.11,       51705.38,         676.96,        1171.13,       13727.48,       17383.02,        2024.34,              0,         293.74,         203.14,        6145.56,              0,         312.68,         234.48,        1218.81,         884.26,        2927.24,         697.46,         237.11,        1146.36,          75.15,        2397.63,        1569.81,         141.71,          12.86,         112.62,         145.67,          26.62,         149.79,          17.36,          11.49,          39.77
        13,       43719.33,        2967.56,       44623.02,         548.22,         905.93,       11976.32,       14842.74,        1943.34,              0,         370.62,         357.43,        6974.62,              0,         378.05,         366.26,         991.63,         768.17,        2645.02,         641.15,         222.50,        1030.93,          67.36,        2016.73,        1489.25,         126.28,          10.42,         103.91,         125.81,          23.79,         123.00,          15.96,          10.60,          34.45
        14,       40901.65,        2564.51,       38637.10,         434.39,         784.64,       10770.82,       12859.29,        2201.39,              0,         244.10,         195.62,        6074.72,              0,         266.71,         228.43,         784.17,         667.53,        2397.81,         578.40,         194.27,         917.73,          60.58,        1760.03,        1334.00,         118.19,           7.28,          85.90,         107.47,          19.34,          97.40,          13.43,           8.76,          28.49
        15,       36183.52,        2196.19,       32920.18,         361.19,         661.96,        9811.82,       11341.52,        2216.85,              0,         303.93,         254.69,        7201.19,              0,         335.12,         280.45,         616.57,         604.00,        2241.69,         551.93,         194.37,         853.32,          56.32,        1613.43,        1298.56,         114.43,           8.52,          84.89,         100.08,          19.21,          93.80,          14.18,           8.54,          26.71
        16,       32613.95,        1734.87,       29501.10,         306.33,         662.92,        8487.61,        9622.51,        2368.21,              0,         267.30,         224.86,        7222.94,              0,         319.95,         269.25,         471.15,         528.89,        2028.28,         504.48,         172.29,         764.34,          51.81,        1392.75,        1184.50,         103.81,           7.51,          75.20,          88.44,          18.25,          86.75,          13.85,           7.95,          25.94
        17,       28820.28,        1409.96,       25283.32,         269.70,         602.09,        7520.83,        8208.49,        2563.57,              0,         311.16,         267.06,        7243.56,              0,         360.08,         323.66,         376.04,         463.85,        1840.95,         453.34,         148.73,         681.63,          43.61,        1126.47,        1102.23,          87.78,           6.17,          66.05,          75.12,          17.94,          75.87,          14.17,           8.40,          23.44
        18,       26178.94,        1291.54,       22607.85,         225.47,         542.00,        7110.34,        7501.84,        2424.37,              0,         291.22,         205.59,        6101.02,              0,         316.32,         247.38,         235.53,         428.56,        1731.96,         420.44,         145.60,         626.62,          38.11,        1013.31,        1040.42,          81.78,           6.11,          59.27,          62.57,          15.77,          68.79,          12.68,           6.83,          21.10
        19,       22975.42,        1076.43,       19732.32,         196.82,         474.55,        6374.39,        6614.82,        2953.90,              0,         303.17,         254.01,        7430.03,              0,         362.70,         310.90,         191.78,         391.27,        1605.94,         392.68,         130.04,         571.63,          34.82,         917.20,        1010.13,          72.07,           6.25,          60.14,          50.91,          15.69,          66.08,          12.39,           6.65,          19.79
        20,       20574.37,        1032.64,       17382.62,         166.43,         484.53,        5976.89,        6028.27,        3054.05,              0,         328.97,         377.57,        6594.00,              0,         373.63,         437.65,         104.83,         368.39,        1533.75,         381.73,         123.81,         535.68,          29.84,         827.29,         970.13,          63.68,           5.71,          55.66,          47.73,          15.09,          62.81,          12.88,           6.10,          19.68
        21,       18419.11,         910.91,       15728.39,         150.70,         388.39,        5151.76,        5304.67,        3373.10,              0,         240.24,         279.80,        4270.39,              0,         327.77,         371.73,          70.82,         335.87,        1415.88,         357.39,         108.67,         487.35,          26.11,         658.67,         890.43,          53.64,           4.66,          49.26,          44.23,          15.81,          65.62,          14.46,           6.56,          21.44
