TAZID,CO_TAZID,CO_FIPS,SUBAREAID,AREATYPE,TOTAL_P,TOTAL_A,TOTPER_P,TOTPER_A,TOTEXT_P,TOTEXT_A,HBW_P,HBW_A,HBSHP_P,HBSHP_A,HBOTH_P,HBOTH_A,HBSCHPR_P,HBSCHPR_A,HBSCHSC_P,HBSCHSC_A,NHBW_P,NHBW_A,NHBNW_P,NHBNW_A,HBC_P,HBC_A,TTUNIQUE_P,TTUNIQUE_A,IX_P,IX_A,XI_P,XI_A
1,30001,3,1,1,78.7,81.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,30002,3,1,1,214.1,152.2,126.4,57.8,5.8,10.4,20.5,0.1,13.1,0.0,73.5,49.5,5.3,0.0,5.4,0.0,2.0,2.0,6.5,6.1,0.0,0.0,0.0,0.0,5.8,0.0,0.0,10.4
3,30003,3,1,1,282.0,166.0,204.2,85.8,12.6,16.7,30.8,0.0,21.3,0.0,119.7,72.6,9.3,0.0,9.4,0.0,3.3,3.3,10.5,9.9,0.0,0.0,0.0,0.0,12.6,0.0,0.0,16.7
4,30004,3,1,1,67.5,63.2,6.9,3.2,0.6,0.7,1.1,0.0,0.8,0.0,4.2,2.9,0.3,0.0,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.7
5,30005,3,1,1,743.1,393.2,614.9,254.0,27.3,48.5,95.8,4.8,61.5,0.0,350.5,210.2,31.0,0.0,31.6,0.0,11.5,10.7,29.8,28.2,3.0,0.0,0.0,0.0,27.3,0.0,0.0,48.5
6,30006,3,1,1,98.7,104.1,25.7,28.6,1.8,6.0,3.4,8.5,2.6,0.0,14.8,17.7,1.2,0.0,1.3,0.0,1.2,1.2,1.1,1.2,0.0,0.0,0.0,0.0,1.8,0.0,0.0,6.0
7,30007,3,1,1,496.4,400.4,351.0,238.1,21.7,46.6,50.6,35.6,34.9,8.4,196.4,158.8,15.6,0.0,15.8,0.0,12.6,12.1,25.0,23.2,0.0,0.0,0.0,0.0,21.7,0.0,0.0,46.6
8,30008,3,1,2,746.3,557.3,593.3,377.2,44.4,81.2,73.8,40.8,47.8,69.9,274.8,172.9,24.6,0.0,25.1,0.0,21.2,19.8,77.0,73.7,48.0,0.0,1.0,0.0,44.4,0.0,0.0,81.2
9,30009,3,1,1,411.6,559.9,142.2,273.5,25.9,49.2,19.0,98.7,13.1,0.0,74.5,151.8,5.7,0.0,5.9,0.0,16.7,15.8,7.4,7.2,0.0,0.0,0.0,0.0,25.9,0.0,0.0,49.2
10,30010,3,1,1,489.7,608.5,204.0,309.4,30.9,55.9,27.8,102.8,19.5,0.0,109.8,179.0,8.4,0.0,8.6,0.0,18.5,17.5,10.4,10.1,0.0,0.0,1.0,0.0,30.9,0.0,0.0,55.9
