I,J,TOT,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,HBC,NHBW,NHBNW,IX,XI,XX,II_LT,II_MD,II_HV,Ext_MD,Ext_HV,HBSch,HBO,NHB,TTUNIQUE,HBOthnTT,Tot_HBW,Tel_HBW,Tot_NHBW,Tel_NHBW,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk,IX_MD,XI_MD,XX_MD,IX_HV,XI_HV,XX_HV
         1,         1,   129032.33,    11070.49,     9722.79,    50000.66,     4142.11,     4111.85,           0,     7229.13,    17211.10,           0,           0,           0,    15773.26,     5594.56,     4179.57,           0,           0,     8253.95,    59723.06,    24440.25,           0,    50000.66,    12295.91,     1227.27,     7702.04,      472.76,    12669.33,      589.69,     1500.43,      278.41,      114.32,      621.14,       57.88,      748.72,     4252.39,      123.38,       83.29,      328.83,      471.10,      343.90,     2383.94,      204.70,      146.36,      629.76,           0,           0,           0,           0,           0,           0
         1,         2,      955.44,       69.35,        5.27,      385.60,           0,           0,           0,       83.73,      161.25,           0,           0,           0,      183.13,       50.40,       17.04,           0,           0,           0,      390.84,      244.91,           0,      385.60,       76.61,        7.34,       87.14,        3.40,      144.26,        7.23,       20.70,        2.65,        0.84,        7.46,        0.13,        2.97,       44.39,        0.69,        0.41,        1.82,        2.25,        1.13,       10.48,        0.66,        0.28,        2.24,           0,           0,           0,           0,           0,           0
         1,         3,        0.54,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.54,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.54,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         4,     9474.68,     1856.24,      443.66,     3493.76,      240.04,      340.49,           0,      638.57,      891.12,           0,           0,           0,      444.89,      596.36,      530.33,           0,           0,      580.53,     3937.40,     1529.59,           0,     3493.76,     2069.55,      213.24,      669.15,       30.17,      145.37,       41.86,      166.68,       29.21,        7.85,       53.92,        2.99,       75.21,      461.64,       18.19,       11.19,       27.14,       82.63,       63.21,      210.09,       57.26,       31.60,       85.55,           0,           0,           0,           0,           0,           0
         1,         5,     4777.43,     1236.72,       85.77,     1428.38,       14.74,       25.67,      217.00,      415.74,      411.81,           0,           0,           0,      194.61,      395.85,      353.90,           0,           0,       40.41,     1514.02,      827.09,           0,     1428.38,     1395.51,      160.20,      442.66,       26.90,       10.56,       24.83,      100.77,       21.99,        6.75,       29.71,        3.43,       52.57,      298.42,       13.02,        8.69,       19.73,       47.77,       38.23,      170.16,       31.41,       14.74,       51.59,           0,           0,           0,           0,           0,           0
         1,         6,        7.24,        0.07,           0,        2.06,           0,           0,           0,        0.04,        0.11,           0,           0,           0,        4.94,        0.02,           0,           0,           0,           0,        2.06,        0.15,           0,        2.06,        0.07,           0,        0.04,           0,        4.94,           0,           0,           0,           0,           0,           0,           0,        0.02,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         7,        0.11,        0.01,           0,        0.05,           0,           0,           0,           0,           0,           0,           0,           0,        0.05,           0,           0,           0,           0,           0,        0.05,           0,           0,        0.05,        0.01,           0,           0,           0,        0.05,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         8,     2932.29,      909.91,       13.30,      874.28,       12.93,       27.05,       24.00,      380.01,      328.53,           0,           0,           0,      211.56,      132.74,       19.36,           0,           0,       39.97,      887.58,      708.29,           0,      874.28,     1050.42,      141.60,      405.58,       25.95,        1.55,       26.68,      116.90,       24.25,        7.36,       34.81,        0.18,       11.43,      103.24,        1.87,        2.16,       13.86,        5.02,        1.49,        9.31,        1.39,        0.54,        1.61,           0,           0,           0,           0,           0,           0
         1,         9,      671.94,      162.99,       13.82,      209.69,        1.76,        1.88,           0,       76.51,       73.81,           0,           0,           0,       69.34,       52.08,       10.16,           0,           0,        3.64,      223.51,      150.29,           0,      209.69,      184.13,       20.57,       78.74,        2.27,           0,        6.88,       39.60,       10.51,        2.96,        9.37,        0.02,        3.97,       39.76,        0.25,        1.05,        7.03,        0.77,        0.65,        7.09,        0.49,        0.25,        0.91,           0,           0,           0,           0,           0,           0
         1,        10,        0.52,           0,           0,        0.51,           0,           0,           0,           0,        0.01,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.51,        0.01,           0,        0.51,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,        11,      229.66,       89.19,        5.39,       65.54,           0,           0,           0,        8.00,        2.43,           0,           0,           0,       15.62,       28.56,       15.07,           0,           0,           0,       70.94,       10.42,           0,       65.54,       99.57,       10.12,        8.31,        0.33,           0,        0.96,        7.74,        3.08,        1.03,        2.82,           0,       17.49,        8.47,        2.27,        0.14,        0.22,           0,        1.66,        6.37,        1.33,        2.06,        3.65,           0,           0,           0,           0,           0,           0
         1,        12,     1075.44,      285.20,        9.03,      452.81,        0.09,           0,        9.00,       48.61,       25.56,           0,           0,           0,       70.56,      118.01,       56.89,           0,           0,        0.09,      461.84,       74.08,      168.00,      284.81,      319.32,       33.21,       49.63,        1.01,           0,        4.01,       36.31,       13.41,        4.80,       12.10,        0.03,       72.65,       36.07,        8.32,        0.43,        0.56,           0,        6.07,       28.52,        4.20,        6.12,       11.98,           0,           0,           0,           0,           0,           0
         1,        13,      397.96,      122.04,        9.92,      173.74,           0,           0,        2.00,       21.96,       18.15,           0,           0,           0,       21.84,       22.54,        5.87,           0,           0,           0,      183.66,       40.09,           0,      173.74,      143.70,       21.30,       22.18,        0.23,           0,        0.84,       13.09,        4.09,        1.33,        2.49,           0,       13.97,        7.43,        1.11,           0,        0.03,           0,        0.18,        4.51,        0.12,        0.14,        0.92,           0,           0,           0,           0,           0,           0
         1,        14,     1010.14,      328.57,       12.50,      417.14,           0,           0,        7.00,       62.41,       35.17,           0,           0,           0,       50.98,       75.57,       21.33,           0,           0,           0,      429.65,       97.21,           0,      417.14,      363.58,       34.31,       65.54,        3.40,           0,        4.75,       28.96,        9.39,        1.32,        6.65,        0.01,       50.19,       23.05,        2.02,        0.03,        0.29,           0,        1.25,       16.01,        0.39,        0.57,        3.11,           0,           0,           0,           0,           0,           0
         1,        15,       10.25,        3.06,           0,        0.73,           0,           0,           0,           0,           0,           0,           0,           0,        0.35,        2.37,        3.74,           0,           0,           0,        0.73,           0,           0,        0.73,        3.10,        0.05,           0,           0,           0,           0,        0.13,        0.17,        0.01,        0.04,           0,        1.94,        0.37,        0.06,           0,           0,           0,        0.12,        1.42,        0.13,        0.34,        1.73,           0,           0,           0,           0,           0,           0
         1,        16,      132.04,       44.32,        1.42,       28.02,           0,           0,           0,        4.10,        1.05,           0,           0,           0,       12.33,       22.27,       18.73,           0,           0,           0,       29.43,        5.14,           0,       28.02,       47.59,        3.19,        4.12,        0.02,           0,           0,        7.08,        3.69,        0.47,        1.10,           0,       16.09,        5.57,        0.65,           0,        0.01,           0,        0.80,       11.29,        0.73,        1.58,        4.33,           0,           0,           0,           0,           0,           0
         1,        17,      130.77,       43.12,        1.71,       37.05,           0,           0,           0,        4.48,        1.12,           0,           0,           0,       12.68,       18.97,       11.79,           0,           0,           0,       38.75,        5.59,           0,       37.05,       46.88,        3.85,        4.48,           0,           0,           0,        7.72,        3.66,        0.29,        1.01,           0,       13.21,        5.24,        0.51,           0,        0.01,           0,        0.33,        8.22,        0.24,        0.57,        2.43,           0,           0,           0,           0,           0,           0
         1,        18,        0.30,        0.18,           0,        0.06,           0,           0,           0,           0,           0,           0,           0,           0,        0.06,           0,           0,           0,           0,           0,        0.06,           0,           0,        0.06,        0.18,           0,           0,           0,           0,           0,           0,        0.06,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,        19,        0.14,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.14,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.07,        0.07,           0,           0,           0,           0,           0,           0,           0
         1,        20,       17.87,        3.03,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.27,        3.54,       11.03,           0,           0,           0,           0,           0,           0,           0,        3.26,        0.27,           0,           0,           0,           0,           0,        0.27,           0,           0,           0,           0,        3.54,           0,           0,           0,           0,        0.30,        3.10,        1.55,        2.32,        3.76,           0,           0,           0,           0,           0,           0
         1,        21,        7.91,        0.03,           0,           0,           0,           0,        5.00,           0,           0,           0,           0,           0,           0,           0,        2.88,           0,           0,           0,           0,           0,           0,           0,        0.03,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.14,        0.94,        1.32,        0.48,           0,           0,           0,           0,           0,           0
         1,        22,        1.41,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        1.41,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.65,        0.76,           0,           0,           0,           0,           0,           0,           0
         1,        23,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,        24,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,        25,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,        26,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,        27,     9499.25,           0,           0,           0,           0,           0,           0,           0,           0,     8736.10,           0,           0,           0,           0,           0,      526.67,      236.69,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,      526.67,           0,           0,      236.69,           0,           0
         2,         1,     3541.15,      529.41,      410.75,     1359.87,      273.27,      342.76,           0,       74.38,      172.76,           0,           0,           0,      310.93,       49.46,       17.78,           0,           0,      616.02,     1770.62,      247.11,           0,     1359.87,      587.01,       57.67,       79.02,        4.68,      276.14,        6.39,       18.53,        2.50,        0.76,        6.61,        0.09,        2.47,       44.07,        0.66,        0.41,        1.76,        2.27,        1.16,       10.99,        0.69,        0.29,        2.38,           0,           0,           0,           0,           0,           0
         2,         2,     2914.62,       61.90,      161.53,     1518.96,           0,           0,           0,       68.22,      263.09,           0,           0,           0,      808.92,       27.87,        4.14,           0,           0,           0,     1680.48,      331.31,           0,     1518.96,       68.77,        6.88,       71.15,        2.93,      790.87,        3.76,        9.41,        0.74,        0.26,        3.89,        0.03,        0.46,       26.59,        0.09,        0.09,        0.61,        0.12,        0.25,        3.29,        0.06,        0.03,        0.39,           0,           0,           0,           0,           0,           0
         2,         3,        0.04,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.04,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.04,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         2,         4,      550.53,      132.02,        5.38,      212.96,       38.22,        9.90,           0,       30.47,       38.04,           0,           0,           0,       52.10,       22.77,        8.76,           0,           0,       48.13,      218.34,       68.50,           0,      212.96,      147.39,       15.44,       32.28,        1.78,       36.28,        2.45,        8.52,        1.55,        0.30,        3.00,        0.02,        1.17,       20.25,        0.33,        0.26,        0.74,        1.21,        1.07,        3.71,        0.79,        0.44,        1.54,           0,           0,           0,           0,           0,           0
         2,         5,      346.09,       92.40,        6.74,      147.64,       13.29,        2.69,           0,       21.03,       23.41,           0,           0,           0,       15.85,       16.38,        6.86,           0,           0,       15.98,      154.38,       44.40,           0,      147.64,      104.65,       12.34,       22.63,        1.61,        4.60,        1.82,        5.77,        1.21,        0.30,        2.15,        0.03,        1.03,       14.23,        0.23,        0.22,        0.64,        0.76,        0.58,        3.92,        0.37,        0.16,        1.07,           0,           0,           0,           0,           0,           0
         2,         6,        1.53,        0.01,           0,        0.28,           0,           0,           0,        0.01,        0.01,           0,           0,           0,        1.22,           0,           0,           0,           0,           0,        0.28,        0.02,           0,        0.28,        0.01,           0,        0.01,           0,        1.22,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         2,         7,        0.03,        0.01,           0,        0.02,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.02,           0,           0,        0.02,        0.01,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
