TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    891060, 100.00, 100.00,    112528, 100.00, 100.00,   1952128, 100.00, 100.00,    862590, 100.00, 100.00,    445449, 100.00, 100.00,   4263755, 100.00, 100.00,
    2) Non-Motorized,     29195,   3.28,   3.28,     26826,  23.84,  23.84,    156804,   8.03,   8.03,     57883,   6.71,   6.71,     73562,  16.51,  16.51,    344270,   8.07,   8.07,
    2) Motorized,    861865,  96.72,  96.72,     85702,  76.16,  76.16,   1795324,  91.97,  91.97,    804707,  93.29,  93.29,    371887,  83.49,  83.49,   3919485,  91.93,  91.93
        3) Auto,    840937,  94.37,  97.57,     66970,  59.51,  78.14,   1786546,  91.52,  99.51,    802961,  93.09,  99.78,-,-,-,   3869301,  90.75,  98.72,
            4) Auto 1 pers,    722744,  81.11,  85.95,     48214,  42.85,  71.99,    575778,  29.49,  32.23,    363655,  42.16,  45.29,-,-,-,   1710391,  40.11,  44.20,
                    GP use,    721692,  80.99,  99.85,     48156,  42.79,  99.88,    575870,  29.50, 100.02,    363477,  42.14,  99.95,-,-,-,   1709195,  40.09,  99.93,
                    Toll use,      1114,   0.13,   0.15,        58,   0.05,   0.12,       215,   0.01,   0.04,       302,   0.03,   0.08,-,-,-,      1688,   0.04,   0.10
            4) Auto 2 pers,     88326,   9.91,  10.50,     13767,  12.23,  20.56,    596968,  30.58,  33.41,    211232,  24.49,  26.31,-,-,-,    910293,  21.35,  23.53,
                    GP use,     66257,   7.44,  75.01,     10452,   9.29,  75.92,    560388,  28.71,  93.87,    189777,  22.00,  89.84,-,-,-,    826873,  19.39,  90.84,
                    HOV use,     22082,   2.48,  25.00,      3316,   2.95,  24.08,     36617,   1.88,   6.13,     21473,   2.49,  10.17,-,-,-,     83488,   1.96,   9.17,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
