TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    804511, 100.00, 100.00,         0, 100.00, 100.00,   3844991, 100.00, 100.00,   1749842, 100.00, 100.00,    250639, 100.00, 100.00,   6649983, 100.00, 100.00,
    2) Non-Motorized,     34009,   4.23,   4.23,         0,      0,      0,    303252,   7.89,   7.89,    144047,   8.23,   8.23,     41256,  16.46,  16.46,    522564,   7.86,   7.86,
    2) Motorized,    770502,  95.77,  95.77,         0,      0,      0,   3541740,  92.11,  92.11,   1605795,  91.77,  91.77,    209382,  83.54,  83.54,   6127419,  92.14,  92.14
        3) Auto,    755341,  93.89,  98.03,         0,      0,      0,   3520863,  91.57,  99.41,   1601120,  91.50,  99.71,-,-,-,   6086706,  91.53,  99.34,
            4) Auto 1 pers,    628125,  78.08,  83.16,         0,      0,      0,   1265116,  32.90,  35.93,    696319,  39.79,  43.49,-,-,-,   2589560,  38.94,  42.54,
                    GP use,    627241,  77.97,  99.86,         0,      0,      0,   1265052,  32.90,  99.99,    695341,  39.74,  99.86,-,-,-,   2587633,  38.91,  99.93,
                    Toll use,       926,   0.12,   0.15,         0,      0,      0,       537,   0.01,   0.04,      1166,   0.07,   0.17,-,-,-,      2628,   0.04,   0.10
            4) Auto 2 pers,     98021,  12.18,  12.98,         0,      0,      0,   1226374,  31.90,  34.83,    450693,  25.76,  28.15,-,-,-,   1775088,  26.69,  29.16,
                    GP use,     77237,   9.60,  78.80,         0,      0,      0,   1152981,  29.99,  94.02,    407115,  23.27,  90.33,-,-,-,   1637334,  24.62,  92.24,
                    HOV use,     20788,   2.58,  21.21,         0,      0,      0,     73456,   1.91,   5.99,     43607,   2.49,   9.68,-,-,-,    137851,   2.07,   7.77,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     29140,   3.62,   3.86,         0,      0,      0,   1028829,  26.76,  29.22,    453908,  25.94,  28.35,-,-,-,   1511877,  22.74,  24.84,
                    GP use,     22958,   2.85,  78.79,         0,      0,      0,    967221,  25.16,  94.01,    409999,  23.43,  90.33,-,-,-,   1400178,  21.06,  92.61,
                    HOV use,      6183,   0.77,  21.22,         0,      0,      0,     61618,   1.60,   5.99,     43915,   2.51,   9.67,-,-,-,    111716,   1.68,   7.39,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) IMZ Door-to-Door (D2D),        53,   0.01,   0.01,         0,      0,      0,       548,   0.01,   0.02,       220,   0.01,   0.01,-,-,-,       821,   0.01,   0.01,
                    IMZ D2D 1 pers,        45,   0.01,  84.91,         0,      0,      0,       468,   0.01,  85.40,       187,   0.01,  85.00,-,-,-,       700,   0.01,  85.26,
                    IMZ D2D 2 pers,         6,   0.00,  11.32,         0,      0,      0,        63,   0.00,  11.50,        26,   0.00,  11.82,-,-,-,        95,   0.00,  11.57,
                    IMZ D2D 3+ pers,         2,   0.00,   3.77,         0,      0,      0,        17,   0.00,   3.10,         7,   0.00,   3.18,-,-,-,        26,   0.00,   3.17
            4) School Trips,-,-,-,-,-,-,-,-,-,-,-,-,    209382,  83.54,  83.54,    209382,   3.15,  83.54,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     28250,  11.27,  13.49,     28250,   0.42,  13.49,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     30637,  12.22,  14.63,     30637,   0.46,  14.63,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    150495,  60.04,  71.88,    150495,   2.26,  71.88,
                    K-6,-,-,-,-,-,-,-,-,-,-,-,-,     96711,  38.59,  46.19,     96711,   1.45,  46.19,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     10723,   4.28,  11.09,     10723,   0.16,  11.09,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,         0,      0,      0,         0,      0,      0,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,     85988,  34.31,  88.91,     85988,   1.29,  88.91,
                    7-12,-,-,-,-,-,-,-,-,-,-,-,-,    112671,  44.95,  53.81,    112671,   1.69,  53.81,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     17527,   6.99,  15.56,     17527,   0.26,  15.56,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     30637,  12.22,  27.19,     30637,   0.46,  27.19,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,     64507,  25.74,  57.25,     64507,   0.97,  57.25
        3) Transit,     15164,   1.88,   1.97,         0,      0,      0,     20880,   0.54,   0.59,      4675,   0.27,   0.29,-,-,-,     40718,   0.61,   0.66
            4) Local Bus (LCL),      6057,   0.75,  39.94,         0,      0,      0,      8861,   0.23,  42.44,      1599,   0.09,  34.19,-,-,-,     16516,   0.25,  40.56,
                    LCL Walk,      5765,   0.72,  95.17,         0,      0,   0.00,      8563,   0.22,  96.64,      1587,   0.09,  99.26,-,-,-,     15914,   0.24,  96.35,
                    LCL Drive,       292,   0.04,   4.83,         0,      0,   0.00,       298,   0.01,   3.36,        12,   0.00,   0.74,-,-,-,       602,   0.01,   3.65
            4) Core Bus (COR),         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0,
                    COR Walk,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00,
                    COR Drive,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00
            4) Bus-Rapid Transit (BRT),       615,   0.08,   4.06,         0,      0,      0,      1517,   0.04,   7.26,       682,   0.04,  14.58,-,-,-,      2813,   0.04,   6.91,
                    BRT Walk,       598,   0.07,  97.22,         0,      0,   0.00,      1504,   0.04,  99.19,       669,   0.04,  98.13,-,-,-,      2771,   0.04,  98.51,
                    BRT Drive,        17,   0.00,   2.78,         0,      0,   0.00,        12,   0.00,   0.81,        13,   0.00,   1.87,-,-,-,        42,   0.00,   1.49
            4) Express Bus (EXP),         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0,
                    EXP Walk,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00,
                    EXP Drive,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00
            4) Light-Rail Transit (LRT),      6241,   0.78,  41.16,         0,      0,      0,      8209,   0.21,  39.32,      2090,   0.12,  44.71,-,-,-,     16541,   0.25,  40.62,
                    LRT Walk,      5044,   0.63,  80.81,         0,      0,   0.00,      7479,   0.19,  91.11,      1999,   0.11,  95.62,-,-,-,     14522,   0.22,  87.79,
                    LRT Drive,      1197,   0.15,  19.19,         0,      0,   0.00,       730,   0.02,   8.89,        92,   0.01,   4.38,-,-,-,      2019,   0.03,  12.21
            4) Commuter-Rail Transit (CRT),      2236,   0.28,  14.74,         0,      0,      0,      2271,   0.06,  10.88,       295,   0.02,   6.32,-,-,-,      4802,   0.07,  11.79,
                    CRT Walk,       870,   0.11,  38.91,         0,      0,   0.00,      1106,   0.03,  48.68,       197,   0.01,  66.74,-,-,-,      2173,   0.03,  45.24,
                    CRT Drive,      1366,   0.17,  61.09,         0,      0,   0.00,      1166,   0.03,  51.32,        98,   0.01,  33.26,-,-,-,      2630,   0.04,  54.76,
  
   Model: v10x,
   Scenario: C55,
   RunYear: 2023,
   Socio-Economic year modeled:         2023,
   Network infrastructure year modeled: 2023,
   Period the results apply to:  Off-Peak Period,
   Shares\RegionShares_Ok.csv,
   For this run Mode Choice was run in its regular form (i.e. not bypassed with approximation).,
   NOTE:  Indentations correspond with each level in the nested Logit choice model.
