Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,       89916.46,      120380.91,      774952.35,      112142.51,       48643.11,      151207.24,      397484.05,              0,              0,              0,              0,           0.24,              0,              0,              0,      250598.51,        9200.29,       21431.94,        4343.89,        2515.78,       10010.36,         865.06,       14419.11,       19242.39,         753.06,         247.12,        1637.67,        1381.53,         799.46,        6229.55,         351.61,         323.36,        1436.32
         1,      149067.10,      225721.06,     1088464.23,      118476.51,       89564.06,      133909.66,      370319.08,           1.10,              0,           0.27,           0.08,          37.10,              0,           0.47,           0.41,       50185.77,        9616.62,       24268.84,        4260.11,        1994.38,        9933.53,         454.73,       12026.20,       16637.56,         606.19,         161.03,        1237.74,         668.67,         578.00,        3628.10,         272.96,         194.82,         822.72
         2,      137680.93,      178303.76,      765559.85,       46318.72,       82353.38,      102547.55,      256783.76,           8.32,              0,           4.58,           2.71,         148.44,              0,           4.35,           3.50,       16850.81,        7557.95,       20058.88,        3575.38,        1604.80,        7976.38,         365.07,       10597.33,       12221.82,         589.59,         128.85,         903.76,         688.52,         356.08,        2990.89,         253.61,         172.39,         646.83
         3,      122908.35,      120500.90,      531394.35,       32699.85,       52334.86,       71642.74,      167518.12,         357.81,              0,          19.96,           2.73,         528.93,              0,          35.82,           6.15,       12535.59,        6133.31,       16783.37,        3153.93,        1316.96,        6602.82,         313.01,        9654.69,        9456.26,         556.78,         108.11,         700.32,         706.51,         271.75,        2400.85,         207.74,         141.93,         531.99
         4,      111131.52,       77415.80,      364886.87,       12991.13,       27229.29,       56109.66,      117541.69,        1122.66,              0,         114.92,          11.78,        1123.00,              0,         145.51,          15.71,        9862.54,        4756.67,       13179.59,        2652.09,        1032.46,        5238.68,         240.11,        8285.36,        7348.10,         484.07,          86.77,         555.37,         623.53,         203.00,        1819.23,         151.52,         105.22,         403.56
         5,      101305.51,       48453.97,      261472.59,        6460.12,       17842.80,       44456.04,       85051.74,        1655.65,              0,         192.42,          13.38,        2059.06,              0,         212.88,          19.73,        7495.52,        3623.61,       10268.44,        2121.92,         782.79,        4065.39,         181.84,        7116.47,        5531.50,         412.08,          58.55,         397.01,         523.32,         155.55,        1338.50,         108.27,          75.19,         289.88
         6,       94563.73,       30312.11,      194222.34,        4016.44,       10075.23,       33892.54,       60555.99,        2130.37,              0,         110.98,          23.26,        2486.80,              0,         122.76,          26.01,        5646.59,        2774.42,        7976.63,        1684.87,         591.68,        3160.88,         143.66,        5712.69,        4001.79,         320.38,          36.77,         269.69,         415.73,          98.11,         885.94,          60.78,          41.75,         181.06
         7,       86509.00,       20746.26,      147994.41,        2764.42,        6475.97,       28482.03,       47153.68,        3221.96,              0,         166.06,          28.25,        6263.96,              0,         213.74,          41.95,        4401.63,        2217.88,        6426.15,        1409.63,         490.46,        2571.57,         126.73,        5025.66,        3145.83,         287.01,          30.51,         208.70,         393.68,          88.08,         716.63,          54.71,          37.70,         156.29
         8,       76635.01,       14390.12,      114334.45,        1973.54,        4168.45,       23727.06,       37781.78,        1984.57,              0,         188.84,          42.39,        8347.97,              0,         259.63,          66.95,        3386.68,        1781.15,        5316.80,        1195.86,         407.55,        2113.87,         105.32,        4225.91,        2483.30,         236.20,          19.88,         162.49,         330.82,          64.32,         500.47,          40.13,          26.51,         107.84
         9,       68245.21,       10372.21,       94078.32,        1414.55,        2663.77,       20619.51,       30495.97,        1450.32,              0,         154.18,          56.71,        7072.36,              0,         184.89,          71.66,        2602.41,        1487.06,        4545.67,        1046.95,         368.80,        1817.47,         101.43,        3644.97,        2064.77,         208.38,          15.20,         133.34,         271.94,          53.79,         406.16,          32.72,          22.47,          83.91
