TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    890126, 100.00, 100.00,    112528, 100.00, 100.00,   1952079, 100.00, 100.00,    862550, 100.00, 100.00,    445431, 100.00, 100.00,   4262715, 100.00, 100.00,
    2) Non-Motorized,     29126,   3.27,   3.27,     26960,  23.96,  23.96,    156382,   8.01,   8.01,     57691,   6.69,   6.69,     73487,  16.50,  16.50,    343646,   8.06,   8.06,
    2) Motorized,    861000,  96.73,  96.73,     85569,  76.04,  76.04,   1795697,  91.99,  91.99,    804859,  93.31,  93.31,    371944,  83.50,  83.50,   3919069,  91.94,  91.94
        3) Auto,    840171,  94.39,  97.58,     67064,  59.60,  78.37,   1786931,  91.54,  99.51,    803118,  93.11,  99.78,-,-,-,   3869228,  90.77,  98.73,
            4) Auto 1 pers,    722163,  81.13,  85.95,     48271,  42.90,  71.98,    575942,  29.50,  32.23,    363755,  42.17,  45.29,-,-,-,   1710130,  40.12,  44.20,
                    GP use,    721092,  81.01,  99.85,     48213,  42.85,  99.88,    576030,  29.51, 100.02,    363577,  42.15,  99.95,-,-,-,   1708913,  40.09,  99.93,
                    Toll use,      1132,   0.13,   0.16,        57,   0.05,   0.12,       217,   0.01,   0.04,       300,   0.03,   0.08,-,-,-,      1706,   0.04,   0.10
            4) Auto 2 pers,     88187,   9.91,  10.50,     13795,  12.26,  20.57,    597076,  30.59,  33.41,    211260,  24.49,  26.30,-,-,-,    910318,  21.36,  23.53,
                    GP use,     66222,   7.44,  75.09,     10448,   9.29,  75.74,    560515,  28.71,  93.88,    189813,  22.01,  89.85,-,-,-,    826998,  19.40,  90.85,
                    HOV use,     21978,   2.47,  24.92,      3347,   2.97,  24.26,     36599,   1.87,   6.13,     21467,   2.49,  10.16,-,-,-,     83390,   1.96,   9.16,
