Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.25,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,       11118.68,        6445.92,       94099.00,       18374.90,        6146.10,       27464.40,       45844.04,              0,              0,              0,              0,           0.01,              0,              0,              0,      118910.77,        1775.93,        3813.22,         897.80,         452.94,        2077.87,         163.79,        2208.44,        5059.38,         165.16,          92.25,         482.06,         398.34,         131.98,        2275.69,         125.28,         119.65,         475.50
         3,       15854.30,       16130.14,      204341.73,       30352.19,       11990.58,       19524.19,       47643.44,           0.53,              0,           0.16,           0.03,          23.82,              0,           0.22,           0.02,       78541.41,        1892.45,        4615.13,         892.44,         460.99,        2422.14,         170.69,        3251.95,        2917.00,         190.36,          48.77,         264.64,         482.74,         204.87,         919.21,         111.91,         108.61,         422.47
         4,       38098.41,       56834.07,      420885.09,       69170.83,       33452.28,       41410.65,      144016.35,           1.60,              0,           0.21,           0.04,          66.78,              0,           0.54,           0.35,       84180.50,        3568.36,        8383.86,        1607.19,         721.77,        3774.07,         309.13,        3537.46,        6365.70,         136.64,          51.11,         508.58,         234.59,         267.89,        1102.91,          62.10,          54.29,         260.11
         5,       41630.49,       68286.79,      395587.42,       59995.67,       35133.90,       38377.78,      114591.22,          12.76,              0,           2.02,           0.43,         125.08,              0,           1.17,           0.60,       19991.41,        2925.08,        7294.93,        1285.28,         577.12,        3206.18,          98.33,        2687.87,        6075.19,         143.18,          69.89,         487.19,         120.49,         245.93,        1169.63,          58.93,          51.77,         266.06
         6,       58657.04,       96388.26,      435838.97,       38347.19,       34412.51,       55549.43,      169472.44,         407.84,              0,          10.29,           4.25,         603.78,              0,          17.70,           6.18,       12433.21,        4086.92,       10477.00,        1864.64,         897.87,        4281.50,         125.00,        3174.68,        7356.59,         172.63,          77.69,         623.85,         178.58,         242.83,        1476.22,         105.43,          71.74,         318.09
         7,       64854.71,      101184.15,      431056.63,       26254.48,       40999.76,       57186.71,      162394.41,         317.78,              0,          58.99,           5.59,         364.96,              0,          70.60,           9.25,        9904.48,        4620.22,       11763.07,        2065.23,        1028.48,        4682.49,         176.42,        4157.38,        7536.43,         232.39,          82.96,         624.41,         195.21,         141.59,        1279.98,          94.33,          59.66,         241.23
         8,       61312.19,       94693.78,      378739.06,       24083.14,       46968.95,       49232.20,      135318.90,        1517.46,              0,         137.69,           4.24,        1328.14,              0,         125.02,           6.71,        8544.22,        3728.56,       10015.86,        1816.92,         835.55,        4058.98,         204.03,        4552.26,        6423.08,         252.03,          63.65,         513.64,         262.65,         163.53,        1190.58,         119.21,          78.21,         292.97
         9,       65801.57,       87815.42,      329051.96,       23087.66,       37218.97,       49742.21,      126241.66,        2060.76,              0,         125.61,          14.12,        1703.66,              0,         190.61,          21.48,        8356.15,        3793.99,       10517.53,        1907.15,         859.87,        4119.12,         171.35,        4467.05,        5754.87,         240.82,          59.55,         456.71,         244.44,         141.70,        1146.12,         104.28,          69.06,         254.80
