TAZID,CO_TAZID,CO_FIPS,SUBAREAID,AREATYPE,TOTAL_P,TOTAL_A,TOTPER_P,TOTPER_A,TOTEXT_P,TOTEXT_A,HBW_P,HBW_A,HBSHP_P,HBSHP_A,HBOTH_P,HBOTH_A,HBSCHPR_P,HBSCHPR_A,HBSCHSC_P,HBSCHSC_A,NHBW_P,NHBW_A,NHBNW_P,NHBNW_A,HBC_P,HBC_A,TTUNIQUE_P,TTUNIQUE_A,IX_P,IX_A,XI_P,XI_A
1,30001,3,1,1,78.8,80.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,30002,3,1,1,215.7,152.6,126.4,57.5,7.6,11.4,20.5,0.1,13.2,0.0,73.5,49.3,5.3,0.0,5.4,0.0,2.0,2.1,6.4,6.1,0.0,0.0,0.0,0.0,7.6,0.0,0.0,11.4
3,30003,3,1,1,284.1,167.8,204.3,84.7,14.6,19.1,30.8,0.1,21.4,0.0,119.7,71.4,9.2,0.0,9.4,0.0,3.4,3.3,10.6,9.9,0.0,0.0,0.0,0.0,14.6,0.0,0.0,19.1
4,30004,3,1,1,67.6,63.6,6.8,3.2,0.8,0.9,1.1,0.0,0.8,0.0,4.2,2.9,0.2,0.0,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.9
5,30005,3,1,1,752.0,397.6,616.2,252.4,35.0,54.4,95.9,4.8,61.6,0.0,350.4,208.8,31.1,0.0,31.6,0.0,11.7,10.8,29.8,28.0,4.0,0.0,0.0,0.0,35.0,0.0,0.0,54.4
6,30006,3,1,1,99.1,105.0,25.7,28.3,2.0,6.7,3.4,8.5,2.6,0.0,14.9,17.4,1.2,0.0,1.3,0.0,1.2,1.2,1.1,1.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.7
7,30007,3,1,1,501.0,406.3,351.4,235.5,25.0,53.5,50.7,35.7,35.0,8.4,196.5,156.0,15.6,0.0,15.8,0.0,12.6,12.2,25.1,23.2,0.0,0.0,0.0,0.0,25.0,0.0,0.0,53.5
8,30008,3,1,2,752.9,572.6,593.9,378.1,49.8,95.2,74.0,40.9,47.9,70.1,274.9,173.4,24.6,0.0,25.1,0.0,21.3,20.0,77.2,73.7,48.0,0.0,1.0,0.0,49.8,0.0,0.0,95.2
9,30009,3,1,1,417.5,567.7,142.4,272.4,31.6,57.3,19.1,98.6,13.1,0.0,74.5,150.8,5.8,0.0,5.9,0.0,16.7,15.8,7.4,7.2,0.0,0.0,0.0,0.0,31.6,0.0,0.0,57.3
10,30010,3,1,1,504.9,619.0,204.3,309.0,44.4,64.9,27.8,102.8,19.5,0.0,110.0,178.4,8.4,0.0,8.6,0.0,18.6,17.6,10.5,10.2,0.0,0.0,1.0,0.0,44.4,0.0,0.0,64.9
11,30011,3,1,1,198.8,129.6,70.5,28.5,17.1,6.1,11.5,0.0,7.0,0.0,40.9,24.8,3.6,0.0,3.7,0.0,0.8,0.9,2.8,2.8,0.0,0.0,0.0,0.0,17.1,0.0,0.0,6.1
12,30012,3,1,1,294.3,193.0,160.0,68.6,21.2,16.1,27.0,0.2,16.1,0.0,91.5,58.8,7.8,0.0,7.9,0.0,2.3,2.3,7.3,7.2,0.0,0.0,0.0,0.0,21.2,0.0,0.0,16.1
13,30013,3,1,2,109.3,109.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,30014,3,1,2,109.3,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
