TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    805477, 100.00, 100.00,         0, 100.00, 100.00,   3845078, 100.00, 100.00,   1749981, 100.00, 100.00,    250657, 100.00, 100.00,   6651193, 100.00, 100.00,
    2) Non-Motorized,     31989,   3.97,   3.97,         0,      0,      0,    305057,   7.93,   7.93,    141694,   8.10,   8.10,     41957,  16.74,  16.74,    520697,   7.83,   7.83,
    2) Motorized,    773488,  96.03,  96.03,         0,      0,      0,   3540021,  92.07,  92.07,   1608287,  91.90,  91.90,    208700,  83.26,  83.26,   6130496,  92.17,  92.17
        3) Auto,    758945,  94.22,  98.12,         0,      0,      0,   3518510,  91.51,  99.39,   1603579,  91.63,  99.71,-,-,-,   6089734,  91.56,  99.34,
            4) Auto 1 pers,    631362,  78.38,  83.19,         0,      0,      0,   1264193,  32.88,  35.93,    697392,  39.85,  43.49,-,-,-,   2592948,  38.98,  42.58,
                    GP use,    630548,  78.28,  99.87,         0,      0,      0,   1264172,  32.88, 100.00,    696439,  39.80,  99.86,-,-,-,   2591159,  38.96,  99.93,
                    Toll use,       861,   0.11,   0.14,         0,      0,      0,       487,   0.01,   0.04,      1141,   0.07,   0.16,-,-,-,      2489,   0.04,   0.10
            4) Auto 2 pers,     98305,  12.20,  12.95,         0,      0,      0,   1225601,  31.87,  34.83,    451390,  25.79,  28.15,-,-,-,   1775296,  26.69,  29.15,
                    GP use,     77445,   9.61,  78.78,         0,      0,      0,   1151653,  29.95,  93.97,    407521,  23.29,  90.28,-,-,-,   1636619,  24.61,  92.19,
                    HOV use,     20861,   2.59,  21.22,         0,      0,      0,     74009,   1.92,   6.04,     43898,   2.51,   9.72,-,-,-,    138767,   2.09,   7.82,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     29225,   3.63,   3.85,         0,      0,      0,   1028180,  26.74,  29.22,    454611,  25.98,  28.35,-,-,-,   1512015,  22.73,  24.83,
