I,J,TOT,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,HBC,NHBW,NHBNW,IX,XI,XX,II_LT,II_MD,II_HV,Ext_MD,Ext_HV,HBSch,HBO,NHB,TTUNIQUE,HBOthnTT,Tot_HBW,Tel_HBW,Tot_NHBW,Tel_NHBW,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk,IX_MD,XI_MD,XX_MD,IX_HV,XI_HV,XX_HV
         1,         1,   133741.70,    11066.83,     9722.30,    49995.63,     4142.11,     4111.72,           0,     7227.59,    17208.96,           0,           0,           0,    20664.90,     5534.48,     4068.79,           0,           0,     8253.83,    59717.61,    24436.62,           0,    49995.63,    12293.22,     1226.89,     7700.36,      472.71,    16456.46,      792.67,     2028.68,      388.95,      157.08,      841.13,       57.14,      741.59,     4214.10,      121.31,       80.61,      319.77,      459.40,      332.05,     2330.66,      196.37,      139.47,      611.02,           0,           0,           0,           0,           0,           0
         1,         2,     1012.29,       69.36,        5.31,      386.51,           0,           0,           0,       83.81,      161.57,           0,           0,           0,      240.98,       49.12,       16.01,           0,           0,           0,      391.79,      245.35,           0,      386.51,       76.64,        7.34,       87.19,        3.41,      186.83,        9.86,       28.71,        3.92,        1.20,       10.49,        0.13,        2.90,       43.35,        0.67,        0.38,        1.70,        2.17,        1.02,        9.91,        0.61,        0.27,        2.03,           0,           0,           0,           0,           0,           0
         1,         3,        0.62,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.62,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.62,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         4,     9530.55,     1855.80,      443.77,     3494.67,      240.00,      340.43,           0,      638.29,      891.21,           0,           0,           0,      543.77,      578.87,      504.40,           0,           0,      580.43,     3938.38,     1529.43,           0,     3494.67,     2068.95,      213.17,      668.86,       30.17,      164.57,       53.15,      206.99,       39.07,       10.29,       69.71,        2.81,       73.71,      448.56,       17.58,       10.58,       25.64,       78.03,       59.83,      201.52,       53.60,       29.70,       81.74,           0,           0,           0,           0,           0,           0
         1,         5,     4801.12,     1237.94,       85.79,     1429.08,       14.72,       25.69,      217.00,      415.93,      412.13,           0,           0,           0,      246.35,      383.71,      335.24,           0,           0,       40.41,     1514.79,      827.60,           0,     1429.08,     1396.75,      160.31,      442.87,       26.94,       12.70,       31.48,      124.71,       29.81,        8.91,       38.75,        3.25,       51.21,      290.02,       12.54,        8.16,       18.53,       44.38,       36.03,      163.04,       29.13,       13.60,       49.04,           0,           0,           0,           0,           0,           0
         1,         6,        7.80,        0.07,           0,        2.06,           0,           0,           0,        0.04,        0.11,           0,           0,           0,        5.50,        0.02,           0,           0,           0,           0,        2.06,        0.15,           0,        2.06,        0.07,           0,        0.04,           0,        5.50,           0,           0,           0,           0,           0,           0,           0,        0.02,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         7,        0.11,        0.01,           0,        0.05,           0,           0,           0,           0,           0,           0,           0,           0,        0.05,           0,           0,           0,           0,           0,        0.05,           0,           0,        0.05,        0.01,           0,           0,           0,        0.05,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         8,     3105.16,      909.82,       13.28,      873.54,       12.91,       27.01,       24.00,      379.88,      328.56,           0,           0,           0,      254.61,      201.92,       81.01,           0,           0,       39.91,      886.82,      708.18,           0,      873.54,     1050.30,      141.59,      405.47,       25.94,        1.77,       31.97,      137.81,       30.88,        9.19,       42.99,        0.43,       19.50,      153.29,        3.49,        4.19,       21.02,       18.96,        7.41,       35.98,        6.96,        3.06,        8.64,           0,           0,           0,           0,           0,           0
         1,         9,      752.43,      163.47,       13.83,      209.88,        1.76,        1.88,           0,       76.60,       73.92,           0,           0,           0,       85.82,       82.25,       43.14,           0,           0,        3.64,      223.71,      150.50,           0,      209.88,      184.48,       20.63,       78.82,        2.27,           0,        8.56,       47.44,       13.75,        3.76,       12.31,        0.06,        7.48,       60.24,        0.79,        2.41,       11.27,        3.41,        4.08,       25.04,        3.36,        2.01,        5.25,           0,           0,           0,           0,           0,           0
         1,        10,        0.52,           0,           0,        0.51,           0,           0,           0,           0,        0.01,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.51,        0.01,           0,        0.51,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,        11,      235.91,       89.40,        5.34,       65.57,           0,           0,           0,        8.04,        2.48,           0,           0,           0,       19.16,       27.67,       18.42,           0,           0,           0,       70.91,       10.50,           0,       65.57,       99.69,       10.11,        8.36,        0.33,           0,        1.13,        9.49,        3.84,        1.30,        3.40,           0,       17.26,        7.90,        2.20,        0.14,        0.19,           0,        2.06,        7.85,        1.59,        2.46,        4.46,           0,           0,           0,           0,           0,           0
