Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,       89893.19,      120407.47,      775061.39,      112156.11,       48648.20,      151216.45,      397519.38,              0,              0,              0,              0,           0.25,              0,              0,              0,      245594.72,        9086.08,       21169.28,        4292.90,        2486.37,        9892.01,         869.30,       14522.44,       20044.30,         769.01,         271.60,        1904.03,        1441.60,         809.02,        6380.50,         352.48,         325.51,        1460.45
         1,      149070.05,      225742.81,     1088417.72,      118466.20,       89578.12,      133887.42,      370254.53,           0.97,              0,           0.25,           0.07,          33.65,              0,           0.43,           0.35,       48898.84,        9459.39,       23895.95,        4195.48,        1958.38,        9782.48,         457.57,       12045.62,       17371.29,         606.97,         180.32,        1492.03,         699.81,         582.14,        3720.27,         273.14,         195.46,         828.49
         2,      137571.55,      178274.58,      765649.59,       46358.16,       82386.76,      102535.19,      256817.35,           7.61,              0,           4.28,           2.42,         139.53,              0,           3.93,           3.06,       16534.46,        7437.67,       19768.17,        3522.40,        1588.16,        7860.83,         363.14,       10565.35,       12698.59,         583.69,         139.88,        1064.68,         724.08,         356.82,        3045.29,         252.38,         171.58,         651.02
         3,      122951.58,      120457.94,      531225.99,       32661.19,       52324.06,       71562.34,      167373.16,         343.35,              0,          18.98,           2.62,         503.69,              0,          34.10,           5.67,       12291.35,        6061.32,       16557.12,        3118.32,        1303.93,        6521.77,         308.59,        9627.93,        9770.03,         547.52,         114.10,         805.34,         726.50,         269.84,        2430.52,         204.81,         139.99,         532.07
         4,      111134.14,       77420.93,      364676.02,       12984.13,       27226.30,       56038.12,      117462.54,        1078.84,              0,         109.90,          11.01,        1095.13,              0,         138.11,          14.69,        9665.52,        4687.48,       12985.21,        2614.00,        1016.01,        5166.78,         236.06,        8250.76,        7572.74,         475.68,          89.80,         627.86,         631.93,         201.20,        1837.92,         148.88,         103.88,         402.80
         5,      100982.16,       48453.10,      261411.62,        6454.51,       17804.46,       44503.01,       85134.02,        1642.23,              0,         192.37,          12.76,        2015.77,              0,         211.67,          18.82,        7357.53,        3575.78,       10134.21,        2094.19,         774.52,        4012.67,         179.09,        7101.27,        5718.97,         405.77,          62.70,         453.09,         539.42,         154.48,        1357.53,         106.27,          73.90,         289.60
         6,       94487.56,       30229.58,      193957.40,        4016.83,       10072.03,       33870.93,       60446.19,        2019.71,              0,         110.51,          22.18,        2427.70,              0,         121.72,          24.83,        5554.00,        2739.32,        7886.48,        1667.30,         584.11,        3126.25,         141.42,        5722.08,        4197.94,         318.43,          40.95,         318.13,         440.97,          99.16,         912.91,          61.68,          42.24,         186.07
         7,       86519.75,       20789.99,      148155.57,        2759.72,        6467.68,       28478.19,       47204.78,        2938.11,              0,         164.62,          27.73,        5880.23,              0,         208.62,          40.63,        4325.61,        2196.57,        6364.48,        1396.14,         486.18,        2544.71,         125.40,        5049.62,        3342.87,         287.05,          35.05,         249.93,         425.29,          89.39,         749.03,          55.50,          38.18,         161.87
         8,       76643.96,       14360.17,      113998.47,        1974.21,        4162.22,       23672.28,       37688.79,        1854.23,              0,         185.56,          39.96,        7731.78,              0,         254.27,          63.89,        3319.83,        1752.82,        5247.69,        1178.85,         400.96,        2085.77,         105.04,        4273.31,        2709.32,         239.25,          26.08,         205.62,         376.49,          68.97,         543.63,          43.22,          28.79,         118.15
         9,       68167.07,       10388.33,       94234.88,        1415.25,        2661.43,       20640.44,       30537.16,        1361.10,              0,         147.96,          60.93,        6521.00,              0,         177.60,          72.34,        2542.72,        1464.13,        4492.11,        1030.73,         364.86,        1792.44,         103.88,        3739.80,        2317.92,         216.82,          22.15,         176.53,         316.69,          58.66,         453.83,          34.97,          23.60,          92.94
