TAZID,CO_TAZID,CO_FIPS,SUBAREAID,AREATYPE,TOTAL_P,TOTAL_A,TOTPER_P,TOTPER_A,TOTEXT_P,TOTEXT_A,HBW_P,HBW_A,HBSHP_P,HBSHP_A,HBOTH_P,HBOTH_A,HBSCHPR_P,HBSCHPR_A,HBSCHSC_P,HBSCHSC_A,NHBW_P,NHBW_A,NHBNW_P,NHBNW_A,HBC_P,HBC_A,TTUNIQUE_P,TTUNIQUE_A,IX_P,IX_A,XI_P,XI_A
1,30001,3,1,1,102.0,105.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,30002,3,1,1,237.0,174.8,126.3,57.8,5.0,8.5,20.5,0.1,13.1,0.0,73.5,49.5,5.3,0.0,5.4,0.0,2.0,2.0,6.5,6.1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.5
3,30003,3,1,1,298.9,180.8,204.1,85.8,10.5,13.5,30.7,0.0,21.4,0.0,119.7,72.6,9.2,0.0,9.4,0.0,3.3,3.3,10.5,9.9,0.0,0.0,0.0,0.0,10.5,0.0,0.0,13.5
4,30004,3,1,1,85.3,80.6,6.8,3.2,0.6,0.6,1.1,0.0,0.8,0.0,4.1,2.9,0.3,0.0,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6
5,30005,3,1,1,767.5,410.0,614.6,254.0,23.6,40.2,95.7,4.8,61.5,0.0,350.4,210.2,31.0,0.0,31.6,0.0,11.5,10.7,29.8,28.2,3.0,0.0,0.0,0.0,23.6,0.0,0.0,40.2
6,30006,3,1,1,116.3,120.5,25.6,28.6,1.4,4.8,3.4,8.5,2.6,0.0,14.8,17.7,1.2,0.0,1.3,0.0,1.2,1.2,1.1,1.2,0.0,0.0,0.0,0.0,1.4,0.0,0.0,4.8
7,30007,3,1,1,514.4,411.2,351.0,238.1,17.7,37.9,50.6,35.5,34.9,8.4,196.4,158.9,15.6,0.0,15.8,0.0,12.6,12.1,25.0,23.2,0.0,0.0,0.0,0.0,17.7,0.0,0.0,37.9
8,30008,3,1,2,768.4,568.2,593.3,377.2,39.3,68.0,73.9,40.8,47.8,69.9,274.8,172.9,24.5,0.0,25.1,0.0,21.2,19.8,77.0,73.7,48.0,0.0,1.0,0.0,39.3,0.0,0.0,68.0
9,30009,3,1,1,427.6,574.8,142.2,273.4,18.2,40.6,19.0,98.6,13.0,0.0,74.5,151.8,5.7,0.0,5.9,0.0,16.7,15.8,7.4,7.2,0.0,0.0,0.0,0.0,18.2,0.0,0.0,40.6
10,30010,3,1,1,506.5,622.9,204.0,309.2,22.4,46.6,27.8,102.7,19.5,0.0,109.9,179.0,8.4,0.0,8.6,0.0,18.5,17.5,10.4,10.1,0.0,0.0,1.0,0.0,22.4,0.0,0.0,46.6
11,30011,3,1,1,224.8,155.6,70.4,28.5,10.6,4.2,11.5,0.0,7.0,0.0,40.9,24.9,3.7,0.0,3.7,0.0,0.8,0.8,2.8,2.8,0.0,0.0,0.0,0.0,10.6,0.0,0.0,4.2
12,30012,3,1,1,323.0,220.3,159.8,68.5,16.7,11.6,27.0,0.2,16.1,0.0,91.4,58.8,7.8,0.0,8.0,0.0,2.3,2.3,7.3,7.1,0.0,0.0,0.0,0.0,16.7,0.0,0.0,11.6
13,30013,3,1,2,141.7,141.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,30014,3,1,2,141.7,142.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,30015,3,1,1,613.9,1247.4,65.0,617.0,1.2,104.1,1.3,367.3,1.0,0.0,5.1,196.3,0.4,0.0,0.5,0.0,55.2,51.6,1.6,1.7,0.0,0.0,0.0,0.0,1.2,0.0,0.0,104.1
16,30016,3,1,2,304.9,567.7,23.1,251.3,1.5,41.2,1.2,99.0,1.0,0.0,4.8,137.8,0.4,0.0,0.4,0.0,14.3,13.2,1.1,1.2,0.0,0.0,0.0,0.0,1.5,0.0,0.0,41.2
17,30017,3,1,1,175.2,154.2,29.3,11.8,3.4,1.8,4.6,0.0,3.1,0.0,17.0,10.4,1.6,0.0,1.7,0.0,0.3,0.3,1.1,1.1,0.0,0.0,0.0,0.0,3.4,0.0,0.0,1.8
18,30018,3,1,1,1319.8,2890.7,172.4,1522.3,0.0,246.9,0.0,1107.4,0.0,0.0,1.0,257.7,0.0,0.0,0.0,0.0,168.2,155.0,2.2,2.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,246.9
19,30019,3,1,2,3024.0,1569.4,2452.3,1138.5,335.5,186.6,372.2,18.3,230.9,61.3,1373.1,851.4,126.5,0.0,129.2,0.0,56.9,52.7,161.4,154.7,0.0,0.0,2.0,0.0,335.5,0.0,0.0,186.6
