Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,           0.24,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,       10345.10,        5939.86,       86223.82,       17406.82,        5838.09,       25825.71,       42615.35,              0,              0,              0,              0,           0.01,              0,              0,              0,      103100.18,        1447.48,        3130.03,         740.93,         375.64,        1697.87,         150.12,        2038.98,        4493.05,         151.03,          85.39,         458.65,         389.87,         122.46,        2257.33,         118.62,         114.69,         456.75
         3,       16497.72,       17144.95,      207105.85,       32648.90,       12839.66,       19358.91,       48113.83,           0.41,              0,           0.25,           0.03,          20.81,              0,           0.29,           0.03,       72623.10,        1676.27,        4153.18,         809.00,         426.25,        2182.37,         165.05,        3052.28,        2873.87,         179.18,          46.89,         283.09,         523.69,         210.08,         979.75,         110.95,         110.05,         429.44
         4,       39061.70,       58206.80,      419860.66,       72193.35,       35265.11,       40809.40,      140570.32,           1.35,              0,           1.84,           0.04,          63.37,              0,           1.32,           0.42,       77847.09,        3221.41,        7665.60,        1474.32,         663.51,        3445.76,         289.54,        3387.38,        6069.86,         133.45,          51.68,         514.38,         282.92,         294.15,        1276.63,          67.97,          60.54,         295.56
         5,       45083.69,       73005.51,      416282.91,       60528.39,       38176.50,       41058.59,      121718.24,          29.20,              0,           3.68,           0.87,         199.18,              0,           3.86,           0.47,       19113.51,        2845.11,        7107.77,        1265.15,         575.77,        3135.62,          99.89,        2805.48,        6558.37,         161.95,          81.97,         581.01,         161.80,         311.59,        1363.46,          78.90,          67.88,         336.30
         6,       65215.77,      103279.13,      461735.98,       38547.88,       35711.86,       60203.99,      180962.49,         225.43,              0,          47.79,           3.50,         447.88,              0,          55.88,           6.09,       12482.40,        4001.60,       10344.29,        1856.18,         883.10,        4213.53,         135.29,        3530.94,        7652.32,         186.45,          81.00,         685.30,         203.50,         226.11,        1619.61,         100.71,          69.39,         319.05
         7,       69045.65,      104942.54,      450415.48,       26749.76,       43891.62,       59469.79,      167035.97,         482.06,              0,          60.40,           4.73,         562.11,              0,          64.46,           7.23,        9756.49,        4410.94,       11309.57,        1995.11,         993.44,        4516.84,         187.85,        4611.70,        7479.19,         246.87,          82.55,         664.10,         283.32,         187.72,        1572.10,         132.38,          84.70,         327.47
         8,       67981.61,      101133.70,      393964.04,       24916.57,       48331.29,       52551.73,      141830.17,        1757.42,              0,         122.37,          11.22,        1098.95,              0,         153.22,          13.71,        8578.65,        3684.95,        9906.03,        1825.99,         816.74,        4026.03,         208.30,        4803.29,        6480.73,         270.79,          66.73,         555.30,         303.33,         168.30,        1442.88,         116.56,          77.59,         309.59
         9,       71541.65,       89544.51,      340622.72,       22294.84,       36249.47,       52503.98,      131793.20,        2000.46,              0,         137.16,           9.92,        2394.29,              0,         164.64,          17.89,        8553.37,        3746.74,       10557.90,        1925.93,         887.57,        4118.93,         182.93,        4982.60,        6058.13,         266.50,          68.66,         522.16,         307.67,         152.79,        1350.97,         109.31,          73.10,         277.08
