I,J,TOT,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,HBC,NHBW,NHBNW,IX,XI,XX,II_LT,II_MD,II_HV,Ext_MD,Ext_HV,HBSch,HBO,NHB,TTUNIQUE,HBOthnTT,Tot_HBW,Tel_HBW,Tot_NHBW,Tel_NHBW,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk,IX_MD,XI_MD,XX_MD,IX_HV,XI_HV,XX_HV
         1,         1,   129675.50,    11203.36,     9726.67,    50316.36,     4140.60,     4106.91,           0,     7278.93,    17292.55,           0,           0,           0,    15829.07,     5608.57,     4173.59,           0,           0,     8247.51,    60042.59,    24571.64,           0,    50316.36,    12446.52,     1242.72,     7755.20,      475.94,    12703.45,      595.06,     1510.49,      280.15,      115.29,      624.72,       58.19,      757.23,     4257.23,      124.39,       83.36,      328.18,      474.56,      341.95,     2380.00,      203.04,      145.34,      628.82,           0,           0,           0,           0,           0,           0
         1,         2,      891.38,       69.39,        3.97,      347.99,           0,           0,           0,       81.60,      151.39,           0,           0,           0,      171.89,       48.90,       16.55,           0,           0,           0,      351.95,      232.94,           0,      347.99,       76.66,        7.30,       84.89,        3.29,      134.05,        6.98,       20.23,        2.60,        0.82,        7.21,        0.13,        3.03,       42.94,        0.68,        0.40,        1.72,        2.33,        1.12,        9.96,        0.67,        0.28,        2.19,           0,           0,           0,           0,           0,           0
         1,         3,        0.23,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.23,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.23,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         4,     9244.47,     1827.20,      435.06,     3332.69,      240.09,      341.56,           0,      635.46,      865.44,           0,           0,           0,      431.96,      603.78,      531.75,           0,           0,      581.65,     3767.78,     1500.82,           0,     3332.69,     2036.62,      209.38,      665.83,       30.02,      128.05,       42.06,      169.08,       30.08,        8.14,       54.55,        3.03,       76.37,      466.68,       18.67,       11.45,       27.58,       80.56,       65.03,      209.72,       58.58,       31.74,       86.12,           0,           0,           0,           0,           0,           0
         1,         5,     4726.14,     1198.57,       88.54,     1401.01,       15.18,       27.27,      217.00,      413.07,      404.32,           0,           0,           0,      198.86,      404.08,      361.13,           0,           0,       42.45,     1489.41,      816.92,           0,     1401.01,     1351.75,      154.89,      439.71,       26.77,        8.76,       25.76,      103.45,       22.97,        7.10,       30.83,        3.52,       54.61,      303.26,       13.38,        8.98,       20.33,       46.73,       39.74,      174.93,       32.11,       15.09,       52.53,           0,           0,           0,           0,           0,           0
         1,         6,        6.16,        0.06,           0,        2.02,           0,           0,           0,        0.04,        0.11,           0,           0,           0,        3.90,        0.03,           0,           0,           0,           0,        2.02,        0.15,           0,        2.02,        0.06,           0,        0.04,           0,        3.90,           0,           0,           0,           0,           0,           0,           0,        0.03,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         7,        0.06,        0.01,           0,        0.05,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.05,           0,           0,        0.05,        0.01,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
         1,         8,     2855.94,      862.26,       14.84,      858.43,       14.24,       29.36,       24.00,      368.30,      317.92,           0,           0,           0,      214.17,      134.24,       19.59,           0,           0,       43.60,      873.26,      685.87,           0,      858.43,      994.68,      133.94,      392.94,       24.96,        1.01,       27.60,      117.97,       24.85,        7.51,       35.23,        0.17,       11.87,      103.78,        1.85,        2.23,       14.34,        4.84,        1.49,        9.70,        1.37,        0.54,        1.65,           0,           0,           0,           0,           0,           0
         1,         9,      674.84,      163.93,       15.55,      210.50,        1.74,        1.85,           0,       75.50,       72.43,           0,           0,           0,       70.76,       52.69,       10.00,           0,           0,        3.59,      226.03,      147.91,           0,      210.50,      185.05,       20.82,       77.72,        2.23,           0,        6.90,       40.51,       10.71,        2.99,        9.65,        0.02,        4.07,       40.28,        0.24,        1.03,        7.05,        0.58,        0.62,        7.15,        0.47,        0.25,        0.93,           0,           0,           0,           0,           0,           0
         1,        10,        0.53,           0,           0,        0.52,           0,           0,           0,           0,        0.01,           0,           0,           0,           0,           0,           0,           0,           0,           0,        0.52,        0.01,           0,        0.52,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0,           0
