TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    890908, 100.00, 100.00,    112531, 100.00, 100.00,   1952248, 100.00, 100.00,    862635, 100.00, 100.00,    445450, 100.00, 100.00,   4263772, 100.00, 100.00,
    2) Non-Motorized,     27337,   3.07,   3.07,     25672,  22.81,  22.81,    157550,   8.07,   8.07,     56243,   6.52,   6.52,     74750,  16.78,  16.78,    341551,   8.01,   8.01,
    2) Motorized,    863572,  96.93,  96.93,     86860,  77.19,  77.19,   1794698,  91.93,  91.93,    806392,  93.48,  93.48,    370700,  83.22,  83.22,   3922221,  91.99,  91.99
        3) Auto,    844349,  94.77,  97.77,     68116,  60.53,  78.42,   1786003,  91.48,  99.52,    804705,  93.28,  99.79,-,-,-,   3873872,  90.86,  98.77,
            4) Auto 1 pers,    724707,  81.34,  85.83,     48974,  43.52,  71.90,    575514,  29.48,  32.22,    364366,  42.24,  45.28,-,-,-,   1713561,  40.19,  44.23,
                    GP use,    723644,  81.23,  99.85,     48912,  43.47,  99.87,    575606,  29.48, 100.02,    364192,  42.22,  99.95,-,-,-,   1712354,  40.16,  99.93,
                    Toll use,      1118,   0.13,   0.15,        62,   0.05,   0.13,       214,   0.01,   0.04,       298,   0.03,   0.08,-,-,-,      1692,   0.04,   0.10
            4) Auto 2 pers,     89418,  10.04,  10.59,     14050,  12.49,  20.63,    596831,  30.57,  33.42,    211730,  24.54,  26.31,-,-,-,    912028,  21.39,  23.54,
                    GP use,     66960,   7.52,  74.88,     10631,   9.45,  75.67,    559975,  28.68,  93.82,    190229,  22.05,  89.85,-,-,-,    827796,  19.41,  90.76,
                    HOV use,     22466,   2.52,  25.12,      3418,   3.04,  24.33,     36894,   1.89,   6.18,     21518,   2.49,  10.16,-,-,-,     84296,   1.98,   9.24,
