TAZID,CO_TAZID,CO_FIPS,SUBAREAID,AREATYPE,TOTAL_P,TOTAL_A,TOTPER_P,TOTPER_A,TOTEXT_P,TOTEXT_A,HBW_P,HBW_A,HBSHP_P,HBSHP_A,HBOTH_P,HBOTH_A,HBSCHPR_P,HBSCHPR_A,HBSCHSC_P,HBSCHSC_A,NHBW_P,NHBW_A,NHBNW_P,NHBNW_A,HBC_P,HBC_A,TTUNIQUE_P,TTUNIQUE_A,IX_P,IX_A,XI_P,XI_A
1,30001,3,1,1,78.8,80.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,30002,3,1,1,214.7,151.4,126.4,57.5,6.4,9.9,20.5,0.1,13.2,0.0,73.6,49.3,5.3,0.0,5.4,0.0,2.0,2.1,6.4,6.1,0.0,0.0,0.0,0.0,6.4,0.0,0.0,9.9
3,30003,3,1,1,282.3,165.5,204.3,84.6,12.7,16.7,30.8,0.1,21.3,0.0,119.7,71.4,9.2,0.0,9.4,0.0,3.3,3.3,10.6,9.8,0.0,0.0,0.0,0.0,12.7,0.0,0.0,16.7
4,30004,3,1,1,67.7,63.4,6.9,3.2,0.7,0.7,1.1,0.0,0.8,0.0,4.2,2.9,0.2,0.0,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7
5,30005,3,1,1,747.0,391.3,616.0,252.4,29.8,47.5,95.9,4.8,61.6,0.0,350.4,208.8,31.0,0.0,31.6,0.0,11.7,10.8,29.8,28.0,4.0,0.0,0.0,0.0,29.8,0.0,0.0,47.5
6,30006,3,1,1,98.7,104.3,25.7,28.3,1.8,6.0,3.4,8.5,2.6,0.0,14.9,17.4,1.2,0.0,1.3,0.0,1.2,1.3,1.1,1.2,0.0,0.0,0.0,0.0,1.8,0.0,0.0,6.0
7,30007,3,1,1,497.0,399.2,351.3,235.5,21.6,46.6,50.7,35.7,35.0,8.4,196.5,156.0,15.6,0.0,15.8,0.0,12.7,12.2,25.1,23.1,0.0,0.0,0.0,0.0,21.6,0.0,0.0,46.6
8,30008,3,1,2,747.5,560.3,593.8,378.2,44.9,83.0,74.0,40.9,47.9,70.1,274.8,173.5,24.6,0.0,25.1,0.0,21.3,20.0,77.1,73.7,48.0,0.0,1.0,0.0,44.9,0.0,0.0,83.0
9,30009,3,1,1,412.1,559.1,142.5,272.3,26.5,49.5,19.1,98.6,13.0,0.0,74.5,150.7,5.8,0.0,5.9,0.0,16.7,15.8,7.4,7.1,0.0,0.0,0.0,0.0,26.5,0.0,0.0,49.5
10,30010,3,1,1,496.5,609.7,204.2,308.8,37.1,56.6,27.8,102.7,19.5,0.0,110.0,178.4,8.4,0.0,8.6,0.0,18.5,17.6,10.5,10.2,0.0,0.0,1.0,0.0,37.1,0.0,0.0,56.6
11,30011,3,1,1,195.7,129.1,70.5,28.4,14.3,5.2,11.5,0.0,7.0,0.0,40.9,24.8,3.6,0.0,3.7,0.0,0.8,0.9,2.8,2.8,0.0,0.0,0.0,0.0,14.3,0.0,0.0,5.2
12,30012,3,1,1,291.3,191.5,159.9,68.6,18.2,14.1,27.0,0.2,16.1,0.0,91.5,58.8,7.8,0.0,8.0,0.0,2.3,2.3,7.3,7.2,0.0,0.0,0.0,0.0,18.2,0.0,0.0,14.1
13,30013,3,1,2,109.3,109.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,30014,3,1,2,109.4,110.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,30015,3,1,1,575.4,1233.4,65.3,617.8,1.5,126.2,1.3,367.4,1.0,0.0,5.2,196.9,0.4,0.0,0.5,0.0,55.3,51.8,1.6,1.7,0.0,0.0,0.0,0.0,1.5,0.0,0.0,126.2
16,30016,3,1,2,277.2,548.0,23.2,252.0,2.1,50.3,1.2,99.4,1.0,0.0,4.8,138.2,0.4,0.0,0.4,0.0,14.3,13.2,1.1,1.2,0.0,0.0,0.0,0.0,2.1,0.0,0.0,50.3
17,30017,3,1,1,144.7,123.3,29.5,11.8,5.2,2.3,4.7,0.0,3.1,0.0,17.2,10.3,1.6,0.0,1.7,0.0,0.3,0.3,1.1,1.1,0.0,0.0,0.0,0.0,5.2,0.0,0.0,2.3
18,30018,3,1,1,1269.9,2893.3,172.5,1523.7,0.0,297.7,0.0,1108.3,0.0,0.0,1.0,258.3,0.0,0.0,0.0,0.0,168.3,154.8,2.2,2.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,297.7
19,30019,3,1,2,3096.7,1573.8,2452.7,1142.0,448.5,229.6,372.4,18.4,230.8,61.5,1373.1,854.3,126.5,0.0,129.2,0.0,57.1,52.9,161.6,155.0,0.0,0.0,2.0,0.0,448.5,0.0,0.0,229.6
20,30020,3,1,3,1758.1,1508.9,1343.1,1035.2,162.9,220.3,221.5,143.0,140.1,52.7,717.1,670.7,42.1,0.0,43.1,0.0,60.7,56.3,117.5,112.4,0.0,0.0,1.0,0.0,162.9,0.0,0.0,220.3
21,30021,3,1,2,750.0,1729.6,117.6,911.1,0.0,195.5,0.0,758.8,0.0,0.0,1.0,45.8,0.0,0.0,0.0,0.0,115.3,106.1,0.4,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,195.5
22,30022,3,1,2,114.3,122.8,20.4,25.8,4.2,5.8,2.9,15.5,1.9,0.0,10.6,7.2,1.0,0.0,1.0,0.0,2.3,2.2,0.8,0.8,0.0,0.0,0.0,0.0,4.2,0.0,0.0,5.8
23,30023,3,1,2,206.7,315.9,41.0,127.6,6.8,27.4,4.6,72.0,3.1,0.0,17.5,43.9,1.7,0.0,1.7,0.0,10.7,10.1,1.6,1.6,0.0,0.0,0.0,0.0,6.8,0.0,0.0,27.4
