TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    805164, 100.00, 100.00,         0, 100.00, 100.00,   3845106, 100.00, 100.00,   1750029, 100.00, 100.00,    250654, 100.00, 100.00,   6650953, 100.00, 100.00,
    2) Non-Motorized,     32205,   4.00,   4.00,         0,      0,      0,    304855,   7.93,   7.93,    140343,   8.02,   8.02,     41967,  16.74,  16.74,    519371,   7.81,   7.81,
    2) Motorized,    772958,  96.00,  96.00,         0,      0,      0,   3540251,  92.07,  92.07,   1609686,  91.98,  91.98,    208687,  83.26,  83.26,   6131582,  92.19,  92.19
        3) Auto,    759231,  94.30,  98.22,         0,      0,      0,   3519705,  91.54,  99.42,   1605177,  91.72,  99.72,-,-,-,   6092800,  91.61,  99.37,
            4) Auto 1 pers,    631464,  78.43,  83.17,         0,      0,      0,   1264804,  32.89,  35.93,    698037,  39.89,  43.49,-,-,-,   2594305,  39.01,  42.58,
                    GP use,    630649,  78.33,  99.87,         0,      0,      0,   1264788,  32.89, 100.00,    697087,  39.83,  99.86,-,-,-,   2592524,  38.98,  99.93,
                    Toll use,       861,   0.11,   0.14,         0,      0,      0,       484,   0.01,   0.04,      1139,   0.07,   0.16,-,-,-,      2484,   0.04,   0.10
            4) Auto 2 pers,     98445,  12.23,  12.97,         0,      0,      0,   1225919,  31.88,  34.83,    451857,  25.82,  28.15,-,-,-,   1776221,  26.71,  29.15,
                    GP use,     77649,   9.64,  78.88,         0,      0,      0,   1152517,  29.97,  94.01,    408355,  23.33,  90.37,-,-,-,   1638521,  24.64,  92.25,
                    HOV use,     20798,   2.58,  21.13,         0,      0,      0,     73461,   1.91,   5.99,     43528,   2.49,   9.63,-,-,-,    137786,   2.07,   7.76,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     29266,   3.63,   3.85,         0,      0,      0,   1028444,  26.75,  29.22,    455079,  26.00,  28.35,-,-,-,   1512789,  22.75,  24.83,
                    GP use,     23080,   2.87,  78.86,         0,      0,      0,    966830,  25.14,  94.01,    411248,  23.50,  90.37,-,-,-,   1401157,  21.07,  92.62,
                    HOV use,      6185,   0.77,  21.14,         0,      0,      0,     61624,   1.60,   5.99,     43837,   2.50,   9.63,-,-,-,    111646,   1.68,   7.38,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) IMZ Door-to-Door (D2D),        55,   0.01,   0.01,         0,      0,      0,       547,   0.01,   0.02,       222,   0.01,   0.01,-,-,-,       824,   0.01,   0.01,
                    IMZ D2D 1 pers,        47,   0.01,  85.45,         0,      0,      0,       467,   0.01,  85.37,       189,   0.01,  85.14,-,-,-,       703,   0.01,  85.32,
                    IMZ D2D 2 pers,         6,   0.00,  10.91,         0,      0,      0,        63,   0.00,  11.52,        26,   0.00,  11.71,-,-,-,        95,   0.00,  11.53,
                    IMZ D2D 3+ pers,         2,   0.00,   3.64,         0,      0,      0,        17,   0.00,   3.11,         7,   0.00,   3.15,-,-,-,        26,   0.00,   3.16
            4) School Trips,-,-,-,-,-,-,-,-,-,-,-,-,    208687,  83.26,  83.26,    208687,   3.14,  83.26,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     27552,  10.99,  13.20,     27552,   0.41,  13.20,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     30607,  12.21,  14.67,     30607,   0.46,  14.67,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    150528,  60.05,  72.13,    150528,   2.26,  72.13,
                    K-6,-,-,-,-,-,-,-,-,-,-,-,-,     96324,  38.43,  46.16,     96324,   1.45,  46.16,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     10433,   4.16,  10.83,     10433,   0.16,  10.83,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,         0,      0,      0,         0,      0,      0,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,     85890,  34.27,  89.17,     85890,   1.29,  89.17,
                    7-12,-,-,-,-,-,-,-,-,-,-,-,-,    112364,  44.83,  53.84,    112364,   1.69,  53.84,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     17119,   6.83,  15.24,     17119,   0.26,  15.24,
