Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,        5365.87,        1469.96,       19192.40,        3218.17,        1149.19,       10134.44,       14612.63,              0,              0,              0,              0,           0.25,              0,              0,              0,       68923.25,         987.25,        2007.71,         501.81,         273.29,        1099.38,          79.49,         828.35,        2109.40,          62.60,          39.07,         192.60,         182.90,          33.66,        1013.89,          39.97,          40.33,         178.12
         3,       14521.24,       12284.82,      182779.38,       31416.14,       10985.42,       28721.17,       55292.75,              0,              0,              0,              0,              0,              0,              0,              0,       97364.88,        1732.56,        4119.87,         806.07,         385.37,        2203.64,         161.67,        2930.71,        4799.86,         190.44,          83.68,         479.07,         498.36,         218.54,        2061.04,         162.74,         154.56,         586.97
         4,       20862.76,       22412.71,      175208.16,       20885.78,        8849.82,       25332.09,       83925.00,           0.03,              0,              0,              0,           5.05,              0,              0,              0,       65969.69,        2548.17,        5795.78,        1165.22,         609.32,        2700.43,         291.40,        3347.40,        3905.04,         143.86,          31.63,         331.98,         311.25,         199.11,         821.74,          60.60,          55.03,         238.68
         5,       30211.86,       41661.53,      309354.62,       52846.31,       24807.29,       28612.71,       90535.30,           0.56,              0,           0.31,           0.03,          20.28,              0,           0.37,           0.17,       41912.60,        2303.48,        5765.05,        1026.96,         488.31,        2613.64,         146.89,        2667.61,        4095.80,         119.11,          41.40,         330.48,         179.49,         185.32,         703.56,          44.80,          41.66,         210.57
         6,       34991.48,       51052.13,      294762.71,       50224.30,       27472.41,       30161.96,       96101.19,           1.81,              0,              0,           0.04,          37.24,              0,           0.23,           0.21,       10787.75,        2479.17,        6251.69,        1127.45,         529.52,        2685.74,          68.66,        1913.59,        5648.45,         107.06,          60.37,         475.18,          95.19,         244.60,        1080.58,          56.72,          48.44,         257.31
         7,       46435.79,       67846.19,      320618.28,       38687.61,       24115.13,       42278.72,      129667.41,           0.16,              0,           2.08,           0.43,          35.33,              0,           1.40,           0.60,        9760.68,        3371.32,        8720.24,        1537.91,         804.96,        3531.40,          94.21,        2482.97,        5847.00,         129.82,          60.63,         495.24,         126.59,         194.61,        1174.29,          72.27,          50.95,         229.62
         8,       47496.82,       70009.76,      307785.44,       21793.51,       24125.45,       41455.27,      118149.72,          10.34,              0,           0.35,              0,         102.16,              0,              0,              0,        7184.49,        3294.94,        8394.44,        1461.22,         714.41,        3332.21,         130.06,        3080.67,        5196.85,         160.58,          54.45,         431.63,         153.95,         100.91,         992.12,          72.53,          45.89,         189.77
         9,       45866.48,       69084.36,      293744.27,       17791.57,       25556.49,       35425.83,      102526.94,          43.29,              0,           4.23,           2.45,         233.47,              0,           4.69,           3.16,        6385.35,        2884.02,        7616.13,        1375.96,         655.98,        3086.83,         143.28,        3307.91,        5030.61,         185.81,          49.85,         417.37,         168.35,         112.42,         898.64,          76.15,          49.03,         192.44
        10,       45124.55,       64107.08,      268942.98,       13857.26,       29538.69,       33546.51,       93592.47,         356.08,              0,          10.77,           2.10,         333.53,              0,          22.04,           3.37,        6334.95,        2673.11,        7267.26,        1321.04,         579.15,        2922.49,         150.53,        3297.33,        4475.67,         186.93,          42.82,         363.98,         205.84,         125.86,         900.21,          91.64,          60.48,         223.19
        11,       47423.25,       62339.14,      243912.67,       16529.83,       31382.72,       37308.21,       94793.36,         212.83,              0,          11.90,           0.28,         326.80,              0,          21.36,           2.31,        6092.28,        3049.25,        7959.33,        1438.95,         676.73,        3092.34,         156.13,        3636.84,        4180.50,         175.74,          40.59,         326.57,         168.03,         100.25,         853.60,          69.07,          45.59,         172.64
        12,       47785.23,       56509.55,      220411.21,       15429.30,       28495.73,       34970.78,       85355.92,         514.66,              0,          59.75,           5.25,         507.29,              0,          64.48,           7.15,        5463.41,        2635.69,        7449.38,        1324.06,         611.01,        2826.76,         111.67,        3068.72,        3876.21,         158.18,          39.26,         298.48,         191.70,          87.20,         726.51,          66.26,          44.27,         165.11
        13,       44769.27,       48474.06,      197194.51,       14150.48,       19486.96,       27048.11,       66497.40,         841.52,              0,          27.17,           1.20,         560.03,              0,          44.45,           2.73,        4828.27,        2504.82,        6592.66,        1262.50,         540.60,        2615.67,         113.23,        3417.16,        3995.02,         184.67,          40.61,         317.69,         209.09,          96.58,         839.25,          71.54,          47.48,         178.93
        14,       42237.24,       41332.14,      178188.09,       10659.17,       12869.09,       21911.99,       53866.67,        1055.73,              0,         144.87,          11.77,         400.22,              0,         164.48,          13.52,        4657.93,        2331.24,        6013.96,        1205.75,         480.21,        2416.59,         104.93,        3181.30,        3825.95,         175.25,          39.67,         294.02,         214.41,          92.69,         796.72,          69.43,          46.48,         170.74
        15,       45320.29,       36459.24,      157973.92,        6601.32,       10664.93,       32991.73,       67317.64,        1189.33,              0,          61.83,           3.68,        1074.66,              0,          71.15,           9.20,        4098.15,        2141.01,        5927.05,        1112.66,         470.37,        2269.98,          99.54,        3119.20,        3355.04,         181.58,          38.34,         264.57,         178.57,          73.76,         694.46,          51.83,          35.24,         143.97
