TAZID,CO_TAZID,CO_FIPS,SUBAREAID,AREATYPE,TOTAL_P,TOTAL_A,TOTPER_P,TOTPER_A,TOTEXT_P,TOTEXT_A,HBW_P,HBW_A,HBSHP_P,HBSHP_A,HBOTH_P,HBOTH_A,HBSCHPR_P,HBSCHPR_A,HBSCHSC_P,HBSCHSC_A,NHBW_P,NHBW_A,NHBNW_P,NHBNW_A,HBC_P,HBC_A,TTUNIQUE_P,TTUNIQUE_A,IX_P,IX_A,XI_P,XI_A
1,30001,3,1,1,102.0,105.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,30002,3,1,1,237.2,175.2,126.3,57.8,5.2,8.9,20.5,0.1,13.1,0.0,73.5,49.5,5.3,0.0,5.4,0.0,2.0,2.0,6.5,6.1,0.0,0.0,0.0,0.0,5.2,0.0,0.0,8.9
3,30003,3,1,1,299.2,181.5,204.1,85.8,10.9,14.1,30.7,0.0,21.4,0.0,119.7,72.6,9.2,0.0,9.4,0.0,3.3,3.3,10.5,9.9,0.0,0.0,0.0,0.0,10.9,0.0,0.0,14.1
4,30004,3,1,1,85.3,80.6,6.8,3.2,0.6,0.6,1.1,0.0,0.8,0.0,4.1,2.9,0.3,0.0,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6
5,30005,3,1,1,768.3,411.6,614.6,254.0,24.3,41.8,95.7,4.8,61.5,0.0,350.4,210.2,31.0,0.0,31.6,0.0,11.5,10.7,29.8,28.2,3.0,0.0,0.0,0.0,24.3,0.0,0.0,41.8
6,30006,3,1,1,116.3,120.8,25.6,28.6,1.5,5.1,3.4,8.5,2.6,0.0,14.8,17.7,1.2,0.0,1.3,0.0,1.2,1.2,1.1,1.2,0.0,0.0,0.0,0.0,1.5,0.0,0.0,5.1
7,30007,3,1,1,515.4,413.5,351.0,238.1,18.6,39.8,50.6,35.5,34.9,8.4,196.4,158.9,15.6,0.0,15.8,0.0,12.6,12.1,25.0,23.2,0.0,0.0,0.0,0.0,18.6,0.0,0.0,39.8
8,30008,3,1,2,769.3,570.9,593.2,377.2,40.2,70.8,73.8,40.8,47.8,69.9,274.8,172.9,24.5,0.0,25.1,0.0,21.2,19.8,77.0,73.7,48.0,0.0,1.0,0.0,40.2,0.0,0.0,70.8
9,30009,3,1,1,429.6,578.1,142.2,273.5,19.8,42.3,19.0,98.6,13.0,0.0,74.5,151.8,5.8,0.0,5.9,0.0,16.7,15.8,7.4,7.2,0.0,0.0,0.0,0.0,19.8,0.0,0.0,42.3
10,30010,3,1,1,508.8,625.5,204.0,309.3,24.0,48.4,27.8,102.6,19.5,0.0,109.8,179.0,8.4,0.0,8.6,0.0,18.5,17.5,10.4,10.1,0.0,0.0,1.0,0.0,24.0,0.0,0.0,48.4
11,30011,3,1,1,225.2,155.8,70.4,28.5,11.1,4.4,11.5,0.0,7.0,0.0,40.9,24.9,3.7,0.0,3.7,0.0,0.8,0.8,2.8,2.8,0.0,0.0,0.0,0.0,11.1,0.0,0.0,4.4
12,30012,3,1,1,324.1,220.9,159.8,68.5,17.8,12.2,27.0,0.2,16.1,0.0,91.4,58.9,7.8,0.0,8.0,0.0,2.3,2.3,7.3,7.1,0.0,0.0,0.0,0.0,17.8,0.0,0.0,12.2
13,30013,3,1,2,141.7,141.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,30014,3,1,2,141.7,142.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,30015,3,1,1,614.8,1252.9,65.0,616.9,1.2,108.3,1.3,367.3,1.0,0.0,5.1,196.3,0.4,0.0,0.5,0.0,55.2,51.6,1.6,1.7,0.0,0.0,0.0,0.0,1.2,0.0,0.0,108.3
16,30016,3,1,2,305.7,569.9,23.1,251.3,1.5,42.8,1.2,99.0,1.0,0.0,4.8,137.8,0.4,0.0,0.4,0.0,14.3,13.2,1.1,1.2,0.0,0.0,0.0,0.0,1.5,0.0,0.0,42.8
17,30017,3,1,1,175.7,154.3,29.3,11.8,3.9,2.0,4.6,0.0,3.1,0.0,17.1,10.3,1.6,0.0,1.7,0.0,0.3,0.3,1.1,1.1,0.0,0.0,0.0,0.0,3.9,0.0,0.0,2.0
18,30018,3,1,1,1324.7,2904.1,172.5,1522.4,0.0,255.6,0.0,1107.5,0.0,0.0,1.0,257.7,0.0,0.0,0.0,0.0,168.2,155.0,2.2,2.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,255.6
19,30019,3,1,2,3045.7,1576.6,2452.2,1138.4,357.2,193.6,372.2,18.3,230.9,61.3,1373.1,851.3,126.5,0.0,129.2,0.0,56.9,52.7,161.4,154.7,0.0,0.0,2.0,0.0,357.2,0.0,0.0,193.6
20,30020,3,1,3,1781.2,1513.3,1342.8,1032.0,145.9,186.5,221.5,142.8,140.0,52.5,717.1,668.3,42.1,0.0,43.1,0.0,60.7,56.2,117.4,112.2,0.0,0.0,1.0,0.0,145.9,0.0,0.0,186.5
21,30021,3,1,2,793.8,1743.5,117.6,910.2,0.0,166.4,0.0,758.2,0.0,0.0,1.0,45.7,0.0,0.0,0.0,0.0,115.2,105.9,0.4,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,166.4
22,30022,3,1,2,137.4,146.9,20.4,25.8,3.0,4.9,2.8,15.6,2.0,0.0,10.6,7.2,1.0,0.0,1.0,0.0,2.3,2.2,0.8,0.8,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.9
23,30023,3,1,2,231.9,339.1,40.9,127.2,5.1,23.3,4.6,71.8,3.1,0.0,17.5,43.7,1.7,0.0,1.7,0.0,10.7,10.0,1.6,1.6,0.0,0.0,0.0,0.0,5.1,0.0,0.0,23.3
24,30024,3,1,2,1796.2,862.0,1418.5,591.1,214.4,98.0,219.6,3.8,135.9,0.0,813.9,499.2,75.4,0.0,77.0,0.0,25.7,23.9,67.0,64.2,3.0,0.0,1.0,0.0,214.4,0.0,0.0,98.0
25,30025,3,1,3,3985.8,3148.0,3284.2,2542.1,421.0,315.8,468.4,151.5,313.0,21.8,1815.9,1303.3,164.4,735.7,167.8,0.0,116.6,108.0,231.2,221.7,6.0,0.0,1.0,0.0,421.0,0.0,0.0,315.8
26,30026,3,1,3,2584.6,2211.3,2014.5,1588.1,237.8,286.4,285.4,223.3,192.4,80.4,1059.0,980.0,76.4,0.0,77.9,0.0,107.1,98.9,214.3,205.5,1.0,0.0,1.0,0.0,237.8,0.0,0.0,286.4
27,30027,3,1,2,141.9,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,30028,3,1,2,260.1,436.9,30.0,168.7,1.4,33.7,1.5,144.9,1.0,0.0,5.0,3.6,0.4,0.0,0.4,0.0,21.4,19.8,0.4,0.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,33.7
29,30029,3,1,3,2918.5,1464.4,2384.1,1029.6,286.7,177.5,404.7,5.3,241.2,0.0,1334.5,869.4,110.8,0.0,113.1,0.0,45.6,42.3,117.2,112.7,16.0,0.0,1.0,0.0,286.7,0.0,0.0,177.5
30,30030,3,1,3,2861.1,2131.0,2345.6,1595.1,265.4,279.6,372.2,105.0,248.3,56.8,1300.9,1147.9,72.3,6.5,73.7,16.4,77.5,71.6,198.7,190.8,1.0,0.0,1.0,0.0,265.4,0.0,0.0,279.6
31,30031,3,1,3,2922.9,2751.4,2301.4,1963.0,206.4,373.7,284.3,290.6,192.3,133.0,1026.5,902.6,62.1,0.0,63.4,0.0,222.3,204.8,449.6,432.0,0.0,0.0,1.0,0.0,206.4,0.0,0.0,373.7
32,30032,3,1,3,1274.8,732.2,1021.6,501.6,116.8,87.1,160.9,4.5,106.2,0.0,588.0,422.9,43.8,0.0,44.8,0.0,21.7,20.2,56.3,54.1,0.0,0.0,0.0,0.0,116.8,0.0,0.0,87.1
33,30033,3,1,3,1624.0,1053.5,1328.5,754.7,136.5,133.4,210.9,18.5,143.2,0.0,764.0,626.2,46.3,0.0,47.2,0.0,33.8,31.2,82.1,78.9,0.0,0.0,1.0,0.0,136.5,0.0,0.0,133.4
34,30034,3,1,3,2188.6,1297.1,1832.5,937.8,168.5,165.6,287.6,35.2,190.1,8.6,1044.7,749.4,77.4,0.0,79.1,0.0,44.6,41.3,108.1,103.2,0.0,0.0,1.0,0.0,168.5,0.0,0.0,165.6
35,30035,3,1,3,2802.2,1666.8,2401.5,1241.6,204.2,220.1,380.3,5.8,254.7,0.0,1373.6,1049.1,91.1,0.0,93.0,0.0,54.8,50.9,141.9,135.8,11.0,0.0,1.0,0.0,204.2,0.0,0.0,220.1
36,30036,3,1,3,850.3,585.7,658.8,364.3,41.3,65.7,113.9,12.6,71.0,0.0,372.3,299.3,23.0,0.0,23.5,0.0,16.2,15.1,38.9,37.3,0.0,0.0,0.0,0.0,41.3,0.0,0.0,65.7
37,30037,3,1,2,429.8,794.3,23.0,326.7,0.0,59.7,0.0,136.2,0.0,0.0,1.0,170.8,0.0,0.0,0.0,0.0,19.8,18.4,1.2,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59.7
38,30038,3,1,3,2357.9,5701.5,432.2,3159.9,0.0,647.1,0.0,2730.9,0.0,0.0,2.0,32.3,0.0,0.0,0.0,0.0,416.4,385.1,11.8,11.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,647.1
39,30039,3,1,4,980.9,1089.2,681.9,712.7,49.9,131.0,99.8,36.1,62.1,69.5,344.9,497.3,29.4,0.0,30.1,0.0,30.1,28.1,84.6,81.7,0.0,0.0,1.0,0.0,49.9,0.0,0.0,131.0
40,30040,3,1,4,3092.9,2991.1,2548.8,2221.3,190.2,414.7,370.2,238.2,253.4,160.0,1304.2,1374.3,71.4,0.0,72.9,0.0,141.2,130.9,329.6,317.8,4.0,0.0,2.0,0.0,190.2,0.0,0.0,414.7
41,30041,3,1,4,2203.7,3525.3,1713.1,2581.8,71.4,521.3,141.8,116.0,95.2,893.2,471.2,661.4,24.3,0.0,24.9,0.0,199.8,185.0,754.9,726.3,0.0,0.0,1.0,0.0,71.4,0.0,0.0,521.3
42,30042,3,1,3,743.1,721.0,524.9,469.6,56.0,83.0,87.1,20.8,56.5,0.0,294.7,403.6,17.0,0.0,17.4,0.0,15.2,14.2,32.1,31.0,4.0,0.0,1.0,0.0,56.0,0.0,0.0,83.0
43,30043,3,1,3,2068.2,2728.2,1723.3,2309.7,138.7,204.9,263.3,109.5,174.6,0.0,952.4,823.2,63.6,1190.7,65.0,0.0,67.1,62.2,129.3,124.0,6.0,0.0,2.0,0.0,138.7,0.0,0.0,204.9
44,30044,3,1,3,1184.0,681.3,957.9,438.1,70.1,78.6,159.2,2.4,98.7,0.0,543.0,370.6,43.4,0.0,44.4,0.0,18.7,17.4,49.6,47.6,0.0,0.0,1.0,0.0,70.1,0.0,0.0,78.6
45,30045,3,1,2,1081.4,684.8,870.6,440.9,56.0,80.5,145.5,41.0,89.9,0.0,493.6,339.5,38.3,0.0,39.2,0.0,17.6,16.4,45.6,43.9,0.0,0.0,1.0,0.0,56.0,0.0,0.0,80.5
46,30046,3,1,2,116.7,119.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,30047,3,1,1,161.6,133.0,19.1,7.4,1.1,1.4,2.7,0.0,1.9,0.0,11.0,6.6,0.9,0.0,0.9,0.0,0.1,0.1,0.6,0.7,0.0,0.0,1.0,0.0,1.1,0.0,0.0,1.4
48,30048,3,1,1,231.2,179.2,79.7,33.3,7.8,6.1,13.2,0.0,8.1,0.0,45.9,29.0,4.0,0.0,4.1,0.0,1.0,1.0,3.3,3.4,0.0,0.0,0.0,0.0,7.8,0.0,0.0,6.1
49,30049,3,1,2,769.2,1345.0,525.1,901.0,0.0,183.9,0.0,56.1,0.0,358.7,14.0,10.7,0.0,0.0,0.0,0.0,120.9,112.3,376.2,363.1,0.0,0.0,14.0,0.0,0.0,0.0,0.0,183.9
50,30050,3,1,3,546.8,1433.0,201.0,917.9,4.4,173.5,4.8,422.3,3.3,4.3,18.4,299.8,1.6,0.0,1.7,29.6,83.1,77.7,87.1,84.2,0.0,0.0,1.0,0.0,4.4,0.0,0.0,173.5
51,30051,3,1,3,237.2,419.4,58.8,203.2,2.9,40.8,6.4,107.1,4.7,0.0,25.3,78.5,2.0,0.0,2.0,0.0,12.7,12.0,5.8,5.7,0.0,0.0,0.0,0.0,2.9,0.0,0.0,40.8
52,30052,3,1,3,2070.2,6824.3,526.6,4531.1,39.5,806.9,62.4,789.7,44.5,0.0,219.3,3575.8,10.8,0.0,11.1,0.0,145.0,135.0,31.5,30.7,0.0,0.0,2.0,0.0,39.5,0.0,0.0,806.9
53,30053,3,1,4,4985.8,9155.5,3673.2,6713.1,156.2,1292.4,301.7,830.3,212.3,1259.6,1048.6,2532.6,52.4,0.0,53.5,178.9,564.0,523.8,1436.7,1387.9,0.0,0.0,4.0,0.0,156.2,0.0,0.0,1292.4
