Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV,II_LT_D2D,II_LT_HnS,II_LT_Lcl,II_LT_Reg,II_LT_LHl,II_LT_Unk,II_MD_D2D,II_MD_HnS,II_MD_Lcl,II_MD_Reg,II_MD_LHl,II_MD_Unk,II_HV_D2D,II_HV_HnS,II_HV_Lcl,II_HV_Reg,II_HV_LHl,II_HV_Unk
         0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0
         2,        4978.37,        1340.44,       17501.51,        3020.90,        1086.87,        9503.13,       13491.40,              0,              0,              0,              0,           0.24,              0,              0,              0,       63599.90,         902.71,        1830.29,         466.46,         255.28,        1006.74,          74.22,         778.84,        1864.74,          58.74,          36.42,         175.77,         173.01,          30.43,         970.46,          36.68,          37.54,         166.43
         3,       13600.45,       11593.12,      168848.33,       30255.09,       10516.07,       27057.74,       51693.52,              0,              0,              0,              0,              0,              0,              0,              0,       93608.38,        1638.16,        3889.85,         782.22,         373.45,        2086.52,         153.71,        2798.95,        4422.77,         184.99,          83.84,         481.28,         536.94,         210.61,        2050.22,         156.94,         151.50,         575.48
         4,       21488.41,       21935.37,      177177.55,       23236.64,       10302.99,       24453.92,       80886.97,           0.06,              0,              0,              0,           8.03,              0,           0.01,              0,       64205.44,        2442.08,        5631.13,        1139.35,         579.77,        2616.99,         274.58,        3165.96,        3570.79,         138.06,          30.44,         312.32,         314.77,         202.10,         870.32,          59.10,          54.60,         240.02
         5,       30990.17,       42367.64,      304720.76,       53945.24,       25226.48,       28761.61,       90482.43,           0.41,              0,           0.25,           0.06,          24.40,              0,           0.27,           0.21,       42856.46,        2316.00,        5836.71,        1062.07,         494.92,        2643.97,         143.92,        2660.56,        4152.87,         130.55,          48.38,         373.27,         226.02,         210.89,         798.78,          50.22,          47.19,         245.81
         6,       37336.85,       52711.22,      301561.99,       50379.19,       27448.55,       30920.24,       98133.14,           1.30,              0,           0.24,              0,          51.79,              0,           0.42,           0.14,       10973.05,        2544.02,        6437.03,        1176.58,         559.39,        2786.88,          70.75,        2026.38,        5670.05,         114.69,          65.58,         490.43,         109.15,         253.61,        1188.02,          58.45,          50.95,         271.61
         7,       49412.18,       70519.68,      327396.67,       39250.97,       26299.79,       43832.38,      132505.51,           0.35,              0,           1.59,           0.44,          20.93,              0,           0.89,           0.57,       10044.02,        3440.58,        8938.49,        1586.56,         799.51,        3601.96,          98.10,        2618.33,        5837.15,         134.76,          63.00,         528.39,         166.64,         215.87,        1323.32,          84.53,          59.66,         268.24
         8,       49897.71,       71618.92,      312786.93,       22284.19,       23771.26,       42455.09,      120247.06,           5.97,              0,           0.90,              0,          90.84,              0,           1.67,           0.21,        7492.89,        3402.35,        8662.54,        1532.64,         731.12,        3452.01,         129.18,        3236.39,        5190.23,         172.32,          57.47,         460.97,         164.48,          98.68,        1087.48,          66.82,          43.55,         187.74
         9,       47902.64,       71082.93,      300941.02,       16506.52,       27091.75,       36656.27,      105773.23,          51.28,              0,           6.45,           2.56,         244.19,              0,           6.72,           2.92,        6691.50,        2934.04,        7883.27,        1433.37,         679.66,        3179.50,         146.98,        3479.78,        4916.51,         193.11,          51.43,         424.68,         223.26,         143.88,        1096.85,         103.43,          67.26,         253.44
        10,       47627.27,       65549.08,      277985.21,       14527.47,       28757.25,       34828.51,       95531.70,         235.09,              0,           8.45,           1.95,         305.14,              0,          15.50,           4.31,        6491.27,        2782.98,        7612.75,        1407.85,         629.41,        3072.94,         159.85,        3534.02,        4347.97,         201.97,          45.94,         380.74,         210.46,         109.86,         931.78,          73.52,          49.14,         193.50
        11,       49803.53,       63471.40,      248896.28,       16304.68,       31272.17,       38692.12,       97087.18,         197.17,              0,           7.27,           1.26,         269.90,              0,          12.65,           2.49,        6276.13,        3108.25,        8122.81,        1480.28,         693.61,        3166.90,         157.71,        3688.32,        4160.93,         181.05,          42.06,         351.23,         232.30,         120.27,         997.07,          86.77,          58.00,         217.78
        12,       50081.55,       57064.46,      223838.21,       15604.02,       29094.16,       37024.67,       88002.23,         641.32,              0,          54.25,           4.25,         606.52,              0,          59.03,           5.68,        5560.05,        2687.75,        7495.55,        1360.21,         628.25,        2877.73,         121.30,        3457.40,        4015.34,         180.58,          45.45,         336.31,         234.66,          95.11,         881.65,          68.02,          46.37,         176.77
        13,       45932.21,       48646.40,      202579.70,       13184.61,       19120.73,       27359.36,       67043.39,         640.80,              0,         125.64,           2.49,         411.72,              0,         120.36,           4.36,        5099.26,        2602.77,        6838.02,        1322.38,         540.30,        2691.37,         116.69,        3583.07,        3938.02,         195.22,          43.19,         320.27,         257.71,         102.67,         958.09,          78.75,          53.80,         203.27
        14,       45581.70,       42368.67,      176486.42,       10779.05,       12017.80,       21729.56,       54191.79,        1047.82,              0,          52.16,          11.71,         849.37,              0,          83.03,          14.70,        4786.39,        2309.48,        6180.24,        1247.12,         506.15,        2489.29,         104.20,        3338.69,        3612.68,         184.12,          38.45,         296.04,         240.38,          99.33,         914.93,          69.26,          47.53,         183.02
        15,       46189.86,       35913.89,      162618.73,        6503.56,       10879.02,       33641.29,       68712.86,        1013.20,              0,          62.86,           3.74,        1130.73,              0,          80.57,           7.21,        4172.03,        2182.76,        5988.24,        1146.38,         475.01,        2310.55,         108.84,        3504.32,        3304.10,         196.74,          44.26,         282.87,         242.68,          82.12,         787.39,          62.76,          43.72,         173.07
