TripCategory,HBWtrip,HBWabs,HBWrel,HBCtrip,HBCabs,HBCrel,HBOtrip,HBOabs,HBOrel,NHBtrip,NHBabs,NHBrel,HBSchtrip,HBSchabs,HBSchrel,TOTtrip,TOTabs,TOTrel,
1) Total Trips,    889709, 100.00, 100.00,    112528, 100.00, 100.00,   1952060, 100.00, 100.00,    862552, 100.00, 100.00,    445435, 100.00, 100.00,   4262285, 100.00, 100.00,
    2) Non-Motorized,     29122,   3.27,   3.27,     26960,  23.96,  23.96,    156406,   8.01,   8.01,     57696,   6.69,   6.69,     73502,  16.50,  16.50,    343685,   8.06,   8.06,
    2) Motorized,    860588,  96.73,  96.73,     85568,  76.04,  76.04,   1795654,  91.99,  91.99,    804856,  93.31,  93.31,    371933,  83.50,  83.50,   3918600,  91.94,  91.94
        3) Auto,    839779,  94.39,  97.58,     67071,  59.60,  78.38,   1786893,  91.54,  99.51,    803116,  93.11,  99.78,-,-,-,   3868793,  90.77,  98.73,
            4) Auto 1 pers,    721835,  81.13,  85.96,     48269,  42.89,  71.97,    575920,  29.50,  32.23,    363762,  42.17,  45.29,-,-,-,   1709786,  40.11,  44.19,
                    GP use,    720912,  81.03,  99.87,     48212,  42.84,  99.88,    576043,  29.51, 100.02,    363589,  42.15,  99.95,-,-,-,   1708755,  40.09,  99.94,
                    Toll use,       985,   0.11,   0.14,        57,   0.05,   0.12,       182,   0.01,   0.03,       296,   0.03,   0.08,-,-,-,      1520,   0.04,   0.09
            4) Auto 2 pers,     88138,   9.91,  10.50,     13802,  12.26,  20.58,    597067,  30.59,  33.41,    211255,  24.49,  26.30,-,-,-,    910262,  21.36,  23.53,
                    GP use,     66188,   7.44,  75.10,     10442,   9.28,  75.66,    560488,  28.71,  93.87,    189815,  22.01,  89.85,-,-,-,    826933,  19.40,  90.85,
                    HOV use,     21964,   2.47,  24.92,      3360,   2.99,  24.34,     36618,   1.88,   6.13,     21461,   2.49,  10.16,-,-,-,     83402,   1.96,   9.16,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) Auto 3+pers,     29738,   3.34,   3.54,      5001,   4.44,   7.46,    613554,  31.43,  34.34,    227967,  26.43,  28.39,-,-,-,    876260,  20.56,  22.65,
                    GP use,     22319,   2.51,  75.05,      3784,   3.36,  75.66,    575932,  29.50,  93.87,    204812,  23.74,  89.84,-,-,-,    806846,  18.93,  92.08,
                    HOV use,      7410,   0.83,  24.92,      1217,   1.08,  24.34,     37626,   1.93,   6.13,     23154,   2.68,  10.16,-,-,-,     69407,   1.63,   7.92,
                    Toll use,         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0
            4) IMZ Door-to-Door (D2D),        76,   0.01,   0.01,         0,      0,      0,       360,   0.02,   0.02,       143,   0.02,   0.02,-,-,-,       579,   0.01,   0.01,
                    IMZ D2D 1 pers,        65,   0.01,  85.53,         0,      0,      0,       307,   0.02,  85.28,       123,   0.01,  86.01,-,-,-,       495,   0.01,  85.49,
                    IMZ D2D 2 pers,         9,   0.00,  11.84,         0,      0,      0,        42,   0.00,  11.67,        16,   0.00,  11.19,-,-,-,        67,   0.00,  11.57,
                    IMZ D2D 3+ pers,         2,   0.00,   2.63,         0,      0,      0,        11,   0.00,   3.06,         4,   0.00,   2.80,-,-,-,        17,   0.00,   2.94
            4) School Trips,-,-,-,-,-,-,-,-,-,-,-,-,    371933,  83.50,  83.50,    371933,   8.73,  83.50,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     50583,  11.36,  13.60,     50583,   1.19,  13.60,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     54500,  12.24,  14.65,     54500,   1.28,  14.65,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    266849,  59.91,  71.75,    266849,   6.26,  71.75,
                    K-6,-,-,-,-,-,-,-,-,-,-,-,-,    171431,  38.49,  46.09,    171431,   4.02,  46.09,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     19267,   4.33,  11.24,     19267,   0.45,  11.24,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,         0,      0,      0,         0,      0,      0,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    152164,  34.16,  88.76,    152164,   3.57,  88.76,
                    7-12,-,-,-,-,-,-,-,-,-,-,-,-,    200501,  45.01,  53.91,    200501,   4.70,  53.91,
                        School Bus,-,-,-,-,-,-,-,-,-,-,-,-,     31316,   7.03,  15.62,     31316,   0.73,  15.62,
                        Drive Self,-,-,-,-,-,-,-,-,-,-,-,-,     54500,  12.24,  27.18,     54500,   1.28,  27.18,
                        Drop Off,-,-,-,-,-,-,-,-,-,-,-,-,    114685,  25.75,  57.20,    114685,   2.69,  57.20
        3) Transit,     20812,   2.34,   2.42,     18497,  16.44,  21.62,      8763,   0.45,   0.49,      1739,   0.20,   0.22,-,-,-,     49811,   1.17,   1.27
            4) Local Bus (LCL),      8043,   0.90,  38.65,      6777,   6.02,  36.64,      3224,   0.17,  36.79,       644,   0.07,  37.01,-,-,-,     18688,   0.44,  37.52,
                    LCL Walk,      7529,   0.85,  93.61,      5679,   5.05,  83.80,      3141,   0.16,  97.41,       626,   0.07,  97.21,-,-,-,     16975,   0.40,  90.83,
                    LCL Drive,       514,   0.06,   6.39,      1098,   0.98,  16.20,        83,   0.00,   2.59,        18,   0.00,   2.79,-,-,-,      1713,   0.04,   9.17
            4) Core Bus (COR),         0,      0,      0,         0,      0,      0,         0,      0,      0,         0,      0,      0,-,-,-,         0,      0,      0,
                    COR Walk,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00,
                    COR Drive,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,         0,      0,   0.00,-,-,-,         0,      0,   0.00
            4) Bus-Rapid Transit (BRT),      1416,   0.16,   6.80,      4246,   3.77,  22.95,       631,   0.03,   7.20,       161,   0.02,   9.27,-,-,-,      6454,   0.15,  12.96,
                    BRT Walk,      1344,   0.15,  94.93,      3137,   2.79,  73.89,       627,   0.03,  99.37,       161,   0.02,  99.85,-,-,-,      5269,   0.12,  81.65,
                    BRT Drive,        72,   0.01,   5.07,      1108,   0.98,  26.11,         4,   0.00,   0.63,         0,   0.00,   0.15,-,-,-,      1184,   0.03,  18.35
            4) Express Bus (EXP),       449,   0.05,   2.16,       204,   0.18,   1.10,        49,   0.00,   0.56,        13,   0.00,   0.78,-,-,-,       715,   0.02,   1.44,
                    EXP Walk,       193,   0.02,  43.04,        68,   0.06,  33.29,        44,   0.00,  90.90,        13,   0.00,  99.99,-,-,-,       319,   0.01,  44.60,
                    EXP Drive,       256,   0.03,  56.96,       136,   0.12,  66.71,         4,   0.00,   9.10,         0,   0.00,   0.01,-,-,-,       396,   0.01,  55.40
            4) Light-Rail Transit (LRT),      6893,   0.77,  33.12,      3991,   3.55,  21.58,      3843,   0.20,  43.86,       724,   0.08,  41.63,-,-,-,     15452,   0.36,  31.02,
                    LRT Walk,      5513,   0.62,  79.97,      2790,   2.48,  69.90,      3403,   0.17,  88.53,       688,   0.08,  94.94,-,-,-,     12393,   0.29,  80.20,
                    LRT Drive,      1381,   0.16,  20.03,      1201,   1.07,  30.10,       441,   0.02,  11.47,        37,   0.00,   5.06,-,-,-,      3059,   0.07,  19.80
            4) Commuter-Rail Transit (CRT),      3988,   0.45,  19.16,      3279,   2.91,  17.73,       994,   0.05,  11.35,       188,   0.02,  10.80,-,-,-,      8449,   0.20,  16.96,
                    CRT Walk,      1299,   0.15,  32.58,       942,   0.84,  28.74,       409,   0.02,  41.13,       137,   0.02,  72.71,-,-,-,      2787,   0.07,  32.99,
                    CRT Drive,      2689,   0.30,  67.42,      2336,   2.08,  71.26,       585,   0.03,  58.87,        51,   0.01,  27.29,-,-,-,      5662,   0.13,  67.01,
  
   Model: v10x,
   Scenario: C54,
   RunYear: 2023,
   Socio-Economic year modeled:         2023,
   Network infrastructure year modeled: 2023,
   Period the results apply to:  Peak Period,
   Shares\RegionShares_Pk.csv,
   For this run Mode Choice was run in its regular form (i.e. not bypassed with approximation).,
   NOTE:  Indentations correspond with each level in the nested Logit choice model.
