TAZID,CO_TAZID,CO_FIPS,SUBAREAID,AREATYPE,TOTAL_P,TOTAL_A,TOTPER_P,TOTPER_A,TOTEXT_P,TOTEXT_A,HBW_P,HBW_A,HBSHP_P,HBSHP_A,HBOTH_P,HBOTH_A,HBSCHPR_P,HBSCHPR_A,HBSCHSC_P,HBSCHSC_A,NHBW_P,NHBW_A,NHBNW_P,NHBNW_A,HBC_P,HBC_A,TTUNIQUE_P,TTUNIQUE_A,IX_P,IX_A,XI_P,XI_A
1,30001,3,1,1,78.8,80.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,30002,3,1,1,214.5,151.0,126.4,57.3,6.3,9.8,20.6,0.1,13.2,0.0,73.5,49.1,5.3,0.0,5.4,0.0,2.0,2.0,6.4,6.1,0.0,0.0,0.0,0.0,6.3,0.0,0.0,9.8
3,30003,3,1,1,281.7,165.1,204.1,84.6,12.5,16.4,30.6,0.1,21.3,0.0,119.7,71.4,9.2,0.0,9.4,0.0,3.3,3.3,10.5,9.9,0.0,0.0,0.0,0.0,12.5,0.0,0.0,16.4
4,30004,3,1,1,67.5,63.4,6.8,3.1,0.7,0.7,1.1,0.0,0.8,0.0,4.1,2.9,0.2,0.0,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7
5,30005,3,1,1,744.7,390.1,614.9,251.8,28.9,47.2,95.8,4.8,61.5,0.0,350.6,208.3,31.0,0.0,31.6,0.0,11.5,10.7,29.8,28.0,3.0,0.0,0.0,0.0,28.9,0.0,0.0,47.2
6,30006,3,1,1,98.6,104.1,25.6,28.3,1.8,5.9,3.4,8.5,2.6,0.0,14.8,17.4,1.2,0.0,1.3,0.0,1.2,1.3,1.1,1.1,0.0,0.0,0.0,0.0,1.8,0.0,0.0,5.9
7,30007,3,1,1,496.5,398.3,350.9,235.5,21.8,46.1,50.5,35.6,35.0,8.4,196.5,156.2,15.5,0.0,15.8,0.0,12.6,12.2,25.0,23.1,0.0,0.0,0.0,0.0,21.8,0.0,0.0,46.1
8,30008,3,1,2,747.0,558.7,593.6,377.6,44.9,82.1,74.0,40.9,47.8,70.1,274.9,173.0,24.5,0.0,25.1,0.0,21.2,19.9,77.1,73.7,48.0,0.0,1.0,0.0,44.9,0.0,0.0,82.1
9,30009,3,1,1,411.5,558.0,142.3,272.3,26.3,48.9,19.0,98.6,13.0,0.0,74.4,150.7,5.8,0.0,5.9,0.0,16.7,15.8,7.4,7.2,0.0,0.0,0.0,0.0,26.3,0.0,0.0,48.9
10,30010,3,1,1,493.1,608.1,204.1,308.5,34.0,55.8,27.7,102.8,19.5,0.0,110.0,178.1,8.4,0.0,8.6,0.0,18.5,17.5,10.5,10.1,0.0,0.0,1.0,0.0,34.0,0.0,0.0,55.8
11,30011,3,1,1,195.6,128.9,70.5,28.4,14.2,5.1,11.5,0.0,7.0,0.0,40.9,24.8,3.6,0.0,3.7,0.0,0.8,0.8,2.8,2.8,0.0,0.0,0.0,0.0,14.2,0.0,0.0,5.1
12,30012,3,1,1,292.4,191.1,159.7,68.5,19.5,13.9,27.0,0.2,16.1,0.0,91.4,58.7,7.8,0.0,7.9,0.0,2.3,2.3,7.2,7.2,0.0,0.0,0.0,0.0,19.5,0.0,0.0,13.9
13,30013,3,1,2,109.3,109.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,30014,3,1,2,109.4,110.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,30015,3,1,1,575.5,1231.3,65.0,616.9,1.5,124.6,1.3,367.3,1.0,0.0,5.1,196.3,0.4,0.0,0.5,0.0,55.2,51.6,1.6,1.7,0.0,0.0,0.0,0.0,1.5,0.0,0.0,124.6
16,30016,3,1,2,276.5,546.2,23.1,251.7,2.0,49.5,1.2,99.4,1.0,0.0,4.8,137.9,0.4,0.0,0.4,0.0,14.3,13.2,1.1,1.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,49.5
17,30017,3,1,1,143.9,123.1,29.3,11.7,4.8,2.3,4.6,0.0,3.0,0.0,17.1,10.2,1.6,0.0,1.7,0.0,0.3,0.3,1.1,1.1,0.0,0.0,0.0,0.0,4.8,0.0,0.0,2.3
18,30018,3,1,1,1261.8,2879.2,172.4,1523.2,0.0,293.1,0.0,1108.3,0.0,0.0,1.0,257.7,0.0,0.0,0.0,0.0,168.3,154.9,2.2,2.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,293.1
19,30019,3,1,2,3094.8,1567.9,2452.5,1139.4,447.3,226.6,372.4,18.4,230.8,61.5,1373.2,852.0,126.5,0.0,129.2,0.0,57.0,52.7,161.4,154.7,0.0,0.0,2.0,0.0,447.3,0.0,0.0,226.6
20,30020,3,1,3,1756.5,1503.6,1343.1,1032.8,161.5,217.9,221.5,142.8,140.0,52.7,717.2,668.9,42.0,0.0,43.1,0.0,60.7,56.3,117.4,112.2,0.0,0.0,1.0,0.0,161.5,0.0,0.0,217.9
21,30021,3,1,2,750.3,1725.5,117.7,910.7,0.0,192.7,0.0,758.9,0.0,0.0,1.0,45.6,0.0,0.0,0.0,0.0,115.3,105.8,0.4,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,192.7
22,30022,3,1,2,113.8,122.5,20.3,25.7,3.9,5.7,2.8,15.5,1.9,0.0,10.5,7.2,1.0,0.0,1.0,0.0,2.3,2.2,0.8,0.8,0.0,0.0,0.0,0.0,3.9,0.0,0.0,5.7
23,30023,3,1,2,206.6,315.0,40.9,127.3,6.8,27.1,4.6,71.9,3.1,0.0,17.5,43.7,1.7,0.0,1.7,0.0,10.6,10.0,1.6,1.6,0.0,0.0,0.0,0.0,6.8,0.0,0.0,27.1
24,30024,3,1,2,1818.4,844.0,1418.7,591.6,270.3,114.5,219.7,3.8,135.9,0.0,814.0,499.6,75.4,0.0,77.0,0.0,25.8,23.8,67.0,64.3,3.0,0.0,1.0,0.0,270.3,0.0,0.0,114.5
25,30025,3,1,3,4012.2,3161.2,3283.4,2551.3,496.0,369.2,468.5,151.8,312.9,21.8,1815.9,1304.5,164.4,743.3,167.8,0.0,116.7,108.0,231.2,221.8,5.0,0.0,1.0,0.0,496.0,0.0,0.0,369.2
26,30026,3,1,3,2573.5,2219.4,2014.6,1589.3,267.8,335.0,285.4,223.5,192.4,80.6,1058.9,980.8,76.4,0.0,78.0,0.0,107.3,98.9,214.3,205.5,1.0,0.0,1.0,0.0,267.8,0.0,0.0,335.0
27,30027,3,1,2,109.5,114.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,30028,3,1,2,224.8,405.1,30.0,168.7,1.7,39.3,1.5,144.9,1.0,0.0,4.9,3.6,0.4,0.0,0.4,0.0,21.5,19.8,0.4,0.4,0.0,0.0,0.0,0.0,1.7,0.0,0.0,39.3
29,30029,3,1,3,2906.2,1444.6,2384.2,1030.6,323.9,207.5,404.7,5.4,241.3,0.0,1334.5,870.2,110.8,0.0,113.1,0.0,45.5,42.3,117.3,112.7,16.0,0.0,1.0,0.0,323.9,0.0,0.0,207.5
30,30030,3,1,3,2841.1,2141.2,2345.6,1596.7,283.1,327.1,372.3,105.2,248.3,56.9,1300.8,1149.1,72.3,6.6,73.8,16.3,77.5,71.6,198.7,190.9,1.0,0.0,1.0,0.0,283.1,0.0,0.0,327.1
31,30031,3,1,3,2878.5,2763.8,2301.6,1964.6,213.4,437.4,284.5,290.8,192.2,133.3,1026.5,903.5,62.1,0.0,63.4,0.0,222.3,205.0,449.6,431.9,0.0,0.0,1.0,0.0,213.4,0.0,0.0,437.4
32,30032,3,1,3,1256.2,718.4,1021.7,502.0,125.6,101.8,160.8,4.5,106.2,0.0,588.0,423.3,43.8,0.0,44.8,0.0,21.8,20.2,56.2,54.0,0.0,0.0,0.0,0.0,125.6,0.0,0.0,101.8
33,30033,3,1,3,1590.7,1048.5,1328.8,755.6,130.1,155.8,211.0,18.5,143.3,0.0,764.0,627.0,46.2,0.0,47.2,0.0,33.9,31.3,82.2,78.9,0.0,0.0,1.0,0.0,130.1,0.0,0.0,155.8
34,30034,3,1,3,2169.8,1289.5,1832.5,938.6,184.1,192.9,287.6,35.3,190.1,8.7,1044.7,750.1,77.4,0.0,79.1,0.0,44.6,41.4,108.1,103.3,0.0,0.0,1.0,0.0,184.1,0.0,0.0,192.9
35,30035,3,1,3,2742.6,1666.1,2401.4,1242.7,181.5,256.8,380.2,5.7,254.7,0.0,1373.5,1050.2,91.1,0.0,93.0,0.0,54.8,50.9,142.0,135.8,11.0,0.0,1.0,0.0,181.5,0.0,0.0,256.8
36,30036,3,1,3,820.4,565.6,658.7,364.6,41.1,76.3,114.0,12.5,71.0,0.0,372.1,299.6,23.0,0.0,23.5,0.0,16.3,15.1,38.9,37.3,0.0,0.0,0.0,0.0,41.1,0.0,0.0,76.3
37,30037,3,1,2,388.1,762.5,23.0,327.0,0.0,69.0,0.0,136.4,0.0,0.0,1.0,170.9,0.0,0.0,0.0,0.0,19.8,18.4,1.2,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,69.0
38,30038,3,1,3,2243.2,5696.4,432.1,3162.1,0.0,752.1,0.0,2732.7,0.0,0.0,2.0,32.4,0.0,0.0,0.0,0.0,416.4,385.6,11.8,11.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,752.1
39,30039,3,1,4,943.2,1072.7,682.1,713.6,50.6,152.4,99.8,36.1,62.1,69.6,345.0,497.9,29.4,0.0,30.1,0.0,30.1,28.1,84.6,81.8,0.0,0.0,1.0,0.0,50.6,0.0,0.0,152.4
40,30040,3,1,4,3049.2,3017.7,2549.3,2223.9,189.7,483.0,370.4,238.4,253.4,160.2,1304.1,1376.0,71.4,0.0,72.9,0.0,141.3,131.2,329.7,318.1,4.0,0.0,2.0,0.0,189.7,0.0,0.0,483.0
41,30041,3,1,4,2165.6,3577.8,1714.1,2585.2,68.5,607.1,141.8,116.1,95.2,895.2,471.2,662.2,24.3,0.0,24.9,0.0,199.8,185.2,754.9,726.6,1.0,0.0,1.0,0.0,68.5,0.0,0.0,607.1
42,30042,3,1,3,708.6,706.1,524.9,470.1,49.1,97.0,87.1,20.8,56.4,0.0,294.7,404.0,17.0,0.0,17.4,0.0,15.2,14.2,32.1,31.0,4.0,0.0,1.0,0.0,49.1,0.0,0.0,97.0
43,30043,3,1,3,2015.6,2715.2,1723.6,2299.1,120.3,238.2,263.3,109.7,174.6,0.0,952.5,824.2,63.6,1178.9,65.0,0.0,67.3,62.2,129.3,124.0,6.0,0.0,2.0,0.0,120.3,0.0,0.0,238.2
44,30044,3,1,3,1140.4,659.7,958.2,438.6,59.4,91.2,159.3,2.5,98.7,0.0,543.1,371.1,43.4,0.0,44.4,0.0,18.7,17.5,49.6,47.5,0.0,0.0,1.0,0.0,59.4,0.0,0.0,91.2
